name,pubchem_cid,TSNE1,TSNE2
fenbufen,3335.0,-36.468224,-28.301342
propranolol-(s),91536.0,-36.819557,39.39289
itx3,1362865.0,22.2372,-9.541888
sodium-danshensu,179536.0,-54.579884,-32.823673
lupanine,91471.0,34.420288,44.83388
isodibut,145949.0,14.5803175,17.205395
eliprodil,9798372.0,8.170279,56.24337
gw-542573x,24885053.0,25.034458,30.137543
ttnpb,5289501.0,-60.15873,-3.4719143
riociguat,11304743.0,38.665215,-15.667607
scopine,,-7.4705586,46.66336
ko143,10322450.0,27.500051,20.906244
indium(iii)-isopropoxide,,-32.562572,-37.345676
pf-04620110,,54.577744,11.37601
e7449,135565981.0,43.91803,30.845827
benzoylpas,10718.0,-33.25404,-9.431084
sj-733,89508529.0,28.946537,-9.053906
fosfluconazole,214356.0,14.55915,2.725091
istradefylline,5311037.0,34.52659,3.0392935
amcasertib,122412734.0,53.092052,34.675922
moxidectin,9832912.0,-79.264305,15.465458
ono-ae3-208,92978378.0,-29.694656,0.5677848
sb-415286,4210951.0,20.49916,-41.842575
tboa-(dl),90479771.0,-42.486866,4.811636
cc-115,58298318.0,42.855087,7.4609613
azd5069,56645576.0,8.396046,-67.864876
blonanserin,125564.0,21.412712,69.6237
bp-554,134117.0,19.956429,49.867004
jhw-007,,-7.318556,50.361557
diethylcarbamazine,3052.0,1.9567767,64.54988
glesatinib,25181472.0,51.759304,8.364021
ursolic-acid,64945.0,-77.12678,0.46718845
vesamicol,659840.0,3.400585,54.310524
alovudine,33039.0,70.53602,-22.182165
pilocarpine,5910.0,6.7015543,7.7484827
purvalanol-a,456214.0,7.8373756,14.237982
benzethonium,2335.0,-10.910189,58.813675
mefloquine,40692.0,-17.40208,26.274782
deoxyarbutin,11521237.0,-64.935524,-21.77039
ly3214996,121408882.0,51.747837,14.573486
ns-11021,24825677.0,4.543778,-7.591671
monocrotaline,9415.0,-5.552145,41.509716
masoprocol,688035.0,-53.527596,-28.599617
squalamine,72495.0,-11.043675,-55.121086
mc1568,71311876.0,1.6253997,-39.29077
targinine,46906075.0,-52.408665,13.605736
xanthone,7020.0,-45.363956,-43.00342
alantolactone,72724.0,-84.745155,-5.3665147
mibampator,9889366.0,-13.137798,-71.22846
karenitecin,148202.0,31.284925,13.304224
sbe-13,4719406.0,-19.772963,31.917154
ozolinone,76959758.0,47.998028,-32.556183
kw-3902,,40.725025,3.8384385
abt-491,154087.0,32.912834,-0.555258
nonivamide,2998.0,-31.16907,25.16086
chiniofon,1550821.0,-12.313216,-60.900475
carbendazim,25429.0,-2.2493696,-34.093647
mercaptopurine,667490.0,-1.7916259,1.8811252
6-aminopenicillanic-acid,7057887.0,46.65245,-36.47421
acriflavine,452192.0,-5.840879,3.3610034
linezolid,441401.0,68.28783,29.238802
trichlormethiazide,12444480.0,-1.7284634,-80.91986
2-thiouracil,1269845.0,-6.7820625,-19.852453
methantheline,4097.0,-13.078393,62.077244
3-indolebutyric-acid,8617.0,-13.401833,-3.5316987
dehydrocorydaline,34781.0,-1.0898914,43.77374
nu-2058,4564.0,9.123183,-20.194223
tmn-355,44249042.0,-6.874628,-8.466514
dixyrazine,9932302.0,14.725001,53.1984
isosorbide-mononitrate,27661.0,14.402529,-45.855446
alosetron,2099.0,39.290455,26.150385
editol,7014872.0,-19.603191,66.10499
s-38093,70941112.0,29.971684,38.92207
gsk2816126,68210102.0,47.012825,24.496033
thiorphan,4369380.0,-37.85004,13.988219
antalarmin,177990.0,23.88373,64.486885
hydroxychloroquine,12947.0,18.554499,75.819145
hematoxylin,442514.0,-52.56127,-51.88369
tetramisole,26879.0,16.374973,60.304466
slv-319-(+/-),9826744.0,0.7267341,-77.199776
sapacitabine,153970.0,72.73553,-22.931953
ataluren,11219835.0,18.723574,-23.145594
l-glutamine,6992086.0,-43.10595,12.447021
prima1,322968.0,-1.7513784,50.05997
filanesib,44224257.0,38.260582,-11.602059
ml133,781301.0,-42.6998,-28.953829
ouabain,11527152.0,-81.70793,12.928179
retapamulin,,-4.623288,45.136265
tazobactam,123630.0,46.054504,-41.630848
tradipitant,9916461.0,11.353971,0.284252
dpi-201106,10389826.0,10.048908,46.147453
m-chlorophenylbiguanide,1354.0,-12.397472,6.6879473
metacresol,342.0,-44.97826,-29.672985
lobenzarit,3946.0,-30.580797,-3.2863247
butalbital,2481.0,-9.870911,-18.520779
cgp-74514,2794188.0,24.069336,68.32651
lanifibranor,68677842.0,8.113228,-73.7527
ginkgolide-a,,-89.39677,-8.481513
cs-110266,123692.0,11.639812,63.876225
vu0155069,25105713.0,55.865704,37.64848
lapatinib,208908.0,12.964685,-71.86503
fidaxomicin,10034073.0,-76.252525,10.485307
beta-glycerophosphoric-acid,2526.0,-29.16689,-48.65401
l-arginine,6322.0,-51.990917,13.442739
dipivefrine,969492.0,-36.73126,32.933456
phthalylsulfacetamide,8574.0,-8.829455,-67.602295
flumethasone,16490.0,-92.33996,6.8144226
n-salicoylaminophenol,4602.0,-33.00581,-9.402247
ch5132799,49784945.0,13.633796,-78.58308
ckd-712,9861304.0,-22.922024,31.23848
md-920,6466.0,-80.97986,9.284353
ns-3623,9954236.0,21.569687,-16.60829
clobenpropit,2790.0,-9.5765505,21.341906
omtriptolide,6918522.0,-83.44489,7.5443482
bms-649,127019.0,-41.262207,-17.92525
norfloxacin,6919051.0,74.68229,25.32574
carsalam,16258.0,-14.104338,-23.204378
pf-04691502,,56.18262,18.98532
ncs-382,6604757.0,-44.212193,-36.671047
ggti-298,9811606.0,-37.379436,8.740752
siponimod,44599207.0,4.4706454,60.311478
bms-817378,44137813.0,57.426167,-18.01678
diftalone,30717.0,33.768444,43.923706
doconexent-ethyl-ester,9831416.0,-58.04477,-10.406967
hycanthone,3634.0,13.59362,38.88154
molindone,6604347.0,13.612786,41.24025
cedrol-(+),65575.0,-72.92216,-6.574362
dexchlorpheniramine,33036.0,5.703937,74.65094
cb-03-01,11750009.0,-87.6197,5.667169
bilobalide,73581.0,-89.38179,-8.442754
latrepirdine,197033.0,9.076639,69.44215
timolol,33624.0,50.549973,12.216788
eupatilin,5273755.0,-52.22194,-46.85135
yoda-1,2746822.0,2.448108,1.563671
ceramide,5497136.0,-40.646034,18.992046
"n-methyl-(-)ephedrine-[1r,2s]",64782.0,-14.719721,45.2471
palmatine-chloride,19009.0,-1.1028987,43.75002
nifedipine,4485.0,28.241665,-52.870823
nifekalant,4486.0,34.8302,-40.529697
mephentermine,3677.0,-20.889318,12.253316
cefotiam,43708.0,55.307133,-43.69104
tetrahydrozoline,716128.0,-10.436689,24.87445
misonidazole,73050801.0,30.840359,-38.813442
clavulanate,5280980.0,45.876762,-31.25925
levopropoxyphene,133687039.0,-15.104839,65.97627
dr-2313,135522417.0,32.58114,47.03095
drospirenone,68873.0,-85.28038,-4.913155
ave-0991,9851724.0,21.681767,-75.68714
cts21166,445649.0,-43.10449,14.43966
lidamidine,47510.0,-11.767004,4.9540877
salidroside,159278.0,-63.217384,-47.695644
ornidazole,688540.0,30.824183,-38.338158
rad140,44200882.0,20.042982,-28.06334
flubendazole,35802.0,-2.750093,-33.509014
cantharidin,5944.0,-87.270676,-7.5700126
metirosine,6918925.0,-44.529076,1.3497441
glycopyrrolate,9933193.0,-3.8018982,50.834904
nafamostat,4413.0,-27.565453,-18.635756
aim-100,11501591.0,35.86635,36.233353
n-acetylmannosamine,11869379.0,-53.37395,29.131931
bms-182874,122272.0,-0.8017988,-70.18656
stetaderm,92730.0,-77.95082,-1.7720119
cefuroxime,5479529.0,56.114037,-39.311714
aminothiazole,2155.0,-1.5613396,3.8953648
doxylamine,43833352.0,-10.077529,63.772755
icariin,5318997.0,-57.063675,-48.14465
pi-828,25181195.0,31.163652,36.542267
nxy-059,6913176.0,-13.148474,-65.33249
f-11440,208928.0,51.080868,25.212606
azd1283,23649325.0,17.111586,-78.302666
ly2109761,11655119.0,27.521252,49.38347
ym-201636,9956222.0,35.112484,37.6141
tinoridine,5480.0,16.052689,50.130238
aloxistatin,65663.0,-43.59619,21.503708
anagrelide,135409400.0,29.974361,-2.1417696
dibenzothiophene,3023.0,-32.30129,-29.767933
bu-224,2457.0,-10.067434,24.66773
brivanib,11234052.0,37.7335,-20.129534
talmapimod,9871074.0,32.3091,26.30546
pf-06412562,74223726.0,24.460524,-23.947113
kynurenic-acid,3845.0,-14.444438,-25.535246
denopamine,5311064.0,-27.58854,31.934944
pifithrin-cyclic,443278.0,4.6873655,2.4330308
fusidic-acid,3000226.0,-79.05701,1.0268034
scriptaid,5186.0,15.436184,16.881998
gpi-688,24901657.0,68.2538,35.707108
mrs-3777,11771279.0,9.017327,-19.27769
kd-023,115175.0,-60.813057,-20.960375
dolutegravir,54726191.0,68.44154,33.11411
purmorphamine,5284329.0,34.082195,36.443893
pha-568487,9932000.0,31.350746,41.144848
ripretinib,71584930.0,30.015707,-8.823086
nitrofurantoin,6604200.0,28.975985,-42.879677
skf-77434,6603997.0,1.6787806,48.69897
2-chloropyrazine,73277.0,-5.2693777,-2.577724
oxytetracycline,,-24.225449,1.9645742
azd7687,,-28.465294,16.449594
l-701324,54682505.0,-9.535335,-25.831173
nqdi-1,5522952.0,-12.962081,-23.265654
pf-4981517,71315139.0,25.386202,63.450348
lithocholic-acid,9903.0,-75.90447,-7.3173375
betahistine,2366.0,-13.8012295,18.292332
ehop-016,51031035.0,26.306324,56.025776
gka-50,11340230.0,-35.72746,-10.947489
oac2,2814138.0,-2.9747355,-12.326829
iwp-l6,71601111.0,39.18342,-7.802309
treosulfan,9882105.0,-22.849218,-56.77644
temsirolimus,134812825.0,-40.36819,49.183342
phenylpiracetam,781884.0,9.5435705,26.67143
gilteritinib,49803313.0,53.1077,18.870104
moexipril,91270.0,18.738754,23.24567
velneperit,,-8.060598,-77.75447
voglibose,444020.0,-51.856285,31.908825
esculin,5281417.0,-59.77788,-49.445084
st-2825,24808138.0,68.292496,35.707592
