name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
dicyclohexylamine,7582.0,9.650286,1.0734465,7582,dicyclohexylamine,False,0.0,,No metal,True
telithromycin,,11.910508,-0.97254324,,telithromycin,False,0.0,,No metal,True
methylcobalamin,,11.469512,-2.3774872,,methylcobalamin,True,1.0,Co,Contains metal,True
gw-438014a,6918627.0,10.400223,-0.86038303,6918627,gw-438014a,False,0.0,,No metal,True
dihydroartemisinin,3000518.0,7.6976166,3.5882504,3000518,dihydroartemisinin,False,0.0,,No metal,True
bx-795,10077147.0,10.68603,-0.9938722,10077147,bx-795,False,0.0,,No metal,True
bay-w-9798,2167221.0,8.237078,1.0501274,2167221,bay-w-9798,False,0.0,,No metal,True
azd1390,126689157.0,11.0984955,-1.2357919,126689157,azd1390,False,0.0,,No metal,True
nadide,5893.0,11.406395,-2.5039535,5893,nadide,False,0.0,,No metal,True
zset1446,10220323.0,9.921896,-0.89008194,10220323,zset1446,False,0.0,,No metal,True
sophocarpine,115269.0,11.022106,-0.38518792,115269,sophocarpine,False,0.0,,No metal,True
thiophanate,3032791.0,9.18622,0.89651275,3032791,thiophanate,False,0.0,,No metal,True
verapamil,2520.0,11.516862,0.8619899,2520,verapamil,False,0.0,,No metal,True
tc-fpr-43,24776341.0,9.529378,-1.2892675,24776341,tc-fpr-43,False,0.0,,No metal,True
dalfampridine,1727.0,9.050853,0.30148298,1727,dalfampridine,False,0.0,,No metal,True
dideoxyadenosine,20039.0,11.851591,-2.3973088,20039,dideoxyadenosine,False,0.0,,No metal,True
uc-112,3426979.0,11.413405,-0.387233,3426979,uc-112,False,0.0,,No metal,True
5-hmf,237332.0,8.365156,2.0317314,237332,5-hmf,False,0.0,,No metal,True
as-77,11302540.0,7.5135136,1.5782336,11302540,as-77,False,0.0,,No metal,True
tpca-1,9903786.0,9.236841,-0.032894243,9903786,tpca-1,False,0.0,,No metal,True
medrysone,247839.0,8.086692,3.894001,247839,medrysone,False,0.0,,No metal,True
colistimethate,,4.6485267,1.6636864,,colistimethate,False,0.0,,No metal,True
caffeic-acid,689043.0,7.8903923,1.7918024,689043,caffeic-acid,False,0.0,,No metal,True
parcetasal,76961763.0,8.830408,0.82707125,76961763,parcetasal,False,0.0,,No metal,True
