name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
sulmetozine,65790,9.966819,2.8435185,65790,sulmetozine,False,0.0,,No metal,True
ro-5126766,16719221,8.267722,7.4051123,16719221,ro-5126766,False,0.0,,No metal,True
lasmiditan,11610526,6.5345488,7.4689903,11610526,lasmiditan,False,0.0,,No metal,True
malathion,12358970,-1.6528107,6.0022564,12358970,malathion,False,0.0,,No metal,True
mavoglurant,9926832,7.8302655,1.9733028,9926832,mavoglurant,False,0.0,,No metal,True
traxoprodil,219101,8.814419,2.0910394,219101,traxoprodil,False,0.0,,No metal,True
sorafenib,216239,8.205824,7.0733676,216239,sorafenib,False,0.0,,No metal,True
tannic-acid,16129778,10.850859,1.6978548,16129778,tannic-acid,False,0.0,,No metal,True
bunazosin,2472,8.818353,7.3244247,2472,bunazosin,False,0.0,,No metal,True
caroxazone,29083,9.458649,2.7333128,29083,caroxazone,False,0.0,,No metal,True
1-phenylbiguanide,4780,6.4391613,3.506178,4780,1-phenylbiguanide,False,0.0,,No metal,True
cw-008,59528098,8.337031,7.5675993,59528098,cw-008,False,0.0,,No metal,True
chf5074,9996409,7.6612473,1.3612041,9996409,chf5074,False,0.0,,No metal,True
betamethasone-butyrate-propionate,71470,-3.6322613,4.953034,71470,betamethasone-butyrate-propionate,False,0.0,,No metal,True
suprofen,688581,7.663141,1.4868585,688581,suprofen,False,0.0,,No metal,True
bromebric-acid,5284375,10.004517,2.0077069,5284375,bromebric-acid,False,0.0,,No metal,True
propagermanium,83030,-1.6244603,6.0023336,83030,propagermanium,False,0.0,,No metal,True
cardionogen-1,663145,8.166715,7.4870443,663145,cardionogen-1,False,0.0,,No metal,True
flurizan,92337,7.6500225,1.4302894,92337,flurizan,False,0.0,,No metal,True
benznidazole,31593,6.889608,8.151308,31593,benznidazole,False,0.0,,No metal,True
torin-1,49836027,6.2662897,6.624733,49836027,torin-1,False,0.0,,No metal,True
pyridoxal-isonicotinoyl-hydrazone,135409539,7.0560994,6.7390666,135409539,pyridoxal-isonicotinoyl-hydrazone,False,0.0,,No metal,True
pf-3845,25154867,8.038784,6.979501,25154867,pf-3845,False,0.0,,No metal,True
methyl-nicotinate,7151,6.9276304,6.907089,7151,methyl-nicotinate,False,0.0,,No metal,True
gw-583340,5329480,8.572275,7.375969,5329480,gw-583340,False,0.0,,No metal,True
unc0631,53315868,8.829879,7.337596,53315868,unc0631,False,0.0,,No metal,True
hydroquinidine,91503,7.6588707,6.6034446,91503,hydroquinidine,False,0.0,,No metal,True
etp-45658,25229608,8.076585,7.7156086,25229608,etp-45658,False,0.0,,No metal,True
sincalide,9833444,6.931872,6.5216866,9833444,sincalide,False,0.0,,No metal,True
ci-923,76971447,9.477681,2.6849854,76971447,ci-923,False,0.0,,No metal,True
valganciclovir,135483663,4.9507213,9.346461,135483663,valganciclovir,False,0.0,,No metal,True
promestriene,9883915,10.149417,1.202027,9883915,promestriene,False,0.0,,No metal,True
mephenytoin,107921,7.082142,2.4031835,107921,mephenytoin,False,0.0,,No metal,True
iohexol,6604427,7.880631,3.2884812,6604427,iohexol,False,0.0,,No metal,True
elafibranor,9864881,10.184603,1.9730068,9864881,elafibranor,False,0.0,,No metal,True
bms-983970,73388374,7.0597467,3.6534765,73388374,bms-983970,False,0.0,,No metal,True
ginsenoside-re,441921,-3.3475933,5.294201,441921,ginsenoside-re,False,0.0,,No metal,True
stf-118804,20916937,7.9219565,6.8284736,20916937,stf-118804,False,0.0,,No metal,True
resiquimod,159603,6.3879213,8.500278,159603,resiquimod,False,0.0,,No metal,True
nan-190,4431,9.144053,3.486461,4431,nan-190,False,0.0,,No metal,True
halofantrine,36688213,8.092689,1.944703,36688213,halofantrine,False,0.0,,No metal,True
flurofamide,51173,7.077543,2.5383573,51173,flurofamide,False,0.0,,No metal,True
pimavanserin,10071196,9.502944,2.850785,10071196,pimavanserin,False,0.0,,No metal,True
phenazone,2206,6.7128167,3.6587546,2206,phenazone,False,0.0,,No metal,True
indeloxazine,67212739,9.4768505,2.5018883,67212739,indeloxazine,False,0.0,,No metal,True
kpt-9274,117779453,8.218313,7.1681647,117779453,kpt-9274,False,0.0,,No metal,True
clindamycin-phosphate,443385,-2.0576837,6.891008,443385,clindamycin-phosphate,False,0.0,,No metal,True
leniolisib,57495353,8.147569,7.4210315,57495353,leniolisib,False,0.0,,No metal,True
darolutamide,121489720,6.47766,6.5772667,121489720,darolutamide,False,0.0,,No metal,True
alfadolone-acetate,24733,-2.6542249,5.082312,24733,alfadolone-acetate,False,0.0,,No metal,True
idronoxil,219100,9.979797,1.8276142,219100,idronoxil,False,0.0,,No metal,True
pd-118057,9864959,7.936421,3.373492,9864959,pd-118057,False,0.0,,No metal,True
cep-33779,57336812,6.1258993,8.285727,57336812,cep-33779,False,0.0,,No metal,True
mrk-409,22609888,8.203729,7.67783,22609888,mrk-409,False,0.0,,No metal,True
ubp-302,6420161,7.533997,2.5860825,6420161,ubp-302,False,0.0,,No metal,True
clindamycin-palmitate,16052039,-1.975794,6.959509,16052039,clindamycin-palmitate,False,0.0,,No metal,True
td139,73774610,6.157011,6.774749,73774610,td139,False,0.0,,No metal,True
succinic-acid,21952380,-1.6705735,5.96281,21952380,succinic-acid,False,0.0,,No metal,True
bms-986142,86582336,6.5929523,6.295196,86582336,bms-986142,False,0.0,,No metal,True
difenpiramide,100472,6.4556475,7.5110664,100472,difenpiramide,False,0.0,,No metal,True
brincidofovir,483477,-2.593223,8.073523,483477,brincidofovir,False,0.0,,No metal,True
riboflavin-5-phosphate-sodium,643976,7.047909,3.4152622,643976,riboflavin-5-phosphate-sodium,False,0.0,,No metal,True
sacubitril,9811834,7.5037417,2.1630301,9811834,sacubitril,False,0.0,,No metal,True
dihomo-gamma-linolenic-acid,5280581,-2.2570474,6.129921,5280581,dihomo-gamma-linolenic-acid,False,0.0,,No metal,True
gnf-5,44129660,8.29772,7.313031,44129660,gnf-5,False,0.0,,No metal,True
ritanserin,5074,6.8169403,2.4226892,5074,ritanserin,False,0.0,,No metal,True
alda-1,831629,9.89388,2.9153209,831629,alda-1,False,0.0,,No metal,True
freselestat,46936829,7.353364,2.3179617,46936829,freselestat,False,0.0,,No metal,True
cgp-57380,11644425,5.9782076,8.223031,11644425,cgp-57380,False,0.0,,No metal,True
verucerfont,11596613,8.24586,7.57482,11596613,verucerfont,False,0.0,,No metal,True
toltrazuril,68591,9.023277,3.2785363,68591,toltrazuril,False,0.0,,No metal,True
20-hete,5283157,-2.2456074,6.1035724,5283157,20-hete,False,0.0,,No metal,True
nbqx,3272524,6.7885456,3.4916265,3272524,nbqx,False,0.0,,No metal,True
tirofiban,60947,9.330873,2.5582693,60947,tirofiban,False,0.0,,No metal,True
amg-337,44181686,8.309664,7.5867577,44181686,amg-337,False,0.0,,No metal,True
florifenine,216222,6.997966,6.3884377,216222,florifenine,False,0.0,,No metal,True
sdz-nkt-343,9851211,7.170379,3.4626467,9851211,sdz-nkt-343,False,0.0,,No metal,True
bax-channel-blocker,981054,6.198105,6.288355,981054,bax-channel-blocker,False,0.0,,No metal,True
cb-839,71577426,8.204653,7.260363,71577426,cb-839,False,0.0,,No metal,True
zk-93426,115210,7.9281907,6.490937,115210,zk-93426,False,0.0,,No metal,True
phytonadione,5284607,7.207897,1.5715569,5284607,phytonadione,False,0.0,,No metal,True
xl041,49787490,7.1691084,8.095411,49787490,xl041,False,0.0,,No metal,True
parbendazole,26596,6.7720013,8.472721,26596,parbendazole,False,0.0,,No metal,True
cinaciguat,9808022,9.628373,2.9236555,9808022,cinaciguat,False,0.0,,No metal,True
u-50488-(-),6604724,6.8578486,2.395449,6604724,u-50488-(-),False,0.0,,No metal,True
emd-386088,10131112,6.2714386,6.2863545,10131112,emd-386088,False,0.0,,No metal,True
cortodoxone,440707,-3.313867,4.8266954,440707,cortodoxone,False,0.0,,No metal,True
sotrastaurin,10296883,6.6251006,7.8034534,10296883,sotrastaurin,False,0.0,,No metal,True
bay-60-6583,11717831,7.96049,7.2097893,11717831,bay-60-6583,False,0.0,,No metal,True
sq-22536,22879197,5.3770022,9.159473,22879197,sq-22536,False,0.0,,No metal,True
phensuximide,6604215,7.0994363,2.3022258,6604215,phensuximide,False,0.0,,No metal,True
anandamide,5281969,-1.9556227,6.756572,5281969,anandamide,False,0.0,,No metal,True
pralidoxime,4884,5.933546,7.044289,4884,pralidoxime,False,0.0,,No metal,True
tafenoquine,76969188,8.206254,6.6576104,76969188,tafenoquine,False,0.0,,No metal,True
zaltidine,56051,4.9823666,8.8136635,56051,zaltidine,False,0.0,,No metal,True
ots514,67448836,8.3879595,3.3091295,67448836,ots514,False,0.0,,No metal,True
cefoxitin,441199,7.701034,2.5059228,441199,cefoxitin,False,0.0,,No metal,True
gyki-52466,3538,9.961609,2.6453774,3538,gyki-52466,False,0.0,,No metal,True
gw-2580,11617559,8.171086,7.4495535,11617559,gw-2580,False,0.0,,No metal,True
l-methionine,6992087,-1.5775541,7.2386837,6992087,l-methionine,False,0.0,,No metal,True
nornicotine,93047,5.9339924,7.0222006,93047,nornicotine,False,0.0,,No metal,True
idoxuridine,5905,-2.462114,7.935138,5905,idoxuridine,False,0.0,,No metal,True
quinapril,54892,7.471039,2.3025036,54892,quinapril,False,0.0,,No metal,True
l-leucine,7045798,-1.638148,7.0225754,7045798,l-leucine,False,0.0,,No metal,True
sal003,2252542,6.8307257,3.6444998,2252542,sal003,False,0.0,,No metal,True
vorinostat,5311,6.8924994,3.5412703,5311,vorinostat,False,0.0,,No metal,True
calhex-231,11849514,6.990379,2.5969853,11849514,calhex-231,False,0.0,,No metal,True
eprobemide,65659,6.9876194,2.5436323,65659,eprobemide,False,0.0,,No metal,True
tba-354,49836057,8.125609,7.724602,49836057,tba-354,False,0.0,,No metal,True
pyrotinib,51039030,8.601176,7.0765376,51039030,pyrotinib,False,0.0,,No metal,True
