name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
cefoselis,9830520.0,-0.19545244,6.161176,9830520,cefoselis,False,0.0,,No metal,True
isoflurane,4369440.0,3.472941,8.145906,4369440,isoflurane,False,0.0,,No metal,True
cp-775146,10410059.0,-2.3334644,4.2077866,10410059,cp-775146,False,0.0,,No metal,True
n-methylpyrrolidone,13387.0,3.4959557,8.716881,13387,n-methylpyrrolidone,False,0.0,,No metal,True
clomifene,1548955.0,0.8015016,0.093064055,1548955,clomifene,False,0.0,,No metal,True
minerval,11066464.0,1.5732633,6.6896076,11066464,minerval,False,0.0,,No metal,True
pifithrin-alpha,4817.0,-3.760601,5.0085216,4817,pifithrin-alpha,False,0.0,,No metal,True
way-161503,6604916.0,-0.4926746,9.987499,6604916,way-161503,False,0.0,,No metal,True
palonosetron,6337614.0,0.23095167,10.075059,6337614,palonosetron,False,0.0,,No metal,True
quinethazone,6604207.0,-0.838938,9.010128,6604207,quinethazone,False,0.0,,No metal,True
xe-991,656732.0,3.4974103,1.1804701,656732,xe-991,False,0.0,,No metal,True
megestrol,19090.0,2.5720758,7.4986315,19090,megestrol,False,0.0,,No metal,True
ac-7954-(+/-),10937426.0,-3.410695,4.188469,10937426,ac-7954-(+/-),False,0.0,,No metal,True
edonerpic-maleate,9901946.0,-3.291017,4.7075787,9901946,edonerpic-maleate,False,0.0,,No metal,True
norcyclobenzaprine,9918.0,-3.8455298,4.2757344,9918,norcyclobenzaprine,False,0.0,,No metal,True
tucatinib,51039094.0,2.4328158,2.5661266,51039094,tucatinib,False,0.0,,No metal,True
ldn-209929,46871867.0,-0.15200016,-0.20474516,46871867,ldn-209929,False,0.0,,No metal,True
fosfructose,84951.0,1.5531365,8.771774,84951,fosfructose,False,0.0,,No metal,True
liothyronine,7048703.0,-1.419598,4.4291697,7048703,liothyronine,False,0.0,,No metal,True
deoxycorticosterone-acetate,5952.0,2.3106742,7.4257703,5952,deoxycorticosterone-acetate,False,0.0,,No metal,True
ganetespib,135564985.0,3.3410723,1.7482547,135564985,ganetespib,False,0.0,,No metal,True
epirizole,3242.0,-3.58306,5.8200464,3242,epirizole,False,0.0,,No metal,True
opc-21268,114904.0,-2.1159475,4.8105354,114904,opc-21268,False,0.0,,No metal,True
acrivastine,5284514.0,-2.795845,4.34994,5284514,acrivastine,False,0.0,,No metal,True
gsk1070916,46885626.0,2.4582791,2.6286943,46885626,gsk1070916,False,0.0,,No metal,True
zolmitriptan,60857.0,-3.3011103,5.410817,60857,zolmitriptan,False,0.0,,No metal,True
"2,4-dinitrochlorobenzene",6.0,-0.62007654,10.052166,6,"2,4-dinitrochlorobenzene",False,0.0,,No metal,True
astragaloside-a,13943299.0,0.87683254,5.467735,13943299,astragaloside-a,False,0.0,,No metal,True
chir-98014,53396311.0,2.3371983,1.8902191,53396311,chir-98014,False,0.0,,No metal,True
dizocilpine-(+),180081.0,-4.4004755,5.0818434,180081,dizocilpine-(+),False,0.0,,No metal,True
amineptine,38988248.0,-2.78759,4.463933,38988248,amineptine,False,0.0,,No metal,True
lb42708,10099206.0,2.6019955,2.7171588,10099206,lb42708,False,0.0,,No metal,True
p-dimethylinamyl-benzoate,26890.0,0.32316145,9.723491,26890,p-dimethylinamyl-benzoate,False,0.0,,No metal,True
tc2559,9823180.0,-0.12793307,9.89619,9823180,tc2559,False,0.0,,No metal,True
anisindione,2197.0,-4.0630107,5.0812273,2197,anisindione,False,0.0,,No metal,True
dmh1,50997747.0,2.817964,2.7042358,50997747,dmh1,False,0.0,,No metal,True
butabindide,9817923.0,-0.08874297,9.115507,9817923,butabindide,False,0.0,,No metal,True
