name,pubchem_cid,UMAP1,UMAP2
nqdi-1,5522952,7.732674,3.4063303
pf-4981517,71315139,6.033131,8.327569
lithocholic-acid,9903,-2.6843126,5.066912
betahistine,2366,5.913668,7.060517
ehop-016,51031035,6.2099204,8.248345
gka-50,11340230,8.222466,7.200369
oac2,2814138,6.533265,6.3403435
iwp-l6,71601111,6.449358,7.523284
treosulfan,9882105,-1.3482102,5.944455
temsirolimus,134812825,-2.6959763,6.332969
phenylpiracetam,781884,7.114026,2.3102016
gilteritinib,49803313,8.482363,7.551825
moexipril,91270,9.957056,2.9925728
voglibose,444020,-2.2049868,6.620448
esculin,5281417,10.35739,1.6819541
st-2825,24808138,9.188194,3.5869226
st-1535,9860294,5.325739,9.018807
gsk1838705a,25182616,8.307,7.525361
bafilomycin-a1,90656913,-2.757994,6.079915
rivaroxaban,9875401,6.652889,3.4989886
mizoribine,11949547,-2.52316,7.957995
oxotremorine-sesquifumarate,4630,-1.3445181,6.7662354
scabertopin,93959111,-2.6931112,5.9623523
sodium-gluconate,10690,-1.7738389,5.6249795
ly2140023,9834591,-1.739031,7.0101
sulconazole,6604421,7.2487435,8.0942335
vanitiolide,72146,9.813266,2.7865229
ve-821,51000408,6.427064,7.5495386
cp-471474,9907286,9.508105,2.511802
artesunate,6917864,-2.1732202,5.34478
bms-779788,59251511,6.7158723,8.023262
ampiroxicam,25273583,6.793528,7.3642173
bq-788,5311032,6.6831083,6.392686
romidepsin,56840936,-1.9544163,7.13733
rv1729,52913198,8.085631,7.5787244
ethimizol,6168,4.865558,9.177615
jnj-7706621,5330790,7.0762687,3.38418
lurasidone,213046,6.8957386,3.9700398
pi4kiii-beta-inhibitor-1,71549093,7.5398607,7.385973
phenyl-salicylate,8361,10.195243,2.09543
alafosfalin,71957,-1.3615164,6.8768573
cobimetinib,16222096,7.2412577,3.3846855
bhq,2374,9.555762,1.5146326
arbidol,28446253,7.850404,6.3961797
o-1918,40469923,9.912623,1.7422547
mira-1,227681,-1.6941038,6.399102
oxymatrine,24864132,-1.5030704,6.623655
nu-6027,398148,5.364601,9.083068
doxapram,28248394,7.2031116,2.217493
rasagiline,3052776,6.540999,2.0836642
titanocene-dichloride,11075829,-2.0067735,6.063153
cipemastat,9824350,-1.4736116,6.8263645
mrs-1845,92220886,7.4157124,0.7701845
hyaluronic-acid,6852395,-2.4851196,6.6925
alectinib,49806720,6.5188217,6.3513055
sertindole,60149,6.172424,6.3902764
ceftaroline-fosamil,10033059,6.3778605,7.3498654
benzoic-acid,243,7.9015856,1.444745
cabozantinib,25102847,8.413909,6.813959
stigmasterol,5280794,-3.0246112,5.1508045
thz2,78357763,6.628743,7.8626266
ym-58483,2455,6.2088604,6.706874
pd-161570,5328135,6.148917,7.9648685
olda,5282106,8.934214,2.3106508
gw-842166,10253143,6.393756,7.669742
alpha-methylserotonin,14083218,7.757995,6.404657
simurosertib,136443810,6.3737874,6.645297
tak-632,46209401,7.754866,7.4214983
droxicam,65679,6.8407226,7.3549924
eticlopride,57267,9.462713,3.0668359
delapril,5362116,7.533919,2.278079
ly255283,122023,10.640808,1.9424945
varespladib,155815,7.9456844,6.447126
mg-132,462382,7.674284,2.165575
tromaril,31635,7.9800725,3.3524196
tubastatin-a,49850262,6.56449,6.354465
tak-875,24857286,10.49767,1.8443089
daidzein,5281708,10.607176,1.9390181
selegiline,26757,6.5664115,2.0774658
terlipressin,133566182,8.520771,2.3801708
leucylleucine-methyl-ester,7016877,-1.8523498,6.973362
camkii-in-1,50898538,6.079248,7.6388283
procaine,4914,8.254749,3.4162934
etacrynic-acid,3278,10.119695,1.968875
efloxate,8395,10.601122,1.9112383
way-213613,11531745,8.9153,3.38697
equol,91469,10.12499,1.7843442
hydrocortisone-hemisuccinate,16623,-3.5225346,5.047621
febuxostat,134018,7.6962295,7.0173893
ethisterone,5284557,-3.1641684,4.757552
isoflurophate,5936,-1.2624226,6.065494
tartaric-acid,444305,-1.7212807,5.7240014
asp3026,25134326,8.523993,7.561215
bvd-523,11719003,6.5717125,7.6305237
biperiden,12147323,8.049037,1.9455014
dicloralurea,7059662,-1.266629,6.615766
grazoprevir,44603531,7.9136806,6.6349583
pnu-120596,311434,8.888637,3.4788
exalamide,3316,9.753803,2.7118666
skf-83566,6604885,8.995586,2.0397835
dimethindene-(s)-(+),6604866,6.015396,6.8983703
papaverine,4680,8.135679,6.7437916
itacitinib,53380437,6.255913,8.198047
vuf10460,25129523,6.009129,7.7817326
flecainide,46864232,9.540247,2.981302
cycloheximide,6197,-1.8041927,6.422847
psb-1115,5311479,6.5804586,8.134832
ibmx,3758,4.8806486,9.189446
sb-328437,10474776,7.402404,3.220798
8-bromo-camp,32014,5.4028172,9.252484
rs-16566,6604794,6.6676445,8.026232
7-methoxytacrine,119053,7.9656014,6.6044755
gsk2330672,53492727,9.336474,2.9588037
mesna,598,-1.1233515,6.1241884
pralidoxime-chloride,54072659,5.9036956,7.043752
basic-fuchsin,12448,6.5928636,3.4702663
bay-87-2243,67377767,8.307971,7.534293
vardenafil,135400189,8.009226,7.355094
mk-8745,11676373,6.5853124,7.5621967
hexestrol,192197,9.4818735,1.4850224
erythritol,222285,-1.4408691,5.8892875
deoxyepinephrine,4382,8.967446,2.0421233
arc-239,609483,9.11583,3.489549
fexofenadine,6603853,7.92044,1.7713203
ar-a014418,448014,7.7818823,7.572233
cf102,3035850,6.301489,8.725339
calcium-gluceptate,25588,-1.7803091,5.632259
parthenolide,6473881,-2.7839313,5.908486
epz005687,60160561,6.4215627,6.5263877
buthionine-sulfoximine,1548918,-1.5921444,7.211206
tiotidine,50287,4.833361,8.765599
tofisopam,129009868,9.963827,2.5931444
az7550,71496459,8.437737,7.6493177
benzyldimethyloctylammonium,13741,6.5937,2.1194665
oltipraz,47318,5.719567,7.222676
lrrk2-in-1,46843906,8.361205,7.400457
t-1095,6918410,10.874407,1.7436967
gr-144053,173614,6.897253,3.639989
ro-15-4513,5081,6.8610044,7.9267077
ta-01,91691129,6.5405393,8.248427
edaravone,70335,6.677026,3.600296
zk-200775,208953,6.8904085,3.6565647
pexidartinib,25151352,6.2471385,8.13982
