name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
arachidonic-acid,444899,-2.2271237,6.127015,444899,arachidonic-acid,True,0.0,0.0,0.0,False,0 rings
siguazodan,6604007,6.855568,3.6242568,6604007,siguazodan,True,2.0,1.0,1.0,True,2 rings
uprosertib,51042438,8.088272,6.673116,51042438,uprosertib,True,3.0,3.0,0.0,True,3 rings
e-4031,3185,6.5177913,6.687889,3185,e-4031,True,3.0,2.0,1.0,True,3 rings
atpa,11345201,-1.7080274,7.051786,11345201,atpa,True,1.0,1.0,0.0,True,1 ring
remetinostat,24875489,9.927961,2.3344605,24875489,remetinostat,True,1.0,1.0,0.0,True,1 ring
ranirestat,153948,6.4689074,6.809011,153948,ranirestat,True,4.0,2.0,2.0,True,4+ rings
sodium-picosulfate,5243,7.270333,6.725656,5243,sodium-picosulfate,True,3.0,3.0,0.0,True,3 rings
avridine,37186,-1.5776452,6.457685,37186,avridine,True,0.0,0.0,0.0,False,0 rings
clindamycin,446598,-2.0386279,6.8765593,446598,clindamycin,True,2.0,0.0,2.0,True,2 rings
ha14-1,6976314,10.038905,2.102029,6976314,ha14-1,True,2.0,1.0,1.0,True,2 rings
onc201,73777259,6.839116,2.4467983,73777259,onc201,True,5.0,2.0,3.0,True,4+ rings
apto-253,11960271,6.416683,8.414365,11960271,apto-253,True,6.0,6.0,0.0,True,4+ rings
pf-5274857,56956240,6.2413583,7.566055,56956240,pf-5274857,True,3.0,2.0,1.0,True,3 rings
telotristat,25025298,8.322161,7.449336,25025298,telotristat,True,4.0,4.0,0.0,True,4+ rings
diethylstilbestrol,448537,9.466682,1.4903172,448537,diethylstilbestrol,True,2.0,2.0,0.0,True,2 rings
rhein,10168,10.270982,1.6146771,10168,rhein,True,3.0,2.0,1.0,True,3 rings
dbeq,676352,5.98988,7.7267056,676352,dbeq,True,4.0,4.0,0.0,True,4+ rings
chloroprocaine,8612,8.244041,3.4534469,8612,chloroprocaine,True,1.0,1.0,0.0,True,1 ring
cy208-243,58144,6.18846,6.2935,58144,cy208-243,True,5.0,3.0,2.0,True,4+ rings
09/01/92,7141881,7.919225,6.3914967,7141881,09/01/92,True,2.0,2.0,0.0,True,2 rings
darifenacin,444031,9.708383,2.8169277,444031,darifenacin,True,5.0,3.0,2.0,True,4+ rings
carmoxirole,86308157,6.940863,6.313239,86308157,carmoxirole,True,4.0,3.0,1.0,True,4+ rings
