name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
butibufen,71314316.0,8.463235,1.9535213,71314316,butibufen,True,1.0,1.0,0.0,True,1 ring
miridesap,125516.0,11.887026,-0.27745697,125516,miridesap,True,2.0,0.0,2.0,True,2 rings
efaroxan,11957548.0,10.165658,0.4105066,11957548,efaroxan,True,3.0,1.0,2.0,True,3 rings
am-580,2126.0,9.118189,1.0980526,2126,am-580,True,3.0,2.0,1.0,True,3 rings
l-152804,969478.0,7.4662986,1.7531075,969478,l-152804,True,4.0,1.0,3.0,True,4+ rings
a61603,6604803.0,3.9693084,1.748218,6604803,a61603,True,3.0,1.0,2.0,True,3 rings
tangeritin,68077.0,7.465475,1.5272033,68077,tangeritin,True,3.0,3.0,0.0,True,3 rings
kaempferol,5280863.0,7.24853,1.4459527,5280863,kaempferol,True,3.0,3.0,0.0,True,3 rings
nialamide,4472.0,9.776286,1.1350509,4472,nialamide,True,2.0,2.0,0.0,True,2 rings
efatutazone,76962475.0,10.2724285,-1.2805388,76962475,efatutazone,True,5.0,4.0,1.0,True,4+ rings
doxercalciferol,46931009.0,8.152194,3.8198473,46931009,doxercalciferol,True,3.0,0.0,3.0,True,3 rings
pf-06273340,66571548.0,10.112516,-0.78741497,66571548,pf-06273340,True,4.0,4.0,0.0,True,4+ rings
cintirorgon,124126348.0,4.2649527,1.995746,124126348,cintirorgon,True,4.0,3.0,1.0,True,4+ rings
neridronic-acid,71237.0,9.06235,1.9926299,71237,neridronic-acid,True,0.0,0.0,0.0,False,0 rings
tyrphostin-ag-99,5328768.0,9.134709,1.2958841,5328768,tyrphostin-ag-99,True,1.0,1.0,0.0,True,1 ring
nampt-in-1,92044379.0,4.084458,1.508393,92044379,nampt-in-1,True,3.0,2.0,1.0,True,3 rings
vanillylacetone,31211.0,8.013414,1.853857,31211,vanillylacetone,True,1.0,1.0,0.0,True,1 ring
nsc-663284,379077.0,11.714279,-1.2000985,379077,nsc-663284,True,3.0,1.0,2.0,True,3 rings
sitaxentan,216235.0,4.0527153,2.217265,216235,sitaxentan,True,4.0,3.0,1.0,True,4+ rings
osemozotan,198747.0,10.581193,1.1393954,198747,osemozotan,True,4.0,2.0,2.0,True,4+ rings
drofenine,38988270.0,11.430891,1.0284897,38988270,drofenine,True,2.0,1.0,1.0,True,2 rings
semapimod,492132.0,9.568224,1.1579642,492132,semapimod,True,2.0,2.0,0.0,True,2 rings
erteberel,10286159.0,7.411458,1.4185269,10286159,erteberel,True,4.0,2.0,2.0,True,4+ rings
inc-280,25145656.0,9.525032,-1.119722,25145656,inc-280,True,5.0,5.0,0.0,True,4+ rings
acoziborole,44178354.0,9.062501,0.5193041,44178354,acoziborole,True,3.0,2.0,1.0,True,3 rings
merimepodib,153241.0,11.474165,-1.1872244,153241,merimepodib,True,4.0,3.0,1.0,True,4+ rings
bqu57,,9.453393,-1.3099378,,bqu57,True,3.0,2.0,1.0,True,3 rings
cnx-2006,56968072.0,11.404962,-1.4311572,56968072,cnx-2006,True,4.0,3.0,1.0,True,4+ rings
s63845,122197581.0,11.210095,-1.5604243,122197581,s63845,True,7.0,6.0,1.0,True,4+ rings
estrone,5870.0,7.8470407,3.3100104,5870,estrone,True,4.0,1.0,3.0,True,4+ rings
fk-3311,164009.0,4.330956,2.0995584,164009,fk-3311,True,2.0,2.0,0.0,True,2 rings
tubocurarine,6000.0,11.889471,0.09495043,6000,tubocurarine,True,8.0,4.0,4.0,True,4+ rings
clinofibrate,,7.847908,2.316003,,clinofibrate,True,3.0,2.0,1.0,True,3 rings
indirubin,,9.391616,-0.1907645,,indirubin,True,4.0,2.0,2.0,True,4+ rings
droxidopa,92974.0,9.183288,1.5136174,92974,droxidopa,True,1.0,1.0,0.0,True,1 ring
