compound_embedding_row_index,compound_name,n_test_signatures,n_test_cell_lines,mean_response_mse,median_response_mse,mean_response_mae,mean_response_cosine,mean_response_pearson,source_normalized_inverted_score,n_profiles
6561,(3-Isopropoxyphenyl)(1-((5-methyl-1-propyl-1H-pyrazol-4-yl)methyl)piperidin-3-yl)methanone; BRD-A12083771,8,4,0.89768004,0.8732701,0.7552481,0.6286480650305748,0.6274047344923019,0.2990813153357244,8
6566,"6-[4-(Diethylamino)phenyl]-9-phenyl-5,6,8,9,10,11-hexahydrobenzo[b][1,4]benzodiazepin-7-one; STK-064652",1,1,1.1330277,1.1330277,0.84222317,0.5609626173973083,0.5634813904762268,0.273191846241841,1
6572,7-[(4-Ethyl-1-piperazinyl)-(3-pyridinyl)methyl]-8-quinolinol; BRD-A32214171,6,6,0.72136265,0.6978128,0.6883666,0.6502013206481934,0.6520403325557709,0.7625355714671992,6
6603,4-[2-[[(3-Fluorophenyl)-oxomethyl]amino]ethylamino]-1-piperidinecarboxylic acid ethyl ester; BRD-K27520107,1,1,0.9401911,0.9401911,0.78498876,0.6753641366958618,0.675238847732544,0.1734560927931447,1
6614,"BRD-K79235952; Ethyl 3-(methylthio)-4-oxo-4,5,6,7-tetrahydrobenzo[c]thiophene-1-carboxylate",1,1,0.92470014,0.92470014,0.7384084,0.6337796449661255,0.6307236552238464,0.4916434678870049,1
6621,5-Chloro-7-[(4-ethoxyphenyl)-(3-pyridinylamino)methyl]-8-quinolinol; BRD-A07614565,3,3,0.5651249,0.5603369,0.60102326,0.6640167037645975,0.6639880935351054,0.7830075541858024,3
6671,"2-[[5-[(2,6-Dimethylphenoxy)methyl]-4-ethyl-1,2,4-triazol-3-yl]thio]-1-(4-phenyl-1-piperazinyl)ethanone; BRD-K56555032",1,1,0.9280408,0.9280408,0.78540146,0.6615692973136902,0.6551125049591064,0.3875256385604547,1
6672,"3-[3-[(5-ethyl-[1,2,4]triazino[5,6-b]indol-3-yl)thio]propyl]-1H-benzimidazol-2-one; BRD-K95547711",1,1,0.9385989,0.9385989,0.7894322,0.6252201795578003,0.6268072128295898,0.5769576751488418,1
6682,"(2R,3R,3aS,9bS)-3-(hydroxymethyl)-N,N-dimethyl-6-oxo-7-phenyl-1-(3,3,3-trifluoropropyl)-3,3a,4,9b-tetrahydro-2H-pyrrolo[2,3-a]indolizine-2-carboxamide; BRD-K91834385",4,3,0.7302005,0.6867213,0.67795587,0.5801831185817719,0.5768724232912064,0.3574260290586937,4
6688,"2-(dimethylamino)-1-[(8S,9R,10R)-10-(hydroxymethyl)-9-[4-[(E)-2-phenylethenyl]phenyl]-1,6-diazabicyclo[6.2.0]decan-6-yl]ethanone; BRD-K84447616",5,5,0.6952316,0.69309705,0.66318834,0.598707377910614,0.5979702234268188,0.7564802271675207,5
6694,3-[[(E)-4-(dimethylamino)but-2-enoyl]amino]-N-[3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]phenyl]benzamide; THZ-2-98-01,10,6,0.7698042,0.7572737,0.702145,0.599087905883789,0.6008184432983399,0.7401145103125366,10
6699,"BRD-K71970656; N2,N2,N9,N9-tetramethyl-11-oxo-5,6-dihydrodibenzo[3,1-b:3',1'-f][7]annulene-2,9-disulfonamide",1,1,0.7562759,0.7562759,0.7004923,0.5700485110282898,0.5676816701889038,0.1744337669063687,1
6720,"2-[(2S,4aS,12aS)-5-methyl-6-oxo-8-[(2-thiophen-2-ylacetyl)amino]-2,3,4,4a,12,12a-hexahydropyrano[2,3-c][1,5]benzoxazocin-2-yl]-N-[(3R)-1-benzylpyrrolidin-3-yl]acetamide; SA-1472702",2,2,0.7815223,0.7815223,0.7010588,0.6003969311714172,0.5969074070453644,0.3555760926763847,2
6724,BRD-K67548518; CID 73819568,16,7,0.7221167,0.6953584,0.6777569,0.6464236490428448,0.6488301530480385,0.7889863828778314,16
6736,5-[[4-(4-Methyl-1-piperazinyl)-1-piperidinyl]methyl]-8-quinolinol; BRD-K45763312,1,1,0.78629804,0.78629804,0.7088312,0.5650695562362671,0.563927948474884,0.7135242638397074,1
6738,1-[2-(1-Adamantyl)ethoxy]-3-(4-methyl-1-piperazinyl)-2-propanol; ST-003833,1,1,0.8211233,0.8211233,0.74882066,0.6424551606178284,0.6386634111404419,0.0,1
6760,"1-[2,5-Difluoro-3,4-bis(phenylmethoxy)phenyl]-2-(methylamino)ethanol; BRD-A84524947",11,9,0.76086867,0.7338418,0.6999954,0.6386914903467352,0.6378645951097662,0.6145371085933057,11
6763,H-8; N-(2-(Methylamino)ethyl)-5-isoquinolinesulfonamide,4,4,0.83016914,0.74660116,0.7114339,0.6009311676025391,0.5963824540376663,0.678768263445451,4
6769,"BRD-K13580623; N2,N9-dimethyl-11-oxo-5,6-dihydrodibenzo[3,1-b:3',1'-f][7]annulene-2,9-disulfonamide",1,1,0.9033358,0.9033358,0.777557,0.614918053150177,0.6136681437492371,0.0217107126934312,1
6771,(2S)-1-[(2S)-3-methyl-2-[[(2S)-2-(methylamino)-1-oxopropyl]amino]-1-oxobutyl]-N-(5-quinolinyl)-2-pyrrolidinecarboxamide; BRD-K61053657,3,2,1.0059452,0.976895,0.7906007,0.5846676031748453,0.5843192934989929,0.2744256746808208,3
6778,"1-[(3R,3aR)-3-[(1S)-1-hydroxy-2-phenylethyl]-3,3a,6,7-tetrahydro-1H-cyclohepta[c]pyrrol-2-yl]-1-cyclohexanecarboxylic acid methyl ester; BRD-K01800709",3,3,0.73017216,0.68101823,0.67937535,0.6521617968877157,0.6490890185038248,0.5034242142592142,3
6791,2-[3-(3-Methoxyphenyl)-1-indazolyl]acetic acid methyl ester; BJM-AF-64,1,1,0.9095526,0.9095526,0.7686579,0.6482967138290405,0.6473145484924316,0.6601016206893415,1
6801,"(3S)-3-(2-methylpropyl)-4-oxo-3-phenyldiazetidine-1,2-dicarboxylic acid dimethyl ester; FU-JMBII113B",4,4,0.8650847,0.93948865,0.74492824,0.6336504518985748,0.6368874609470367,0.6586126389534623,4
6809,5-Bromo-2-[[2-(4-tert-butylphenoxy)-1-oxoethyl]amino]benzoic acid methyl ester; BRD-K44494044,2,2,0.8664703,0.8664703,0.7410992,0.5881775915622711,0.5860933363437653,0.7896774117937366,2
6814,"1R,3S-Rsl 3; BRD-K56411643",28,10,0.6218896,0.6144688,0.6260241,0.6493948400020599,0.6489072410123689,0.8281657201238014,28
6817,5-[[[Anilino(sulfanylidene)methyl]hydrazinylidene]methyl]-1-(4-chlorophenyl)-4-pyrazolecarboxylic acid methyl ester; BRD-K32636001,4,4,0.77233434,0.72952557,0.71403134,0.5684992074966431,0.5651177242398262,0.4450169849208872,4
6822,"3-(1,3-Benzothiazol-2-yl)-2-methoxypropanoic acid; BRD-A74699940",1,1,0.7694342,0.7694342,0.6805754,0.6664718985557556,0.6680851578712463,0.5941846884497194,1
