compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,source_normalized_inverted_score,mean_source_normalized_error_z,target_handoff_difference,absolute_target_handoff_difference
732,Elimusertib; Elimusertib hydrochloride,144,0.8077423,0.8110095,0.8077422719169107,0.0819665824344019,2.8083089298469588e-08,2.8083089298469588e-08
5129,Adagrasib,142,0.8133906,0.8427909,0.8133906328213171,0.0539553695640317,-3.282131710857783e-08,3.282131710857783e-08
3078,c-Kit-IN-1,143,0.80726993,0.81444204,0.80726992283353,0.0843090444242822,7.16646997300785e-09,7.16646997300785e-09
5155,Fingolimod (hydrochloride); Fingolimod Hydrochloride,138,0.80725104,0.78712165,0.8072510346374547,0.084402714303024,5.362545296705434e-09,5.362545296705434e-09
3294,BAY1125976; Bay-1125976,143,0.80660605,0.8193761,0.8066060391370689,0.0876013601699416,1.0862931110189322e-08,1.0862931110189322e-08
3558,Adenine,143,0.80488324,0.7832371,0.8048832132329979,0.0961451561408879,2.6767002059280287e-08,2.6767002059280287e-08
5523,Methyl Aminolevulinate Hydrochloride; Methyl aminolevulinate (hydrochloride),138,0.8046736,0.76713103,0.8046736049062932,0.0971846406140117,-4.906293260553696e-09,4.906293260553696e-09
2701,Tomivosertib,139,0.8044332,0.83272374,0.8044332399129366,0.0983766527940843,-3.991293662242157e-08,3.991293662242157e-08
5287,Daptomycin,138,0.8037075,0.84377897,0.8037075096107177,0.1019756767102211,-9.610717666141966e-09,9.610717666141966e-09
5522,Benztropine (mesylate); Benztropine mesylate,137,0.8034648,0.81149054,0.8034647751085349,0.103179439700352,2.4891465111309685e-08,2.4891465111309685e-08
1846,Aliskiren,148,0.8260492,0.8336468,0.8260492241623176,-0.0088208061607128,-2.4162317591169824e-08,2.4162317591169824e-08
243,Abiraterone Acetate; Abiraterone acetate,143,0.80993634,0.845164,0.8099363690327248,0.0710856698281645,-2.9032724779831653e-08,2.9032724779831653e-08
5153,Vinblastine (sulfate); Vinblastine Sulfate,143,0.8012332,0.8721429,0.8012331577605583,0.1142464217217413,4.223944172210281e-08,4.223944172210281e-08
3315,Capivasertib,141,0.8009638,0.85991824,0.8009638356480819,0.1155820373367753,-3.564808193079472e-08,3.564808193079472e-08
97,Futibatinib,143,0.80062354,0.8215499,0.8006235634626502,0.1172695068135502,-2.3462650156069742e-08,2.3462650156069742e-08
5202,L-Eflornithine (monohydrochloride),140,0.80058485,0.8020544,0.8005848636213682,0.1174614261173174,-1.3621368144534074e-08,1.3621368144534074e-08
5187,Lapatinib Ditosylate; Lapatinib ditosylate,138,0.80045336,0.80226374,0.800453374681981,0.1181135028407438,-1.4681980964326158e-08,1.4681980964326158e-08
5521,"2-Naphthacenecarboxamide, 4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-, hydrochloride (1:1), (4S,4aS,5aS,6S,12aS)-; Tetracycline (hydrochloride)",136,0.8002238,0.90303075,0.8002238491359345,0.1192517602995545,-4.9135934432342765e-08,4.9135934432342765e-08
5174,Fluvoxamine (maleate); Fluvoxamine Maleate,145,0.79909474,0.84305334,0.7990947272150073,0.1248512740379594,1.2784992731162959e-08,1.2784992731162959e-08
5193,5-((6-chloro-5-(1-methylindol-5-yl)-1H-benzimidazol-2-yl)oxy)-2-methylbenzoic acid; EX229,145,0.7987959,0.81234676,0.798795849669341,0.1263334602324185,5.0330658973862796e-08,5.0330658973862796e-08
5535,Gallic acid (hydrate); Gallic acid monohydrate,291,0.7970027,0.76850575,0.7970026744369013,0.1352261308672851,2.5563098637881865e-08,2.5563098637881865e-08
5411,Ligustrazine; Tetramethylpyrazine,138,0.7970364,0.7680203,0.7970364070138776,0.13505884509884,-7.013877589834294e-09,7.013877589834294e-09
5136,Pasireotide (acetate); Pasireotide acetate,146,0.81977946,0.8379072,0.819779451088368,0.0222720987006441,8.911631987906787e-09,8.911631987906787e-09
4178,Vilanterol,144,0.7963124,0.81276816,0.7963123822110122,0.1386494111444109,1.7788987838329717e-08,1.7788987838329717e-08
4777,bergenin,145,0.811602,0.85537446,0.8116019942614053,0.0628255420437601,5.738594710535949e-09,5.738594710535949e-09
1338,Pimitespib,140,0.79340094,0.8197135,0.7934009366714431,0.1530877804606738,3.3285569855934227e-09,3.3285569855934227e-09
5175,Fostamatinib (disodium hexahydrate),135,0.7923059,0.8416201,0.7923058942611132,0.1585182879259289,5.738886810213728e-09,5.738886810213728e-09
609,Captopril,146,0.8096722,0.79922837,0.8096721858907836,0.0723958003865546,1.4109216350810527e-08,1.4109216350810527e-08
5159,NG-25; NG25,144,0.7918529,0.7966267,0.7918528765015186,0.1607648824889927,2.3498481382944192e-08,2.3498481382944192e-08
5149,Rutin (trihydrate); Rutin trihydrate,138,0.79171556,0.85180455,0.791715568486213,0.1614458170309996,-8.486213065594939e-09,8.486213065594939e-09
5172,Atazanavir (sulfate); Atazanavir Sulfate,142,0.79165,0.8404261,0.7916499981561553,0.1617709918037011,1.8438446325319546e-09,1.8438446325319546e-09
5538,"DT-061; N-((1R,2R,3S)-2-Hydroxy-3-(10H-phenoxazin-10-yl)cyclohexyl)-4-(trifluoromethoxy)benzenesulfonamide",141,0.79149735,0.8323492,0.7914973321985972,0.1625280890762716,1.7801402796280286e-08,1.7801402796280286e-08
5401,Methylthiouracil,134,0.79069555,0.7784234,0.7906955490373396,0.1665042724657477,9.62660395842363e-10,9.62660395842363e-10
5191,Rimonabant (Hydrochloride); Rimonabant Hydrochloride,279,0.7938669,0.8117439,0.7938668825501582,0.1507770730863311,1.7449841793748533e-08,1.7449841793748533e-08
4155,Arbutin,137,0.79028815,0.8246474,0.7902881800911995,0.168524486552671,-3.0091199532122914e-08,3.0091199532122914e-08
1571,3-(4-Methylpiperazine-1-carbonyl)-7-oxabicyclo(2.2.1)heptane-2-carboxylic acid; LB-100,130,0.78893524,0.833268,0.788935269218133,0.1752338089740734,-2.9218132913122474e-08,2.9218132913122474e-08
3188,ETC-206; Tinodasertib,135,0.7837977,0.8333763,0.7837976709810395,0.200712060151224,2.9018960567839258e-08,2.9018960567839258e-08
2243,Cepharanthine,154,0.84479606,0.80671465,0.8447960674591338,-0.1017896916695935,-7.459133866127843e-09,7.459133866127843e-09
5180,Cabozantinib (S-malate); Cabozantinib S-malate,142,0.7815705,0.8244958,0.7815704779639238,0.2117571011395152,2.2036076186005005e-08,2.2036076186005005e-08
5184,Elagolix Sodium; Elagolix sodium,143,0.7815567,0.8255809,0.781556734534882,0.2118252572157601,-3.453488195415133e-08,3.453488195415133e-08
3280,Lonafarnib,164,0.8679238,0.8274344,0.867923807675444,-0.21648421373958,-7.67544394708608e-09,7.67544394708608e-09
174,Megestrol,153,0.8064782,0.8391038,0.8064782003977693,0.0882353349106147,-3.9776926197276907e-10,3.9776926197276907e-10
696,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid; Retinoic Acid",144,0.77696544,0.7994816,0.776965446657,0.2345942594578397,-6.6569999512822164e-09,6.6569999512822164e-09
616,Darolutamide,141,0.7747856,0.80526507,0.7747855766100635,0.2454046175330195,2.3389936432138825e-08,2.3389936432138825e-08
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,135,0.7751711,0.7725934,0.7751710763976877,0.2434928564406648,2.3602312326787e-08,2.3602312326787e-08
5182,(R)-Verapamil (hydrochloride); Dexverapamil Hydrochloride,143,0.7774906,0.81664544,0.7774906293211467,0.2319897864699741,-2.9321146621796856e-08,2.9321146621796856e-08
5188,Nafamostat (mesylate); Nafamostat Mesylate,146,0.7962603,0.7957514,0.7962603132336579,0.1389076303399079,-1.3233657836231316e-08,1.3233657836231316e-08
5208,HI-TOPK-032; HI-Topk-032,141,0.76726717,0.8157423,0.7672671930326451,0.2826896009808499,-2.3032645124487772e-08,2.3032645124487772e-08
5520,"(2S)-N-(2,6-dimethylphenyl)-1-propyl-2-piperidinecarboxamide hydrochloride monohydrate; Ropivacaine (hydrochloride monohydrate)",144,0.7663139,0.7792541,0.7663139044383933,0.2874171263979407,-4.438393319539102e-09,4.438393319539102e-09
4072,"5-[(E)-2-bromoethenyl]-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione; Brivudine",153,0.8253179,0.8480503,0.8253178964424851,-0.0051940236684238,3.557514949292795e-09,3.557514949292795e-09
5203,Cysteamine (hydrochloride); Cysteamine Hydrochloride,142,0.762,0.76087415,0.76200003167608,0.3088103784025325,-3.167607998122435e-08,3.167607998122435e-08
