compound_embedding_row_index,compound_name,n_profiles,mean_source_normalized_error_z,source_normalized_inverted_score,recomputed_n_profiles,recomputed_mean_source_normalized_error_z,profile_count_difference,mean_error_difference
2200,(2R)-N-hydroxy-2-[(4-methoxyphenyl)sulfonyl-(pyridin-3-ylmethyl)amino]-3-methylbutanamide; Cgs-27023,1,0.1527065457415067,0.7934778112892296,1,0.1527065457415067,0,0.0
4813,methoxamine,4,0.8577960176955395,0.6512990407402965,4,0.8577960176955395,0,0.0
7609,"BRD-K82685933; N,N-dimethyl-N'-[5-(2-methylquinolin-4-yl)sulfanyl-1,3,4-thiadiazol-2-yl]methanimidamide",12,0.7276848379238529,0.6775354948506418,12,0.7276848379238529,0,0.0
4923,pralidoxime,4,0.8584001309651024,0.6511772234598587,4,0.8584001309651024,0,0.0
6082,2-fluoro-N-[2-[4-(2-oxo-3H-benzimidazol-1-yl)piperidin-1-yl]ethyl]benzamide,1,0.1533409254364222,0.7933498908923552,1,0.1533409254364222,0,0.0
280,1-[3-(Acetylsulfanyl)propanoyl]-6-methyl-2-piperidinecarboxylic acid; methiopril,2,0.7286681628341792,0.6773372108989429,2,0.7286681628341791,0,1.1102230246251565e-16
1714,(2S)-N-[(1S)-1-cyclohexyl-2-[(2S)-2-[5-(4-fluorobenzoyl)pyridin-3-yl]pyrrolidin-1-yl]-2-oxoethyl]-2-(methylamino)propanamide; (s)-n-((s)-1-Cyclohexyl-2-((s)-2-(5-(4-fluorobenzoyl)pyridin-3-yl)pyrrolidin-1-yl)-2-oxoethyl)-2-(methylamino)propanamide,4,0.1538042907492955,0.793256454934055,4,0.1538042907492955,0,0.0
2648,4-Methylumbelliferone; hymecromone,8,0.7822754799863879,0.6665274871003374,8,0.7822754799863879,0,0.0
7965,BRD-K94390040; [1-[4-(4-Bromophenyl)-2-thiazolyl]-4-piperidinyl]-(1-piperazinyl)methanone,11,0.7296632927864707,0.6771365465027478,11,0.7296632927864707,0,0.0
798,Bucladesine; bucladesine,22,0.7457211950465791,0.6738985279366643,22,0.7457211950465791,0,0.0
7372,"BRD-K43581698; N-[(2S,3R)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl-[(4-phenoxyphenyl)methyl]amino]methyl]-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-8-yl]benzenesulfonamide",1,0.7304264443396696,0.6769826597211517,1,0.7304264443396696,0,0.0
24054,"BRD-K93744531; N-(3-methoxy-1,4-dioxo-1,4-dihydronaphthalen-2-yl)benzenesulfonamide",1,0.7305372423832556,0.6769603176918875,1,0.7305372423832556,0,0.0
18692,cantharidin,1,0.8611415259251978,0.6506244309696585,1,0.8611415259251978,0,0.0
24158,Sevoflurane,1,-0.0484445301310318,0.8340392064025255,1,-0.0484445301310318,0,0.0
23957,"1-[(2S,3S,6R)-6-[2-[4-(4-fluorophenyl)-1-triazolyl]ethyl]-2-(hydroxymethyl)-3-oxanyl]-3-propan-2-ylurea; BRD-K02246294",8,0.7309414350370291,0.6768788136886874,8,0.7309414350370291,0,0.0
5267,Ipriflavone; ipriflavone,2,0.7320899216614212,0.6766472254679821,2,0.7320899216614212,0,0.0
5501,Uracil Mustard; uracil-mustard,10,0.7323355224460707,0.6765977009480505,10,0.7323355224460707,0,0.0
8327,"4-[[6,7-Bis(hydroxymethyl)-4-quinazolinyl]amino]phenol; BRD-K72541103",4,0.7329512721425236,0.6764735372237434,4,0.7329512721425238,0,-1.1102230246251565e-16
23981,Promegestone,1,-0.0483180491408525,0.8340137019631645,1,-0.0483180491408525,0,0.0
965,LY-16350; Quinelorane,1,0.7335872019177941,0.6763453042587086,1,0.7335872019177941,0,0.0
3033,5-[[(2R)-azetidin-2-yl]methoxy]-2-chloropyridine; Tebanicline,4,0.1565887263744952,0.7926949834476543,4,0.1565887263744952,0,0.0
3676,"Capzimin; N-[2-(1,3-thiazol-2-yl)ethyl]-8-[[3-[2-(1,3-thiazol-2-yl)ethylcarbamoyl]quinolin-8-yl]disulfanyl]quinoline-3-carboxamide",2,0.1567443420139425,0.7926636041104569,2,0.15674434201394255,0,-5.551115123125783e-17
4802,curcumin,68,-0.0199918569235059,0.828301826599838,68,-0.01999185692350591,0,1.0408340855860843e-17
7228,"BRD-K25719068; N-[(3R,9R,10S)-9-[[[anilino(oxo)methyl]-methylamino]methyl]-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]cyclohexanecarboxamide",1,0.7348358819613077,0.676093512393339,1,0.7348358819613077,0,0.0
6365,"BRD-K64233461; N-[[(4S,5S)-2-[(2S)-1-hydroxypropan-2-yl]-4-methyl-8-(3-methylbut-1-ynyl)-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-5-yl]methyl]-N,1-dimethyl-4-imidazolesulfonamide",3,0.7352229024636259,0.6760154710930708,3,0.7352229024636259,0,0.0
1004,Tomelukast; tomelukast,4,0.7557946091609897,0.6718672600040316,4,0.7557946091609897,0,0.0
8032,"2-[(3R,6aR,8R,10aR)-3-hydroxy-1-[[3-(trifluoromethyl)phenyl]methyl]-3,4,6,6a,8,9,10,10a-octahydro-2H-pyrano[2,3-c][1,5]oxazocin-8-yl]-N-(2-pyridin-4-ylethyl)acetamide; SA-1459454",1,0.7353998393672612,0.6759797923991968,1,0.7353998393672612,0,0.0
6384,"1-[(3R,9S,10S)-12-[(2S)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl-(phenylmethyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-propan-2-ylurea; BRD-K97149069",1,0.7354716958390426,0.6759653027986279,1,0.7354716958390426,0,0.0
6066,2-(6-aminopurin-9-yl)-N-[(4-sulfamoylphenyl)methyl]acetamide,2,0.1580515203138679,0.7924000162808775,2,0.1580515203138679,0,0.0
1062,4-Nitrocaramiphen; nitrocaramiphen,2,0.7364266335797642,0.6757727430181645,2,0.7364266335797642,0,0.0
7854,"5-Bromo-4-[(1-methyl-5-tetrazolyl)thio]thieno[2,3-d]pyrimidine; BRD-K05359840",2,0.7371552234343727,0.675625825479493,2,0.7371552234343726,0,1.1102230246251565e-16
20146,pyrvinium,6,0.8689649237054883,0.6490468707845174,6,0.8689649237054883,0,0.0
21242,sulfaguanidine,5,0.8690114300051006,0.6490374929555116,5,0.8690114300051004,0,2.220446049250313e-16
3683,RKI-1447; Rki-1447,3,0.7383770152497359,0.675379455529175,3,0.7383770152497359,0,0.0
7403,"1-[(3S,9S,10S)-9-[[cyclopropylmethyl(methyl)amino]methyl]-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-(1-naphthalenyl)urea; BRD-K60379529",3,0.73870500527416,0.675313317513675,3,0.7387050052741602,0,-1.1102230246251565e-16
7626,"2-Amino-4-(4-chlorophenyl)-1-(4-methylphenyl)-6-oxopyridine-3,5-dicarbonitrile; BRD-K12168891",2,0.7387384996618132,0.675306563490184,2,0.7387384996618132,0,0.0
3971,PKCbeta Inhibitor; PKCbeta-inhibitor,13,0.7389396460746716,0.6752660030353509,13,0.7389396460746716,0,0.0
1190,Gabexate; ethyl 4-[6-(diaminomethylideneamino)hexanoyloxy]benzoate,10,0.7144253328133876,0.6802092266388484,10,0.7144253328133876,0,0.0
1897,MK-0812,1,0.7396943066340481,0.6751138284322944,1,0.7396943066340481,0,0.0
7135,"I-212148; [(1S,4R,6E,9R,12R,13S,15R,16R)-4,9-dibenzyl-15-(hydroxymethyl)-13-methoxy-3,10-dioxo-2,11,14-trioxabicyclo[10.4.0]hexadec-6-en-16-yl] 2,6-dimethoxybenzoate",3,0.7402657587472733,0.6749985971572325,3,0.7402657587472731,0,2.220446049250313e-16
24126,"1-[(2S,3S)-2-[[benzyl(methyl)amino]methyl]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-3-naphthalen-1-ylurea; BRD-K06414098",8,0.7403657010550688,0.6749784441482694,8,0.7403657010550688,0,0.0
1528,Chaetocin from Chaetomium minutum; chaetocin,35,0.0747366485372459,0.8092001622323042,35,0.07473664853724597,0,-6.938893903907228e-17
2077,BRD-K50495309; Src Kinase Inhibitor I,10,0.7412126431546033,0.6748076613026479,10,0.7412126431546033,0,0.0
24034,Morphine,15,-0.2715412285006085,0.8790258578126042,15,-0.2715412285006085,0,0.0
