murcko_scaffold,n_compounds
O=c1ccc(C2CC3OC34C2CCC2C3CCCCC3CCC24)co1,1
O=c1cc[nH]c(=S)[nH]1,1
O=c1cc(Nc2ccccc2)c2c(=O)[nH]cnc2[nH]1,1
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,1
O=c1cc(N2CCOCC2)nc2c(CNc3ccccc3)cccn12,1
O=c1[nH]cnc2[nH]cc(CCc3ccccc3)c12,1
O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,1
O=c1c2ccccc2sc2ccccc12,1
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,1
O=c1c2ccccc2nc(CNc2ncnc3[nH]cnc23)n1-c1ccccc1,1
O=c1c2cc(-c3ccccc3)sc2n(Cc2ccccc2)c(=O)n1-c1cccnn1,1
O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,1
O=c1c(-c2ccccc2)cn(Cc2ccccc2)c(=O)n1CCc1ccccc1,1
O=c1[nH]ncn1-c1ccc(N2CCN(c3ccc(OCC4COC(Cn5cncn5)(c5ccccc5)O4)cc3)CC2)cc1,1
O=c1[nH]ncn1-c1ccc(N2CCN(c3ccc(OCC4COC(Cn5cncn5)(c5ccccc5)C4)cc3)CC2)cc1,1
O=c1[nH]nc2c3c(cccc13)NC(c1ccccc1)C2c1ncn[nH]1,1
O=c1[nH]nc(CN2CCOC(OCc3ccccc3)C2c2ccccc2)[nH]1,1
O=c1[nH]nc(-c2ccccc2)n1-c1ccc2[nH]ccc2c1,1
O=c1[nH]cnc2ncc(CNc3ccccc3)nc12,1
O=c1[nH]cnc2ccc(CNc3cccs3)cc12,1
c1ccc(-c2cnccc2-c2ccc(N3CCOCC3)cc2)cc1,1
c1ccc(C(OC2CC3CCC(C2)N3)c2ccccc2)cc1,1
c1ccc(-c2cscn2)cc1,1
c1ccc2[nH]c(C3CCCN3)nc2c1,1
c1ccc2[s+]c3ccccc3nc2c1,1
c1ccc2c(-c3ccnc(Nc4ccc(N5CCC(N6CCNCC6)CC5)cc4)n3)c[nH]c2c1,1
c1ccc2c(-c3ccnc(Nc4ccc(N5CCCCC5)cc4)n3)c[nH]c2c1,1
c1ccc2c(-c3ccncc3)c[nH]c2c1,1
c1ccc2c(-c3nc4c5cccnc5c5ncccc5c4[nH]3)c[nH]c2c1,1
c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,1
c1ccc2c(CC3CCCCN3)ccnc2c1,1
c1ccc2c(CC3CCCN3)c(-c3[nH]c4ccccc4c3CC3CCCN3)[nH]c2c1,1
c1ccc2c(CCCOc3cncc(-c4ccc5n[nH]cc5c4)c3)c[nH]c2c1,1
c1ccc2c(N3CCc4c(nc(OCC5CCCN5)nc4N4CCNCC4)C3)cccc2c1,1
c1ccc2c(Oc3nc(Nc4ccc(N5CCOCC5)cc4)c4ncn(C5CCCCC5)c4n3)cccc2c1,1
c1ccc2c(c1)C1CCC2c2ccccc21,1
c1ccc2c(c1)CC1NCCc3cccc-2c31,1
c1ccc2c(c1)CCC(CCNCCCc1nc3ccccc3[nH]1)C2,1
c1ccc2c(c1)CCC2Nc1ncnc2c1ccn2C1CCCC1,1
c1ccc2[nH]c(CCC3CC(NCC4CCC(n5cnc6cncnc65)O4)C3)nc2c1,1
c1ccc(Sc2ccc3nc[nH]c3c2)cc1,1
c1ccc(Nc2ncnc3cc(OC4CCOC4)ccc23)cc1,1
c1ccc(Oc2ncnc3[nH]c(-c4ccccc4)cc23)cc1,1
c1ccc(Nc2ncnc3ccc(OCCN4CC5(CC5)C5(C4)OCCO5)cc23)cc1,1
c1ccc(Nc2ncnc3cnc(NC4CCNCC4)nc23)cc1,1
c1ccc(OC2CCC(Cc3cccc(Nc4nccs4)n3)CC2)cc1,1
c1ccc(OC2CCCCO2)cc1,1
c1ccc(OC2CCN(c3ccc(OCC4Cn5ccnc5O4)cc3)CC2)cc1,1
c1ccc(OCCCCCOc2ccccc2)cc1,1
c1ccc(OCCNCCCOc2cccc3[nH]c4ccccc4c23)cc1,1
c1ccc(OCCNCCc2ccc3c(c2)CCN3)cc1,1
c1ccc(Oc2ccc(-c3nn(C4CCCNC4)c4ncncc34)cc2)cc1,1
c1ccc(Oc2ccc(Oc3ccccn3)cc2)nc1,1
c1ccc(Oc2cccc3c2CCC3)cc1,1
c1ccc(Oc2ccccc2)cc1,1
c1ccc(Oc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1,1
c1ccc(Oc2nc3cc(-c4ccc(-c5ccccc5)cc4)ccc3[nH]2)cc1,1
c1ccc(Oc2nc3cc(-c4ccc5[nH]ccc5c4)ccc3[nH]2)cc1,1
c1ccc2c(c1)CC[n+]1cc3ccccc3cc1-2,1
c1ccc2c(c1)CCc1ccccc1N2,1
c1ccc2c(c1)N=c1ccccc1=C(N1CCNCC1)N2,1
c1ccc2c(c1)N=c1sccc1=C(N1CCNCC1)N2,1
c1cncc(Oc2ccc(Nc3ncnc4ccccc34)cc2)c1,1
c1cnccn1,1
c1coc(-c2nc3c4ccccc4ncn3n2)c1,1
c1csc(COc2cccc3ccccc23)c1,1
c1csc(Sc2nncn2-c2ccc3c(c2)OCCO3)n1,1
c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cn[nH]c4)cc2OCC3)n1,1
c1nc(-c2cnn(C3CNC3)c2)c2cc[nH]c2n1,1
c1nc(-c2cnn(CC3CCCC3)c2)c2cc[nH]c2n1,1
c1nc(Nc2ccc(Oc3ccn4ncnc4c3)cc2)c2cc(NC3=NCCO3)ccc2n1,1
c1nc2nc[nH]c(Sc3cnc[nH]3)c-2n1,1
c1ncc(-c2nc(N3CCOCC3)c3sc(CN4CCNCC4)cc3n2)cn1,1
c1ncc(-c2nc(N3CCOCC3)nc3[nH]cnc23)cn1,1
c1ncc2[nH]cnc2n1,1
c1ncc2ccn(C3CCCO3)c2n1,1
c1ncc2nc(Sc3ccc4c(c3)OCO4)[nH]c2n1,1
c1cncc(CNc2ccc(Cc3c[nH]c4ncccc34)cn2)c1,1
c1cncc(CCNc2nccc(Cc3nc4ccccc4s3)n2)c1,1
c1cncc(-c2ncn(-c3ccc(Nc4nccc(-c5cccc(N6CCOCC6)c5)n4)cc3)n2)c1,1
c1ccc2c[n+]3c(cc2c1)-c1cc2c(cc1CC3)OCO2,1
c1ccc2c(c1)[nH]c1cc3ccncc3cc12,1
c1ccc2c(c1)c1ccccc1n2CCCN1CCNCC1,1
