compound_1,compound_2,pubchem_cid_1,pubchem_cid_2,morgan_tanimoto,maccs_tanimoto,cactvs_pubchem_tanimoto
isosorbide-dinitrate,stf-118804,6883.0,20916937.0,0.04054054054054054,0.275,0.11304347826086956
isosorbide-dinitrate,org-9768,6883.0,22152353.0,0.024390243902439025,0.10526315789473684,0.12037037037037036
isosorbide-dinitrate,y-320,6883.0,22227931.0,0.04938271604938271,0.2692307692307692,0.11057692307692307
isosorbide-dinitrate,sun-11602,6883.0,22245705.0,0.058823529411764705,0.1625,0.10240963855421686
isosorbide-dinitrate,crolibulin,6883.0,23649181.0,0.045454545454545456,0.21794871794871795,0.12953367875647667
isosorbide-dinitrate,aai101,6883.0,23653541.0,0.08064516129032258,0.32558139534883723,0.14788732394366197
isosorbide-dinitrate,almorexant,6883.0,23727689.0,0.0641025641025641,0.2597402597402597,0.1358695652173913
isosorbide-dinitrate,pci-34051,6883.0,24753719.0,0.03278688524590164,0.3787878787878788,0.12322274881516587
isosorbide-dinitrate,a-922500,6883.0,24768261.0,0.05454545454545454,0.1791044776119403,0.1411042944785276
isosorbide-dinitrate,daprodustat,6883.0,24831508.0,0.07272727272727272,0.2625,0.17475728155339806
isosorbide-dinitrate,gadodiamide,6883.0,24847884.0,0.0784313725490196,0.39436619718309857,0.2391304347826087
isosorbide-dinitrate,pp-121,6883.0,24905142.0,0.029411764705882353,0.19402985074626866,0.08333333333333333
isosorbide-dinitrate,at13148,6883.0,24905401.0,0.01818181818181818,0.2028985507246377,0.12941176470588237
isosorbide-dinitrate,amg-487-(+/-),6883.0,24957182.0,0.02247191011235955,0.3125,0.11403508771929824
isosorbide-dinitrate,amg-487,6883.0,24957182.0,0.02247191011235955,0.3125,0.11403508771929824
isosorbide-dinitrate,tak-733,6883.0,24963252.0,0.013157894736842105,0.2926829268292683,0.14556962025316456
isosorbide-dinitrate,mk-4074,6883.0,24964679.0,0.05555555555555555,0.37333333333333335,0.10505836575875487
isosorbide-dinitrate,cyc065,6883.0,24983461.0,0.0,0.2,0.11616161616161616
isosorbide-dinitrate,telotristat,6883.0,25025298.0,0.022988505747126436,0.25,0.11336032388663968
isosorbide-dinitrate,vs-4718,6883.0,25073775.0,0.0625,0.27710843373493976,0.10683760683760683
isosorbide-dinitrate,tc-g-1004,6883.0,25074316.0,0.05405405405405406,0.2962962962962963,0.12972972972972974
isosorbide-dinitrate,act-132577,6883.0,25099191.0,0.03125,0.3058823529411765,0.13432835820895522
isosorbide-dinitrate,gepotidacin,6883.0,25101874.0,0.04938271604938271,0.34210526315789475,0.12796208530805686
isosorbide-dinitrate,vu0155069,6883.0,25105713.0,0.038461538461538464,0.23809523809523808,0.09895833333333333
isosorbide-dinitrate,mk-6096,6883.0,25128145.0,0.05263157894736842,0.23076923076923078,0.1038961038961039
isosorbide-dinitrate,emd-1214063,6883.0,25171648.0,0.05,0.2564102564102564,0.11165048543689321
isosorbide-dinitrate,sitravatinib,6883.0,25212148.0,0.03260869565217391,0.27472527472527475,0.11814345991561181
isosorbide-dinitrate,sulfinpyrazone,6883.0,25273605.0,0.04,0.3150684931506849,0.13013698630136986
isosorbide-dinitrate,diclazuril,6883.0,25273624.0,0.015873015873015872,0.22972972972972974,0.09770114942528736
isosorbide-dinitrate,febuprol,6883.0,36688222.0,0.0196078431372549,0.2807017543859649,0.2523364485981308
