compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,model_prediction_group,observed_predictability_group,moa,moa_annotation
4076,"5-Fluorouracil; 5-fluoro-1H-pyrimidine-2,4-dione",140,0.82376647,0.7892182,Least predictable,Middle,thymidylate synthase; thymidylate synthase inhibitor,thymidylate synthase inhibitor
5146,"2-Pyridinamine, 3-((1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy)-5-(1-(4-piperidinyl)-1H-pyrazol-4-yl)-, hydrochloride (1:1); Crizotinib (hydrochloride)",143,0.8234211,0.8692954,Most predictable,Middle,ALK tyrosine kinase receptor inhibitor; inhibitor/antagonist,ALK tyrosine kinase receptor inhibitor
4,Quinestrol,144,0.8194201,0.85973275,Most predictable,Middle,estrogen receptor agonist; unclear,estrogen receptor agonist
1834,Artemether,139,0.8171311,0.8618067,Most predictable,Middle,antimalarial agent; unclear,antimalarial agent
5151,Pravastatin (sodium); Pravastatin Sodium,140,0.81579906,0.8539461,Most predictable,Middle,HMGCR inhibitor; inhibitor/antagonist,HMGCR inhibitor
721,Methylprednisolone Succinate; Methylprednisolone succinate,137,0.8157657,0.85174733,Most predictable,Middle,glucocorticoid receptor agonist; unclear,Glucocorticoid receptor agonist
2900,Radotinib,141,0.81430966,0.7855791,Least predictable,Lower,Bcr-Abl kinase inhibitor; inhibitor/antagonist,Bcr-Abl kinase inhibitor
322,Finasteride,150,0.8853915,0.848673,Most predictable,Higher,5 alpha reductase inhibitor; inhibitor/antagonist,5 alpha reductase inhibitor
5155,Fingolimod (hydrochloride); Fingolimod Hydrochloride,138,0.80725104,0.78712165,Least predictable,Lower,immunosuppressant | sphingosine 1-phosphate receptor agonist; unclear,immunosuppressant
5155,Fingolimod (hydrochloride); Fingolimod Hydrochloride,138,0.80725104,0.78712165,Least predictable,Lower,immunosuppressant | sphingosine 1-phosphate receptor agonist; unclear,sphingosine 1-phosphate receptor agonist
3558,Adenine,143,0.80488324,0.7832371,Least predictable,Lower,protein synthesis stimulant; unclear,protein synthesis stimulant
5153,Vinblastine (sulfate); Vinblastine Sulfate,143,0.8012332,0.8721429,Most predictable,Lower,inhibitor/antagonist; microtubule inhibitor | tubulin polymerization inhibitor,Microtubule inhibitor
5153,Vinblastine (sulfate); Vinblastine Sulfate,143,0.8012332,0.8721429,Most predictable,Lower,inhibitor/antagonist; microtubule inhibitor | tubulin polymerization inhibitor,Tubulin polymerization inhibitor
3315,Capivasertib,141,0.8009638,0.85991824,Most predictable,Lower,AKT inhibitor; inhibitor/antagonist,AKT inhibitor
5521,"2-Naphthacenecarboxamide, 4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-, hydrochloride (1:1), (4S,4aS,5aS,6S,12aS)-; Tetracycline (hydrochloride)",136,0.8002238,0.90303075,Most predictable,Lower,bacterial 30S ribosomal subunit inhibitor; unclear,Bacterial 30S ribosomal subunit inhibitor
4777,bergenin,145,0.811602,0.85537446,Most predictable,Lower,Interleukin inhibitor,Interleukin inhibitor
609,Captopril,146,0.8096722,0.79922837,Least predictable,Lower,angiotensin converting enzyme inhibitor; inhibitor/antagonist,angiotensin converting enzyme inhibitor
5149,Rutin (trihydrate); Rutin trihydrate,138,0.79171556,0.85180455,Most predictable,Lower,antioxidant | capillary stabilizing agent | nitric oxide scavenger; unclear,antioxidant
5149,Rutin (trihydrate); Rutin trihydrate,138,0.79171556,0.85180455,Most predictable,Lower,antioxidant | capillary stabilizing agent | nitric oxide scavenger; unclear,capillary stabilizing agent
5149,Rutin (trihydrate); Rutin trihydrate,138,0.79171556,0.85180455,Most predictable,Lower,antioxidant | capillary stabilizing agent | nitric oxide scavenger; unclear,nitric oxide scavenger
696,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid; Retinoic Acid",144,0.77696544,0.7994816,Least predictable,Lower,Retinoid RORbeta Ligands; retinoid receptor agonist | retinoid receptor ligand,Retinoid RORbeta Ligands
696,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid; Retinoic Acid",144,0.77696544,0.7994816,Least predictable,Lower,Retinoid RORbeta Ligands; retinoid receptor agonist | retinoid receptor ligand,Retinoid receptor agonist
696,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid; Retinoic Acid",144,0.77696544,0.7994816,Least predictable,Lower,Retinoid RORbeta Ligands; retinoid receptor agonist | retinoid receptor ligand,retinoid receptor ligand
616,Darolutamide,141,0.7747856,0.80526507,Least predictable,Lower,androgen receptor antagonist; inhibitor/antagonist,androgen receptor antagonist
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,135,0.7751711,0.7725934,Least predictable,Lower,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator",Erythroid Derived 2
1750,Dimethyl Fumarate; dimethyl (E)-but-2-enedioate,135,0.7751711,0.7725934,Least predictable,Lower,"NF-kappaB (NFKB) Activation Inhibitors;Nuclear Factor, Erythroid Derived 2, Like 2 (Nrf2) Activators;Kelch-like ECH-Associated Protein 1 (Keap1, INrf2) Ligands; nuclear factor erythroid derived, like (NRF2) activator",INrf2) Ligands
