moa_annotation,lowest_observed_count,highest_observed_count,lowest_observed_percent,highest_observed_percent,total_extreme_count
"Adenosine deaminase inhibitor, Ribonucleoside reductase inhibitor",0,1,0.0,0.6993006993006993,1
Adenylyl cyclase activator,0,1,0.0,0.6993006993006993,1
Adrenergic receptor antagonist,1,0,0.8130081300813008,0.0,1
Angiogenesis Inhibitors,0,1,0.0,0.6993006993006993,1
Antimetabolites,0,1,0.0,0.6993006993006993,1
Anxiolytics,1,0,0.8130081300813008,0.0,1
Aurora kinase inhibitor | Bcr-Abl kinase inhibitor | FLT3 inhibitor | JAK inhibitor,0,1,0.0,0.6993006993006993,1
Aurora kinase inhibitor | growth factor receptor inhibitor,0,1,0.0,0.6993006993006993,1
BCL-XL downregulator,1,0,0.8130081300813008,0.0,1
Bcr-Abl kinase inhibitor | TIE tyrosine kinase inhibitor | VEGFR inhibitor,1,0,0.8130081300813008,0.0,1
Benzodiazepine receptor agonist,1,0,0.8130081300813008,0.0,1
Bruton's tyrosine kinase (BTK) inhibitor,1,0,0.8130081300813008,0.0,1
C-Met inhibitor,1,0,0.8130081300813008,0.0,1
"CAMP stimulant, Adenosine receptor agonist",1,0,0.8130081300813008,0.0,1
CDK inhibitor | growth factor receptor inhibitor,0,1,0.0,0.6993006993006993,1
CHK inhibitor,0,1,0.0,0.6993006993006993,1
CHK1 Expression Inhibitors,0,1,0.0,0.6993006993006993,1
Calcineurin inhibitor,0,1,0.0,0.6993006993006993,1
Catecholamine depleting sympatholytic,0,1,0.0,0.6993006993006993,1
Chloride Channel Blockers,1,0,0.8130081300813008,0.0,1
"FOXM1 inhibitor, Protein synthesis inhibitor",0,1,0.0,0.6993006993006993,1
"FXR antagonist, Estrogen receptor agonist, Cholesterol inhibitor, Pregnane X receptor agonist, Progesterone receptor agonist, IKK inhibitor",1,0,0.8130081300813008,0.0,1
"Farnesyltransferase inhibitor, NFKB pathway inhibitor",0,1,0.0,0.6993006993006993,1
Leucine-Rich Repeat Kinase 2 (LRRK2,1,0,0.8130081300813008,0.0,1
MDM inhibitor,1,0,0.8130081300813008,0.0,1
"MEK inhibitor, MAP kinase inhibitor",1,0,0.8130081300813008,0.0,1
"MEK inhibitor, Protein kinase inhibitor, MAP kinase inhibitor",0,1,0.0,0.6993006993006993,1
MTH1 inhibitor,0,1,0.0,0.6993006993006993,1
Microtubule inhibitor,1,0,0.8130081300813008,0.0,1
"Microtubule inhibitor, Tubulin inhibitor",0,1,0.0,0.6993006993006993,1
Mutant Raf kinase B Inhibitors,1,0,0.8130081300813008,0.0,1
NAMPT inhibitor,1,0,0.8130081300813008,0.0,1
NFkB pathway inhibitor | proteasome inhibitor,0,1,0.0,0.6993006993006993,1
Na+/K+-ATPase Inhibitors,1,0,0.8130081300813008,0.0,1
Norepinephrine Transporter (NET) Inhibitors,1,0,0.8130081300813008,0.0,1
OPRL1 gene inhibitor,1,0,0.8130081300813008,0.0,1
OPRM1 gene inhibitor,1,0,0.8130081300813008,0.0,1
Opioid receptor antagonist,1,0,0.8130081300813008,0.0,1
P21 activated kinase inhibitor,0,1,0.0,0.6993006993006993,1
P38 MAPK inhibitor,1,0,0.8130081300813008,0.0,1
ALK tyrosine kinase receptor inhibitor,0,1,0.0,0.6993006993006993,1
"PDGFR inhibitor, VEGFR inhibitor",1,0,0.8130081300813008,0.0,1
PDGFR tyrosine kinase receptor inhibitor | VEGFR inhibitor,1,0,0.8130081300813008,0.0,1
PKC activator,0,1,0.0,0.6993006993006993,1
PRC2/EED,1,0,0.8130081300813008,0.0,1
Phosphatidylinositol 3-Kinase alpha (PI3Kalpha) Inhibitors,0,1,0.0,0.6993006993006993,1
Phosphatidylinositol 3-Kinase delta (PI3Kdelta) Inhibitors,1,0,0.8130081300813008,0.0,1
"Phosphodiesterase inhibitor, MTOR inhibitor, DNA dependent protein kinase inhibitor, PLK inhibitor",0,1,0.0,0.6993006993006993,1
Phospholipase inhibitor,1,0,0.8130081300813008,0.0,1
MAP kinase inhibitor,1,0,0.8130081300813008,0.0,1
