compound_embedding_row_index,actual_predictability,predicted_predictability,compound_name
4072,0.8253179,0.8480503,"5-[(E)-2-bromoethenyl]-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione; Brivudine"
5203,0.762,0.76087415,Cysteamine (hydrochloride); Cysteamine Hydrochloride
5525,0.7573773,0.839635,"16H-1,24:6,9-Dietheno-11,15-metheno-2H-pyrido(2',3':17,18)(1,11)dioxacycloeicosino(2,3,4-ij)isoquinolin-12-ol, 3,4,4a,5,16a,17,18,19-octahydro-21,22,26-trimethoxy-4,17-dimethyl-, hydrochloride (1:2), (4aS,16aR)-; Berbamine (dihydrochloride)"
2591,0.8928492,0.8206232,Sonidegib
5209,0.7558431,0.8214515,Pentamidine (isethionate); Pentamidine Isethionate
5213,0.7556114,0.8158456,Balsalazide (sodium hydrate); CID 92044433
5133,0.75492316,0.82959163,Tirabrutinib (hydrochloride); Tirabrutinib hydrochloride
5162,0.91185445,0.8875643,Irinotecan (hydrochloride); Irinotecan Hydrochloride
3779,0.77520335,0.8356584,Baicalin
755,0.7509124,0.8758499,Betamethasone Dipropionate; Betamethasone dipropionate
198,0.7493618,0.8279756,(R)-2-((R)-2-Acetamido-3-(4-hydroxyphenyl)propanamido)-N-((R)-1-amino-1-oxo-3-phenylpropan-2-yl)-5-guanidinopentanamide; DTP3
3774,0.7519172,0.8087632,"(2E)-2-[[4-(3,4-dichlorophenyl)-1,3-thiazol-2-yl]hydrazinylidene]-3-(2-nitrophenyl)propanoic acid; 4EGI-1"
1113,0.7648465,0.82502544,Bimatoprost
5220,0.8360259,0.8253602,"2,6-Difluoro-4-(4-(4-morpholinophenyl)pyridin-3-yl)phenol; LJI308"
5281,0.8873689,0.85152435,Artesunate
5167,0.7436862,0.83171386,Lumateperone (tosylate); Lumateperone Tosylate
5517,0.7436214,0.8721005,Diammonium Glycyrrhizinate
5176,0.7406397,0.8271102,Palmatine (chloride); Palmatine Chloride
3793,0.740573,0.77778375,5-[(3R)-dithiolan-3-yl]pentanoic acid; Lipoic acid
1555,0.7524925,0.80947256,Glasdegib
1537,0.79223454,0.820259,Piroxicam
5514,0.7376841,0.80368245,Acetomenaphthone; Vitamin K4
5177,0.73736846,0.83642817,Ivabradine (hydrochloride); Ivabradine Hydrochloride
5168,0.73311913,0.82466996,Edoxaban (tosylate monohydrate); Edoxaban tosylate monohydrate
5127,0.7316587,0.82826805,Citalopram (hydrobromide); Citalopram Hydrobromide
5156,0.728756,0.79536736,"2-Piperidinecarboxamide, 1-butyl-N-(2,6-dimethylphenyl)-, hydrochloride (1:1), (2S)-; Levobupivacaine (hydrochloride)"
2947,0.85157865,0.82551396,Alpelisib
5215,0.7239834,0.8107355,ERK5-IN-2; Erk5-IN-2
694,0.75218123,0.8665415,Drospirenone
4684,0.8630909,0.8492732,methotrexate
1262,0.89135283,0.8404455,TAK-901; Tak-901
625,0.73707235,0.81260777,Cinacalcet
5171,0.7209868,0.7718973,Esmolol (hydrochloride); Esmolol Hydrochloride
5537,0.71181434,0.7789119,Fumaric Acid; Fumaric acid
2057,0.7632989,0.82808256,E6 berbamine; berbamine
3734,0.7108838,0.82473564,Asciminib
5516,0.7103375,0.8580983,Bestatin (hydrochloride); Ubenimex hydrochloride
5513,0.70984393,0.8140274,Chlorhexidine (diacetate); Chlorhexidine Acetate
1019,0.9015753,0.82175076,sildenafil
5519,0.7036039,0.78438807,Oleic Acid; Oleic acid
1117,0.7506948,0.8133995,"1-[2-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]ethyl]-3-ethylurea; Adenosine, 5'-S-[2-[[(ethylamino)carbonyl]amino]ethyl]-5'-thio-"
786,0.89443463,0.8282684,Vincristine Sulfate; vincristine
5406,0.77776325,0.836199,Lopinavir
5205,0.69669443,0.7797619,Riluzole hydrochloride
5200,0.69635063,0.8108374,Pexidartinib (hydrochloride); Pexidartinib Hydrochloride
8551,0.9477924,0.86976004,verteporfin
2914,0.77688366,0.81895673,Meloxicam
5169,0.69308037,0.7746539,Phenylephrine (hydrochloride); Phenylephrine Hydrochloride
5219,0.73375314,0.8146483,"5,5-Diphenyl Hydantoin Sodium; Phenytoin (sodium)"
1417,0.73999316,0.8313015,Ribociclib
1774,0.6825441,0.8283641,Encorafenib; methyl N-[(2S)-1-[[4-[3-[5-chloro-2-fluoro-3-(methanesulfonamido)phenyl]-1-propan-2-ylpyrazol-4-yl]pyrimidin-2-yl]amino]propan-2-yl]carbamate
5485,0.69503653,0.8596261,Idoxuridine
5529,0.6817481,0.806567,Darinaparsin
24143,0.69736874,0.8319396,Olanzapine
161,0.87577605,0.84681493,"(8S,11R,13S,14R,17S)-11-[4-(dimethylamino)phenyl]-17-hydroxy-13-methyl-17-prop-1-ynyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one; mifepristone"
3450,0.9288761,0.8356487,Tucidinostat
5211,0.70981854,0.8259927,"5-(4-Chlorophenyl)-[3,3'-bipyridine]-6,6'-diamine; PF-06260933"
3522,0.78764975,0.8431379,Pemetrexed
2733,0.6653186,0.8018695,Sulfatinib; Surufatinib
5189,0.6589662,0.80989903,Flumatinib (mesylate); Flumatinib Mesylate
4069,0.86627907,0.8156989,Trifluridine
5218,0.6548505,0.7730544,Sodium Salicylate
1597,0.6545364,0.81842077,Entrectinib
3057,0.86363864,0.8394561,TAK-733; Tak-733
5141,0.73966587,0.80724096,Imiquimod (hydrochloride); Imiquimod hydrochloride
3904,0.9322075,0.8331615,Cobimetinib
1996,0.9100606,0.82199526,N-[4-(9-acridinylmethyl)-3-methoxyphenyl]methanesulfonamide; amsacrine
412,0.641953,0.7972671,Acyclic retinoid; Peretinoin
5466,0.7163492,0.7673465,"Oxaliplatin; cis-oxalato-trans-l-1,2-diaminocyclohexaneplatinum(II)"
5201,0.6393844,0.7750036,Noradrenaline hydrochloride; Norepinephrine (hydrochloride)
771,0.85446143,0.87583065,Ivermectin; Ivermectin B1a
5166,0.8073832,0.8123852,Loperamide (hydrochloride); Loperamide Hydrochloride
2091,0.9556898,0.85822886,AZD-8055; Azd8055
5511,0.62096995,0.77666163,Lactate (calcium)
5138,0.6199203,0.83164656,Sivelestat (sodium tetrahydrate); Sivelestat Sodium
804,0.77917314,0.83911103,Budesonide; budesonide
2960,0.88676,0.8304879,Raltitrexed
629,0.65434486,0.83337516,Aprepitant
1055,0.88345486,0.8249723,"N-[2-(diethylamino)ethyl]-5-[(Z)-(5-fluoro-2-oxo-1H-indol-3-ylidene)methyl]-2,4-dimethyl-1H-pyrrole-3-carboxamide; Sunitinib"
592,1.0,0.827145,BRD-K68202742; Trichostatin A
1764,0.96739143,0.8966031,Homoharringtonine; Omacetaxine Mepesuccinate
429,0.93570065,0.81232816,Ixazomib
692,0.77153456,0.8604304,Triamcinolone
5179,0.5914497,0.82886505,BI-3406
5196,0.8293293,0.81472147,Fedratinib (hydrochloride hydrate); Fedratinib Hydrochloride
1229,0.6663662,0.8235332,Dapagliflozin
4302,0.8455639,0.8544164,cyclosporin-a
6647,1.0,0.8852676,Cephaeline; cephaeline
2769,0.88545275,0.8159089,Canagliflozin
257,0.79919684,0.8090538,"Auranofin; Gold(1+);3,4,5-triacetyloxy-6-(acetyloxymethyl)oxane-2-thiolate;triethylphosphane"
734,0.8677765,0.88979006,Digitoxin
