compound_embedding_row_index,compound_name,observed_predictability_group,actual_predictability,moa,moa_annotation
2278,"(7R,9S)-9-acetyl-7-[[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; daunorubicin",Highest observed predictability,0.99367535,"RNA synthesis inhibitor | topoisomerase inhibitor; RNA synthesis inhibitor, Topoisomerase inhibitor",RNA synthesis inhibitor | topoisomerase inhibitor
2278,"(7R,9S)-9-acetyl-7-[[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; daunorubicin",Highest observed predictability,0.99367535,"RNA synthesis inhibitor | topoisomerase inhibitor; RNA synthesis inhibitor, Topoisomerase inhibitor","RNA synthesis inhibitor, Topoisomerase inhibitor"
1827,Geldanamycin; geldanamycin,Highest observed predictability,0.9876737,HSP inhibitor,HSP inhibitor
3968,"(5Z)-5-[(4-pyridin-4-ylquinolin-6-yl)methylidene]-1,3-thiazolidine-2,4-dione; Gsk-1059615",Highest observed predictability,0.91537964,PI3K inhibitor; Phosphatidylinositol 3-Kinase alpha (PI3Kalpha) Inhibitors,PI3K inhibitor
3968,"(5Z)-5-[(4-pyridin-4-ylquinolin-6-yl)methylidene]-1,3-thiazolidine-2,4-dione; Gsk-1059615",Highest observed predictability,0.91537964,PI3K inhibitor; Phosphatidylinositol 3-Kinase alpha (PI3Kalpha) Inhibitors,Phosphatidylinositol 3-Kinase alpha (PI3Kalpha) Inhibitors
4527,topotecan,Highest observed predictability,0.9881312,Topoisomerase inhibitor,Topoisomerase inhibitor
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",Highest observed predictability,0.9956928,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,CHK1 Expression Inhibitors
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",Highest observed predictability,0.9956928,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,HSP inhibitor
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",Highest observed predictability,0.9956928,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,Heat Shock Protein 90 (hsp90) Inhibitors
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",Highest observed predictability,0.9956928,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,Inhibitors of signal transduction pathways
2275,Epirubicin; epirubicin,Highest observed predictability,0.98371625,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
1880,Wortmannin from Penicillium funiculosum; wortmannin,Highest observed predictability,0.9781579,PI3K inhibitor,PI3K inhibitor
295,Idarubicin; idarubicin,Highest observed predictability,0.9757721,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
4117,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one; LY-294002,Highest observed predictability,0.97693914,"DNA dependent protein kinase inhibitor | mTOR inhibitor | phosphodiesterase inhibitor | PI3K inhibitor | PLK inhibitor; Phosphodiesterase inhibitor, MTOR inhibitor, DNA dependent protein kinase inhibitor, PLK inhibitor",DNA dependent protein kinase inhibitor | mTOR inhibitor | phosphodiesterase inhibitor | PI3K inhibitor | PLK inhibitor
4117,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one; LY-294002,Highest observed predictability,0.97693914,"DNA dependent protein kinase inhibitor | mTOR inhibitor | phosphodiesterase inhibitor | PI3K inhibitor | PLK inhibitor; Phosphodiesterase inhibitor, MTOR inhibitor, DNA dependent protein kinase inhibitor, PLK inhibitor","Phosphodiesterase inhibitor, MTOR inhibitor, DNA dependent protein kinase inhibitor, PLK inhibitor"
789,Volasertib,Highest observed predictability,0.92006755,PLK inhibitor; inhibitor/antagonist,PLK inhibitor
1919,(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid; Mycophenolic Acid,Highest observed predictability,0.9747945,IMPDH inhibitor;Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors;antiviral;Immunosuppressant; dehydrogenase inhibitor | inositol monophosphatase inhibitor,IMPDH inhibitor
1919,(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid; Mycophenolic Acid,Highest observed predictability,0.9747945,IMPDH inhibitor;Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors;antiviral;Immunosuppressant; dehydrogenase inhibitor | inositol monophosphatase inhibitor,Immunosuppressant
