compound_embedding_row_index,compound_name,normalized_compound_name,actual_predictability,predicted_predictability,n_profiles,moa,clean_moa
5191,Rimonabant (Hydrochloride); Rimonabant Hydrochloride,rimonabant hydrochloride rimonabant hydrochloride,0.7938669,0.8117439,279,cannabinoid receptor antagonist; inhibitor/antagonist,Cannabinoid receptor antagonist
4155,Arbutin,arbutin,0.79028815,0.8246474,137,inhibitor/antagonist; melanin inhibitor,Melanin inhibitor
1571,3-(4-Methylpiperazine-1-carbonyl)-7-oxabicyclo(2.2.1)heptane-2-carboxylic acid; LB-100,3 4 methylpiperazine 1 carbonyl 7 oxabicyclo 2 2 1 heptane 2 carboxylic acid lb 100,0.78893524,0.833268,130,inhibitor/antagonist; protein phosphatase inhibitor,Protein phosphatase inhibitor
3188,ETC-206; Tinodasertib,etc 206 tinodasertib,0.7837977,0.8333763,135,MAPK-interacting kinase inhibitor; inhibitor/antagonist,MAPK-interacting kinase inhibitor
2243,Cepharanthine,cepharanthine,0.84479606,0.80671465,154,NFkB pathway inhibitor; inhibitor/antagonist,NFkB pathway inhibitor
5184,Elagolix Sodium; Elagolix sodium,elagolix sodium elagolix sodium,0.7815567,0.8255809,143,gonadotropin releasing factor hormone receptor antagonist; inhibitor/antagonist,Gonadotropin releasing factor hormone receptor antagonist
3280,Lonafarnib,lonafarnib,0.8679238,0.8274344,164,farnesyltransferase inhibitor; inhibitor/antagonist,Farnesyltransferase inhibitor
174,Megestrol,megestrol,0.8064782,0.8391038,153,progesterone receptor agonist; unclear,Progesterone receptor agonist
696,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid; Retinoic Acid",2e 4e 6e 8e 3 7 dimethyl 9 2 6 6 trimethylcyclohexen 1 yl nona 2 4 6 8 tetraenoic acid retinoic acid,0.77696544,0.7994816,144,Retinoid RORbeta Ligands; retinoid receptor agonist | retinoid receptor ligand,Retinoid RORbeta Ligands
696,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid; Retinoic Acid",2e 4e 6e 8e 3 7 dimethyl 9 2 6 6 trimethylcyclohexen 1 yl nona 2 4 6 8 tetraenoic acid retinoic acid,0.77696544,0.7994816,144,Retinoid RORbeta Ligands; retinoid receptor agonist | retinoid receptor ligand,Retinoid receptor agonist
