compound_embedding_row_index,compound_name,n_profiles,actual_predictability,predicted_predictability,model_prediction_group,observed_predictability_group,moa,moa_annotation
4527,topotecan,151,0.9881312,0.9088901,Most predictable,Highest observed predictability,Topoisomerase inhibitor,Topoisomerase inhibitor
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",645,0.9956928,0.92377836,Most predictable,Highest observed predictability,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,CHK1 Expression Inhibitors
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",645,0.9956928,0.92377836,Most predictable,Highest observed predictability,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,HSP inhibitor
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",645,0.9956928,0.92377836,Most predictable,Highest observed predictability,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,Heat Shock Protein 90 (hsp90) Inhibitors
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",645,0.9956928,0.92377836,Most predictable,Highest observed predictability,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,Inhibitors of signal transduction pathways
2275,Epirubicin; epirubicin,194,0.98371625,0.96144885,Most predictable,Highest observed predictability,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
1880,Wortmannin from Penicillium funiculosum; wortmannin,682,0.9781579,0.88112414,Most predictable,Highest observed predictability,PI3K inhibitor,PI3K inhibitor
295,Idarubicin; idarubicin,134,0.9757721,0.9563592,Most predictable,Highest observed predictability,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
4117,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one; LY-294002,192,0.97693914,0.81660175,Lower,Highest observed predictability,"DNA dependent protein kinase inhibitor | mTOR inhibitor | phosphodiesterase inhibitor | PI3K inhibitor | PLK inhibitor; Phosphodiesterase inhibitor, MTOR inhibitor, DNA dependent protein kinase inhibitor, PLK inhibitor",DNA dependent protein kinase inhibitor
4117,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one; LY-294002,192,0.97693914,0.81660175,Lower,Highest observed predictability,"DNA dependent protein kinase inhibitor | mTOR inhibitor | phosphodiesterase inhibitor | PI3K inhibitor | PLK inhibitor; Phosphodiesterase inhibitor, MTOR inhibitor, DNA dependent protein kinase inhibitor, PLK inhibitor",PI3K inhibitor
4117,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one; LY-294002,192,0.97693914,0.81660175,Lower,Highest observed predictability,"DNA dependent protein kinase inhibitor | mTOR inhibitor | phosphodiesterase inhibitor | PI3K inhibitor | PLK inhibitor; Phosphodiesterase inhibitor, MTOR inhibitor, DNA dependent protein kinase inhibitor, PLK inhibitor",PLK inhibitor
4117,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one; LY-294002,192,0.97693914,0.81660175,Lower,Highest observed predictability,"DNA dependent protein kinase inhibitor | mTOR inhibitor | phosphodiesterase inhibitor | PI3K inhibitor | PLK inhibitor; Phosphodiesterase inhibitor, MTOR inhibitor, DNA dependent protein kinase inhibitor, PLK inhibitor",Phosphodiesterase inhibitor
4117,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one; LY-294002,192,0.97693914,0.81660175,Lower,Highest observed predictability,"DNA dependent protein kinase inhibitor | mTOR inhibitor | phosphodiesterase inhibitor | PI3K inhibitor | PLK inhibitor; Phosphodiesterase inhibitor, MTOR inhibitor, DNA dependent protein kinase inhibitor, PLK inhibitor",mTOR inhibitor
4117,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one; LY-294002,192,0.97693914,0.81660175,Lower,Highest observed predictability,"DNA dependent protein kinase inhibitor | mTOR inhibitor | phosphodiesterase inhibitor | PI3K inhibitor | PLK inhibitor; Phosphodiesterase inhibitor, MTOR inhibitor, DNA dependent protein kinase inhibitor, PLK inhibitor",phosphodiesterase inhibitor
789,Volasertib,299,0.92006755,0.83676374,Higher,Highest observed predictability,PLK inhibitor; inhibitor/antagonist,PLK inhibitor
1919,(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid; Mycophenolic Acid,140,0.9747945,0.83228314,Higher,Highest observed predictability,IMPDH inhibitor;Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors;antiviral;Immunosuppressant; dehydrogenase inhibitor | inositol monophosphatase inhibitor,IMPDH inhibitor
