pubchem_cid_clean,name,pubchem_cid,UMAP1,UMAP2,representation,name_clean,moa_clean,moa_category
11199742,hypoestoxide,11199742.0,0.44347775,7.4567847,Morgan + MACCS + CACTVS + descriptors,hypoestoxide,IKK inhibitor,Other MoA
11201035,phtpp,11201035.0,9.685588,10.033196,Morgan + MACCS + CACTVS + descriptors,phtpp,estrogen receptor antagonist,Other MoA
11205997,pyridoxamine,11205997.0,9.175501,10.940935,Morgan + MACCS + CACTVS + descriptors,pyridoxamine,AGE inhibitor,Other MoA
11207,methanesulfonyl-fluoride,11207.0,0.48859257,9.0178385,Morgan + MACCS + CACTVS + descriptors,methanesulfonyl-fluoride,acetylcholinesterase inhibitor,Other MoA
11207937,tmph,11207937.0,0.8958173,8.453584,Morgan + MACCS + CACTVS + descriptors,tmph,,Unknown
11210285,bml-284,11210285.0,10.2210455,10.266938,Morgan + MACCS + CACTVS + descriptors,bml-284,WNT agonist,Other MoA
11210478,wp1066,11210478.0,8.188198,10.985142,Morgan + MACCS + CACTVS + descriptors,wp1066,STAT inhibitor,Other MoA
11213350,s-111,11213350.0,-0.12131571,7.160506,Morgan + MACCS + CACTVS + descriptors,s-111,PARP inhibitor,Other MoA
11213558,r406,11213558.0,10.193935,10.219612,Morgan + MACCS + CACTVS + descriptors,r406,SYK inhibitor,Other MoA
11217901,f351,11217901.0,7.888025,7.879122,Morgan + MACCS + CACTVS + descriptors,f351,TGF beta receptor inhibitor,Other MoA
11219835,ataluren,11219835.0,7.9733043,10.592039,Morgan + MACCS + CACTVS + descriptors,ataluren,CFTR channel agonist|dystrophin stimulant,Other MoA
11222830,wp1130,11222830.0,8.238093,11.017955,Morgan + MACCS + CACTVS + descriptors,wp1130,deubiquitinase inhibitor,Other MoA
11224409,radezolid,11224409.0,7.5281663,8.977446,Morgan + MACCS + CACTVS + descriptors,radezolid,bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor,Other MoA
11226090,taranabant,11226090.0,9.805134,10.374702,Morgan + MACCS + CACTVS + descriptors,taranabant,cannabinoid receptor inverse agonist,Other MoA
11226207,tcs-2314,11226207.0,7.364349,8.105582,Morgan + MACCS + CACTVS + descriptors,tcs-2314,integrin inhibitor,Other MoA
11228183,abt-737,11228183.0,8.227587,8.726505,Morgan + MACCS + CACTVS + descriptors,abt-737,BCL inhibitor,Other MoA
11228338,argireline,11228338.0,1.3784184,8.198989,Morgan + MACCS + CACTVS + descriptors,argireline,neurotransmitter release inhibitor,Other MoA
11228779,ethyl-pyruvate,11228779.0,0.39794338,8.666095,Morgan + MACCS + CACTVS + descriptors,ethyl-pyruvate,tumor necrosis factor production inhibitor,Other MoA
11232124,uamc-00039,11232124.0,6.9004846,7.698413,Morgan + MACCS + CACTVS + descriptors,uamc-00039,dipeptidyl peptidase inhibitor,Other MoA
11234049,tedizolid,11234049.0,7.2512774,10.657769,Morgan + MACCS + CACTVS + descriptors,tedizolid,bacterial 50S ribosomal subunit inhibitor,Other MoA
11234052,brivanib,11234052.0,10.139739,9.82464,Morgan + MACCS + CACTVS + descriptors,brivanib,FGFR inhibitor|VEGFR inhibitor,Other MoA
11234795,melphalan-n-oxide,11234795.0,7.6382303,7.524437,Morgan + MACCS + CACTVS + descriptors,melphalan-n-oxide,hypoxia inducible factor inhibitor,Other MoA
11236126,seladelpar,11236126.0,8.4361725,5.4524846,Morgan + MACCS + CACTVS + descriptors,seladelpar,PPAR receptor agonist,Other MoA
11238147,icg-001,11238147.0,7.831994,7.3137503,Morgan + MACCS + CACTVS + descriptors,icg-001,beta-catenin inhibitor,Other MoA
11238512,hki-357,11238512.0,10.415524,10.353053,Morgan + MACCS + CACTVS + descriptors,hki-357,EGFR inhibitor,Other MoA
