source,signature_id,signature_compound_query,signature_brd_primary,signature_compound_query_norm
L1000,L1000::triclosan::A375::::24H::10uM::REP.A014::P19::BRD-K41731458,triclosan,brd-k41731458,triclosan
L1000,L1000::SC-12267::A375::::24H::10uM::REP.A014::O07::BRD-K40797222,SC-12267,brd-k40797222,sc-12267
L1000,L1000::thalidomide::HCC515::::24H::3.33uM::PBIOA021::G02::BRD-A93255169,thalidomide,brd-a93255169,thalidomide
L1000,L1000::BRD-K28456706::HCC515::::24H::10uM::PBIOA021::E01::BRD-K28456706,BRD-K28456706,brd-k28456706,brd-k28456706
L1000,L1000::RG-4733::HCC515::::24H::1.11uM::PBIOA021::F21::BRD-K22024824,RG-4733,brd-k22024824,rg-4733
L1000,L1000::GO-6976::HCC515::::24H::0.37uM::PBIOA021::D22::BRD-K59304176,GO-6976,brd-k59304176,go-6976
L1000,L1000::GO-6976::HCC515::::24H::3.33uM::PBIOA021::D20::BRD-K59304176,GO-6976,brd-k59304176,go-6976
L1000,L1000::CYT-387::HCC515::::24H::10uM::PBIOA021::C07::BRD-K87737963,CYT-387,brd-k87737963,cyt-387
L1000,L1000::BMS-536924::HCC515::::24H::4uM::PBIOA021::N02::BRD-K34581968,BMS-536924,brd-k34581968,bms-536924
L1000,L1000::GO-6976::HCC515::::24H::1.11uM::PBIOA021::I03::BRD-K59304176,GO-6976,brd-k59304176,go-6976
L1000,L1000::BRD-K47503321::HCC515::::24H::10uM::PBIOA021::C13::BRD-K47503321,BRD-K47503321,brd-k47503321,brd-k47503321
L1000,L1000::GO-6976::HCC515::::24H::10uM::PBIOA021::D19::BRD-K59304176,GO-6976,brd-k59304176,go-6976
L1000,L1000::GO-6976::HCC515::::24H::0.125uM::PBIOA021::I05::BRD-K59304176,GO-6976,brd-k59304176,go-6976
L1000,L1000::BRD-K51831558::HCC515::::24H::0.04uM::PBIOA021::A12::BRD-K51831558,BRD-K51831558,brd-k51831558,brd-k51831558
L1000,L1000::thalidomide::HCC515::::24H::10uM::PBIOA021::G01::BRD-A93255169,thalidomide,brd-a93255169,thalidomide
L1000,L1000::RG-4733::HCC515::::24H::3.33uM::PBIOA021::F20::BRD-K22024824,RG-4733,brd-k22024824,rg-4733
L1000,L1000::GO-6976::HCC515::::24H::0.125uM::PBIOA021::D23::BRD-K59304176,GO-6976,brd-k59304176,go-6976
L1000,L1000::CYT-387::HCC515::::24H::1.11uM::PBIOA021::C09::BRD-K87737963,CYT-387,brd-k87737963,cyt-387
L1000,L1000::saracatinib::HCC515::::24H::0.37uM::PBIOA021::P04::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::BMS-536924::HCC515::::24H::12uM::PBIOA021::N01::BRD-K34581968,BMS-536924,brd-k34581968,bms-536924
L1000,L1000::saracatinib::HCC515::::24H::10uM::PBIOA021::P01::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::saracatinib::HCC515::::24H::3.33uM::PBIOA021::P02::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::vorinostat::HCC515::::24H::10uM::PBIOA021::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::GO-6976::HCC515::::24H::1.11uM::PBIOA021::D21::BRD-K59304176,GO-6976,brd-k59304176,go-6976
L1000,L1000::saracatinib::HCC515::::24H::1.11uM::PBIOA021::P03::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::saracatinib::HCC515::::24H::0.125uM::PBIOA021::P05::BRD-K19540840,saracatinib,brd-k19540840,saracatinib
L1000,L1000::GO-6976::HCC515::::24H::10uM::PBIOA021::I01::BRD-K59304176,GO-6976,brd-k59304176,go-6976
L1000,L1000::GO-6976::HCC515::::24H::3.33uM::PBIOA021::I02::BRD-K59304176,GO-6976,brd-k59304176,go-6976
L1000,L1000::lesinurad::MCF7::::24H::0.08uM::REP.B008::I22::BRD-K75024268,lesinurad,brd-k75024268,lesinurad
L1000,L1000::GSK-923295::MCF7::::24H::2.22uM::REP.B008::J07::BRD-K89015388,GSK-923295,brd-k89015388,gsk-923295
L1000,L1000::ecabet::MCF7::::24H::0.25uM::REP.B008::K15::BRD-K03353589,ecabet,brd-k03353589,ecabet
L1000,L1000::alvocidib::MCF7::::24H::0.08uM::REP.B026::B22::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::alvocidib::MCF7::::24H::2.22uM::REP.B026::B19::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::alvocidib::MCF7::::24H::0.74uM::REP.B026::B20::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::KD-025::MCF7::::24H::2.22uM::REP.B026::C13::BRD-K88506063,KD-025,brd-k88506063,kd-025
L1000,L1000::alvocidib::MCF7::::24H::0.25uM::REP.B026::B21::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::TG-101348::MCF7::::24H::3.33uM::MUC.CP008::N14::BRD-K12502280,TG-101348,brd-k12502280,tg-101348
L1000,L1000::TG-101348::MCF7::::24H::10uM::MUC.CP008::N13::BRD-K12502280,TG-101348,brd-k12502280,tg-101348
L1000,L1000::palbociclib::XC.P904::::24H::10uM::ASG003::K16::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::trifluoperazine::XC.P904::::24H::10uM::ASG003::P19::BRD-K89732114,trifluoperazine,brd-k89732114,trifluoperazine
L1000,L1000::trametinib::XC.P904::::24H::0.12uM::ASG003::N18::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::alvocidib::XC.P904::::24H::1.11uM::ASG003::J20::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::vorinostat::XC.P904::::24H::1.11uM::ASG003::F05::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::vorinostat::XC.P904::::24H::10uM::ASG003::F04::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::ponatinib::XC.P904::::24H::0.12uM::ASG003::P15::BRD-K44227013,ponatinib,brd-k44227013,ponatinib
L1000,L1000::ABT-737::XC.P904::::24H::1.11uM::ASG003::L02::BRD-K56301217,ABT-737,brd-k56301217,abt-737
