source,signature_id,signature_compound_query,signature_brd_primary,signature_compound_query_norm
L1000,L1000::CYT-387::PC3::::24H::10uM::REP.A026::B13::BRD-K87737963,CYT-387,brd-k87737963,cyt-387
L1000,L1000::alvocidib::PC3::::24H::1.11uM::REP.A026::B21::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::alvocidib::PC3::::24H::0.37uM::REP.A026::B22::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::alvocidib::PC3::::24H::10uM::REP.A026::B19::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::alvocidib::PC3::::24H::3.33uM::REP.A026::B20::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::vorinostat::HT29::::24H::10uM::PBIOA014::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::dasatinib::HT29::::24H::3.33uM::PBIOA014::K14::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::dasatinib::HT29::::24H::10uM::PBIOA014::K13::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::TPCA-1::HT29::::24H::10uM::PBIOA014::I01::BRD-K51575138,TPCA-1,brd-k51575138,tpca-1
L1000,L1000::PF-04691502::A549::::24H::0.74uM::REP.B011::N08::BRD-K07310275,PF-04691502,brd-k07310275,pf-04691502
L1000,L1000::PF-04691502::A549::::24H::2.22uM::REP.B011::N07::BRD-K07310275,PF-04691502,brd-k07310275,pf-04691502
L1000,L1000::mocetinostat::SKL::::24H::3.33uM::LJP008::I08::BRD-K16485616,mocetinostat,brd-k16485616,mocetinostat
L1000,L1000::mocetinostat::SKL::::24H::10uM::LJP008::I07::BRD-K16485616,mocetinostat,brd-k16485616,mocetinostat
L1000,L1000::I-BET-151::SKL::::24H::10uM::LJP008::K01::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::ACY-1215::SKL::::24H::10uM::LJP008::F01::BRD-K82928847,ACY-1215,brd-k82928847,acy-1215
L1000,L1000::MK-1775::SKL::::24H::0.37uM::LJP008::A22::BRD-K54256913,MK-1775,brd-k54256913,mk-1775
L1000,L1000::dasatinib::SKL::::24H::0.37uM::LJP008::G16::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::I-BET-762::SKL::::24H::10uM::LJP008::I01::BRD-K08109215,I-BET-762,brd-k08109215,i-bet-762
L1000,L1000::CGP-60474::SKL::::24H::0.04uM::LJP008::C24::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::I-BET-762::SKL::::24H::3.33uM::LJP008::I02::BRD-K08109215,I-BET-762,brd-k08109215,i-bet-762
L1000,L1000::vorinostat::SKL::::24H::10uM::LJP008::G07::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::ABT-737::SKL::::24H::10uM::LJP008::E01::BRD-K56301217,ABT-737,brd-k56301217,abt-737
L1000,L1000::CGP-60474::SKL::::24H::10uM::LJP008::C19::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::mocetinostat::SKL::::24H::1.11uM::LJP008::I09::BRD-K16485616,mocetinostat,brd-k16485616,mocetinostat
L1000,L1000::dasatinib::SKL::::24H::0.04uM::LJP008::G18::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::dasatinib::SKL::::24H::10uM::LJP008::G13::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::ABT-737::SKL::::24H::3.33uM::LJP008::E02::BRD-K56301217,ABT-737,brd-k56301217,abt-737
L1000,L1000::MK-1775::SKL::::24H::10uM::LJP008::A19::BRD-K54256913,MK-1775,brd-k54256913,mk-1775
L1000,L1000::vorinostat::SKL::::24H::10uM::LJP008::A03::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::MK-1775::SKL::::24H::0.12uM::LJP008::A23::BRD-K54256913,MK-1775,brd-k54256913,mk-1775
L1000,L1000::dasatinib::SKL::::24H::1.11uM::LJP008::G15::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::I-BET-151::SKL::::24H::3.33uM::LJP008::K02::BRD-K36363294,I-BET-151,brd-k36363294,i-bet-151
L1000,L1000::CGP-60474::SKL::::24H::0.37uM::LJP008::C22::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::PFI-1::SKL::::24H::10uM::LJP008::G01::BRD-K13094524,PFI-1,brd-k13094524,pfi-1
L1000,L1000::dasatinib::SKL::::24H::0.12uM::LJP008::G17::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::dasatinib::SKL::::24H::3.33uM::LJP008::G14::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::BIX-01294::SKL::::24H::10uM::LJP008::I13::BRD-K26818574,BIX-01294,brd-k26818574,bix-01294
L1000,L1000::UNC-0638::SKL::::24H::10uM::LJP008::M07::BRD-K86856088,UNC-0638,brd-k86856088,unc-0638
L1000,L1000::MK-1775::SKL::::24H::1.11uM::LJP008::A21::BRD-K54256913,MK-1775,brd-k54256913,mk-1775
L1000,L1000::CGP-60474::SKL::::24H::1.11uM::LJP008::C21::BRD-K79090631,CGP-60474,brd-k79090631,cgp-60474
L1000,L1000::rosiglitazone::PC3::::24H::10uM::REP.A028::P07::BRD-A97437073,rosiglitazone,brd-a97437073,rosiglitazone
L1000,L1000::brequinar::PC3::::24H::3.33uM::REP.A028::K20::BRD-K96123349,brequinar,brd-k96123349,brequinar
L1000,L1000::rosiglitazone::PC3::::24H::0.37uM::REP.A028::P10::BRD-A97437073,rosiglitazone,brd-a97437073,rosiglitazone
L1000,L1000::brequinar::PC3::::24H::1.11uM::REP.A028::K21::BRD-K96123349,brequinar,brd-k96123349,brequinar
L1000,L1000::cytochalasin-b::HA1E::::24H::1.11uM::PBIOA015::I21::BRD-K26664453,cytochalasin-b,brd-k26664453,cytochalasin-b
L1000,L1000::ciclopirox::HA1E::::24H::3.33uM::PBIOA015::N08::BRD-K13044802,ciclopirox,brd-k13044802,ciclopirox
L1000,L1000::vorinostat::HA1E::::24H::10uM::PBIOA015::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::cytochalasin-b::HA1E::::24H::3.33uM::PBIOA015::I20::BRD-K26664453,cytochalasin-b,brd-k26664453,cytochalasin-b
L1000,L1000::vemurafenib::HA1E::::24H::3.33uM::PBIOA015::M02::BRD-K56343971,vemurafenib,brd-k56343971,vemurafenib
L1000,L1000::R-428::HA1E::::24H::10uM::PBIOA015::J01::BRD-K14870255,R-428,brd-k14870255,r-428
L1000,L1000::ciclopirox::HA1E::::24H::10uM::PBIOA015::N07::BRD-K13044802,ciclopirox,brd-k13044802,ciclopirox
L1000,L1000::alsterpaullone::HA1E::::24H::0.125uM::PBIOA015::L11::BRD-K17516382,alsterpaullone,brd-k17516382,alsterpaullone
L1000,L1000::cytochalasin-b::HA1E::::24H::10uM::PBIOA015::I19::BRD-K26664453,cytochalasin-b,brd-k26664453,cytochalasin-b
L1000,L1000::midostaurin::HA1E::::24H::3.33uM::PBIOA015::O20::BRD-K13646352,midostaurin,brd-k13646352,midostaurin
L1000,L1000::vemurafenib::HA1E::::24H::10uM::PBIOA015::M01::BRD-K56343971,vemurafenib,brd-k56343971,vemurafenib
L1000,L1000::midostaurin::HA1E::::24H::10uM::PBIOA015::O19::BRD-K13646352,midostaurin,brd-k13646352,midostaurin
L1000,L1000::midostaurin::HA1E::::24H::1.11uM::PBIOA015::O21::BRD-K13646352,midostaurin,brd-k13646352,midostaurin
L1000,L1000::alsterpaullone::HA1E::::24H::3.33uM::PBIOA015::L08::BRD-K17516382,alsterpaullone,brd-k17516382,alsterpaullone
L1000,L1000::midostaurin::HA1E::::24H::0.37uM::PBIOA015::O22::BRD-K13646352,midostaurin,brd-k13646352,midostaurin
L1000,L1000::BRD-K13552602::HA1E::::24H::10uM::PBIOA015::B19::BRD-K13552602,BRD-K13552602,brd-k13552602,brd-k13552602
L1000,L1000::R-428::HA1E::::24H::0.125uM::PBIOA015::J05::BRD-K14870255,R-428,brd-k14870255,r-428
L1000,L1000::BRD-K28527676::HA1E::::24H::0.04uM::PBIOA015::P06::BRD-K28527676,BRD-K28527676,brd-k28527676,brd-k28527676
L1000,L1000::alsterpaullone::HA1E::::24H::1.11uM::PBIOA015::L09::BRD-K17516382,alsterpaullone,brd-k17516382,alsterpaullone
L1000,L1000::BRD-K87550320::PC3::::24H::10uM::PBIOA016::G01::BRD-K87550320,BRD-K87550320,brd-k87550320,brd-k87550320
L1000,L1000::AZD-7762::PC3::::24H::3.33uM::PBIOA016::I08::BRD-K86525559,AZD-7762,brd-k86525559,azd-7762
L1000,L1000::troglitazone::PC3::::24H::10uM::PBIOA016::K10::BRD-A13084692,troglitazone,brd-a13084692,troglitazone
L1000,L1000::vorinostat::PC3::::24H::10uM::PBIOA016::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::AZD-7762::PC3::::24H::10uM::PBIOA016::I07::BRD-K86525559,AZD-7762,brd-k86525559,azd-7762
L1000,L1000::olaparib::PC3::::24H::3.33uM::PBIOA016::G08::BRD-K02113016,olaparib,brd-k02113016,olaparib
L1000,L1000::BRD-K38028643::PC3::::24H::0.04uM::PBIOA016::P24::BRD-K38028643,BRD-K38028643,brd-k38028643,brd-k38028643
L1000,L1000::trifluoperazine::PC3::::24H::10uM::PBIOA016::B07::BRD-K89732114,trifluoperazine,brd-k89732114,trifluoperazine
L1000,L1000::BI-2536::A549::::6H::10uM::ASG003::D04::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::panobinostat::A549::::6H::0.12uM::ASG003::P03::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::palbociclib::A549::::6H::0.12uM::ASG003::K18::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::BI-2536::A549::::6H::1.11uM::ASG003::D05::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::palbociclib::A549::::6H::10uM::ASG003::K16::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::vorinostat::A549::::6H::1.11uM::ASG003::F05::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::trametinib::A549::::6H::1.11uM::ASG003::N17::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::vorinostat::A549::::6H::0.12uM::ASG003::F06::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::alvocidib::A549::::6H::0.12uM::ASG003::J21::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::AZ-628::A549::::6H::1.11uM::ASG003::J14::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::nocodazole::A549::::6H::1.11uM::ASG003::I02::BRD-K12539581,nocodazole,brd-k12539581,nocodazole
L1000,L1000::ponatinib::A549::::6H::1.11uM::ASG003::P14::BRD-K44227013,ponatinib,brd-k44227013,ponatinib
L1000,L1000::panobinostat::A549::::6H::10uM::ASG003::P01::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::RITA::A549::::6H::10uM::ASG003::A22::BRD-K00317371,RITA,brd-k00317371,rita
L1000,L1000::thioridazine::A549::::6H::10uM::ASG003::M01::BRD-A84481105,thioridazine,brd-a84481105,thioridazine
L1000,L1000::imatinib::A549::::6H::10uM::ASG003::K04::BRD-K92723993,imatinib,brd-k92723993,imatinib
L1000,L1000::ABT-737::A549::::6H::1.11uM::ASG003::L02::BRD-K56301217,ABT-737,brd-k56301217,abt-737
L1000,L1000::trametinib::A549::::6H::0.12uM::ASG003::N18::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::RITA::A549::::6H::0.12uM::ASG003::A24::BRD-K00317371,RITA,brd-k00317371,rita
L1000,L1000::dasatinib::A549::::6H::10uM::ASG003::N01::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::erlotinib::A549::::6H::10uM::ASG003::B16::BRD-K70401845,erlotinib,brd-k70401845,erlotinib
L1000,L1000::RITA::A549::::6H::1.11uM::ASG003::A23::BRD-K00317371,RITA,brd-k00317371,rita
L1000,L1000::GDC-0199::A549::::6H::10uM::ASG003::F01::BRD-K62391742,GDC-0199,brd-k62391742,gdc-0199
L1000,L1000::dasatinib::A549::::6H::1.11uM::ASG003::N02::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::AZ-628::A549::::6H::10uM::ASG003::J13::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::trametinib::A549::::6H::10uM::ASG003::N16::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::PI-103::A549::::6H::10uM::ASG003::F13::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::olaparib::A549::::6H::10uM::ASG003::D07::BRD-K02113016,olaparib,brd-k02113016,olaparib
L1000,L1000::raloxifene::A549::::6H::10uM::ASG003::I13::BRD-K63828191,raloxifene,brd-k63828191,raloxifene
L1000,L1000::tandutinib::A549::::6H::10uM::ASG003::D13::BRD-K89162000,tandutinib,brd-k89162000,tandutinib
L1000,L1000::lapatinib::A549::::6H::10uM::ASG003::O07::BRD-K19687926,lapatinib,brd-k19687926,lapatinib
L1000,L1000::vandetanib::A549::::6H::10uM::ASG003::N22::BRD-K77625799,vandetanib,brd-k77625799,vandetanib
L1000,L1000::alvocidib::A549::::6H::10uM::ASG003::J19::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::ponatinib::A549::::6H::10uM::ASG003::P13::BRD-K44227013,ponatinib,brd-k44227013,ponatinib
L1000,L1000::vemurafenib::A549::::6H::10uM::ASG003::H07::BRD-K56343971,vemurafenib,brd-k56343971,vemurafenib
L1000,L1000::selumetinib::A549::::6H::10uM::ASG003::E04::BRD-K57080016,selumetinib,brd-k57080016,selumetinib
L1000,L1000::trifluoperazine::A549::::6H::10uM::ASG003::P19::BRD-K89732114,trifluoperazine,brd-k89732114,trifluoperazine
L1000,L1000::ABT-737::A549::::6H::10uM::ASG003::L01::BRD-K56301217,ABT-737,brd-k56301217,abt-737
L1000,L1000::alvocidib::A549::::6H::1.11uM::ASG003::J20::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::panobinostat::A549::::6H::1.11uM::ASG003::P02::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::ponatinib::A549::::6H::0.12uM::ASG003::P15::BRD-K44227013,ponatinib,brd-k44227013,ponatinib
L1000,L1000::amlodipine::A549::::6H::10uM::ASG003::G04::BRD-A22032524,amlodipine,brd-a22032524,amlodipine
L1000,L1000::masitinib::A549::::6H::10uM::ASG003::P22::BRD-K71035033,masitinib,brd-k71035033,masitinib
L1000,L1000::gefitinib::A549::::6H::10uM::ASG003::C13::BRD-K64052750,gefitinib,brd-k64052750,gefitinib
L1000,L1000::nocodazole::A549::::6H::10uM::ASG003::I01::BRD-K12539581,nocodazole,brd-k12539581,nocodazole
L1000,L1000::vorinostat::A549::::6H::10uM::ASG003::F04::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::palbociclib::A549::::6H::1.11uM::ASG003::K17::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::AZ-628::A549::::6H::0.12uM::ASG003::J15::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::lomerizine::A549::::6H::10uM::ASG003::L19::BRD-K62858456,lomerizine,brd-k62858456,lomerizine
L1000,L1000::JNJ-7706621::A549::::6H::10uM::ASG003::L22::BRD-K11636097,JNJ-7706621,brd-k11636097,jnj-7706621
L1000,L1000::colchicine::HT29::::24H::2.22uM::REP.B012::A19::BRD-K00259736,colchicine,brd-k00259736,colchicine
L1000,L1000::colchicine::HT29::::24H::0.74uM::REP.B012::A20::BRD-K00259736,colchicine,brd-k00259736,colchicine
L1000,L1000::colchicine::HT29::::24H::0.25uM::REP.B012::A21::BRD-K00259736,colchicine,brd-k00259736,colchicine
L1000,L1000::colchicine::HT29::::24H::0.08uM::REP.B012::A22::BRD-K00259736,colchicine,brd-k00259736,colchicine
L1000,L1000::foretinib::HT29::::24H::2.22uM::REP.B012::P19::BRD-K03449891,foretinib,brd-k03449891,foretinib
L1000,L1000::PF-04691502::A375::::24H::0.125uM::REP.A011::N11::BRD-K07310275,PF-04691502,brd-k07310275,pf-04691502
L1000,L1000::PD-184352::A375::::24H::10uM::REP.A011::E01::BRD-K05104363,PD-184352,brd-k05104363,pd-184352
L1000,L1000::AZ-628::A375::::24H::0.125uM::REP.A011::H11::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::AZ-628::A375::::24H::10uM::REP.A011::H07::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::PF-04691502::A375::::24H::3.33uM::REP.A011::N08::BRD-K07310275,PF-04691502,brd-k07310275,pf-04691502
L1000,L1000::AZ-628::A375::::24H::0.37uM::REP.A011::H10::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::PD-184352::A375::::24H::0.125uM::REP.A011::E05::BRD-K05104363,PD-184352,brd-k05104363,pd-184352
L1000,L1000::PF-04691502::A375::::24H::10uM::REP.A011::N07::BRD-K07310275,PF-04691502,brd-k07310275,pf-04691502
L1000,L1000::PD-184352::A375::::24H::1.11uM::REP.A011::E03::BRD-K05104363,PD-184352,brd-k05104363,pd-184352
L1000,L1000::AZ-628::A375::::24H::3.33uM::REP.A011::H08::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::luteolin::A375::::24H::10uM::REP.A011::E07::BRD-K05236810,luteolin,brd-k05236810,luteolin
L1000,L1000::PD-184352::A375::::24H::3.33uM::REP.A011::E02::BRD-K05104363,PD-184352,brd-k05104363,pd-184352
L1000,L1000::AZ-628::A375::::24H::1.11uM::REP.A011::H09::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::PF-04691502::A375::::24H::0.37uM::REP.A011::N10::BRD-K07310275,PF-04691502,brd-k07310275,pf-04691502
L1000,L1000::PF-04691502::A375::::24H::1.11uM::REP.A011::N09::BRD-K07310275,PF-04691502,brd-k07310275,pf-04691502
L1000,L1000::PD-184352::A375::::24H::0.37uM::REP.A011::E04::BRD-K05104363,PD-184352,brd-k05104363,pd-184352
L1000,L1000::BRD-A04287157::XC.L10::::24H::20uM::PBIOA004::P19::BRD-A04287157,BRD-A04287157,brd-a04287157,brd-a04287157
L1000,L1000::panobinostat::XC.L10::::24H::3.33uM::PBIOA004::I02::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::trametinib::XC.L10::::24H::20uM::PBIOA004::K04::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::trifluoperazine::XC.L10::::24H::12.5uM::PBIOA004::F13::BRD-K89732114,trifluoperazine,brd-k89732114,trifluoperazine
L1000,L1000::AZD-7762::XC.L10::::24H::10uM::PBIOA004::I19::BRD-K86525559,AZD-7762,brd-k86525559,azd-7762
L1000,L1000::panobinostat::XC.L10::::24H::1.11uM::PBIOA004::I03::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::BRD-K97651142::XC.L10::::24H::20uM::PBIOA004::G10::BRD-K97651142,BRD-K97651142,brd-k97651142,brd-k97651142
L1000,L1000::vorinostat::XC.L10::::24H::10uM::PBIOA004::O02::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BRD-A89407846::XC.L10::::24H::10uM::PBIOA004::C01::BRD-A89407846,BRD-A89407846,brd-a89407846,brd-a89407846
L1000,L1000::troglitazone::XC.L10::::24H::10uM::PBIOA004::K10::BRD-A13084692,troglitazone,brd-a13084692,troglitazone
L1000,L1000::AZD-7762::XC.L10::::24H::3.33uM::PBIOA004::I20::BRD-K86525559,AZD-7762,brd-k86525559,azd-7762
L1000,L1000::panobinostat::XC.L10::::24H::10uM::PBIOA004::I01::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::trametinib::XC.L10::::24H::6.66uM::PBIOA004::K05::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::trametinib::XC.L10::::24H::2.22uM::PBIOA004::K06::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::BRD-K93830491::A549::::24H::10uM::DOSVAL004::G05::BRD-K93830491,BRD-K93830491,brd-k93830491,brd-k93830491
L1000,L1000::vorinostat::A549::::24H::10uM::DOSVAL004::G14::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BRD-K60738705::A549::::24H::4uM::DOSVAL004::E03::BRD-K60738705,BRD-K60738705,brd-k60738705,brd-k60738705
L1000,L1000::vorinostat::A549::::24H::20uM::DOSVAL004::G13::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BRD-K93830491::A549::::24H::20uM::DOSVAL004::G04::BRD-K93830491,BRD-K93830491,brd-k93830491,brd-k93830491
L1000,L1000::BRD-K93830491::A549::::24H::4uM::DOSVAL004::G06::BRD-K93830491,BRD-K93830491,brd-k93830491,brd-k93830491
L1000,L1000::vorinostat::A549::::24H::4uM::DOSVAL004::G15::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::enzastaurin::THP1::::24H::0.25uM::REP.B024::P03::BRD-K79404599,enzastaurin,brd-k79404599,enzastaurin
L1000,L1000::IKK-2-inhibitor-V::THP1::::24H::2.22uM::REP.B024::C13::BRD-K74305673,IKK-2-inhibitor-V,brd-k74305673,ikk-2-inhibitor-v
L1000,L1000::LY-2090314::THP1::::24H::0.01uM::REP.B024::L18::BRD-K78055238,LY-2090314,brd-k78055238,ly-2090314
L1000,L1000::tazarotene::THP1::::24H::2.22uM::REP.B024::I13::BRD-K76841105,tazarotene,brd-k76841105,tazarotene
L1000,L1000::tazarotene::THP1::::24H::0.74uM::REP.B024::I14::BRD-K76841105,tazarotene,brd-k76841105,tazarotene
L1000,L1000::LY-2090314::THP1::::24H::2.22uM::REP.B024::L13::BRD-K78055238,LY-2090314,brd-k78055238,ly-2090314
L1000,L1000::amitriptyline::HA1E::::24H::10uM::REP.A007::L01::BRD-K53737926,amitriptyline,brd-k53737926,amitriptyline
L1000,L1000::PI-103::HA1E::::24H::10uM::REP.A007::P01::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::siramesine::HA1E::::24H::10uM::REP.A007::H01::BRD-K51333959,siramesine,brd-k51333959,siramesine
L1000,L1000::pidotimod::HA1E::::24H::1.11uM::REP.A007::D15::BRD-K44442813,pidotimod,brd-k44442813,pidotimod
L1000,L1000::AEE-788::HA1E::::24H::1.11uM::REP.A007::F15::BRD-K40718343,AEE-788,brd-k40718343,aee-788
L1000,L1000::AEE-788::HA1E::::24H::3.33uM::REP.A007::F14::BRD-K40718343,AEE-788,brd-k40718343,aee-788
L1000,L1000::PI-103::HA1E::::24H::0.37uM::REP.A007::P04::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::trifluoperazine::HA1E::::24H::10uM::REP.A007::M07::BRD-K89732114,trifluoperazine,brd-k89732114,trifluoperazine
L1000,L1000::toremifene::HA1E::::24H::10uM::REP.A007::G07::BRD-K51350053,toremifene,brd-k51350053,toremifene
L1000,L1000::AEE-788::HA1E::::24H::0.04uM::REP.A007::F18::BRD-K40718343,AEE-788,brd-k40718343,aee-788
L1000,L1000::PI-103::HA1E::::24H::1.11uM::REP.A007::P03::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::GDC-0941::HA1E::::24H::10uM::REP.A007::I07::BRD-K52911425,GDC-0941,brd-k52911425,gdc-0941
L1000,L1000::PI-103::HA1E::::24H::3.33uM::REP.A007::P02::BRD-K67868012,PI-103,brd-k67868012,pi-103
L1000,L1000::AEE-788::HA1E::::24H::10uM::REP.A007::F13::BRD-K40718343,AEE-788,brd-k40718343,aee-788
L1000,L1000::PF-04691502::HA1E::::24H::3.33uM::REP.A011::N08::BRD-K07310275,PF-04691502,brd-k07310275,pf-04691502
L1000,L1000::PD-184352::HA1E::::24H::10uM::REP.A011::E01::BRD-K05104363,PD-184352,brd-k05104363,pd-184352
L1000,L1000::AZ-628::HA1E::::24H::3.33uM::REP.A011::H08::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::AZ-628::HA1E::::24H::10uM::REP.A011::H07::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::BMS-599626::HA1E::::24H::10uM::REP.A011::K19::BRD-K07106112,BMS-599626,brd-k07106112,bms-599626
L1000,L1000::PF-04691502::HA1E::::24H::10uM::REP.A011::N07::BRD-K07310275,PF-04691502,brd-k07310275,pf-04691502
L1000,L1000::PF-04691502::HA1E::::24H::1.11uM::REP.A011::N09::BRD-K07310275,PF-04691502,brd-k07310275,pf-04691502
L1000,L1000::PF-04691502::HA1E::::24H::0.37uM::REP.A011::N10::BRD-K07310275,PF-04691502,brd-k07310275,pf-04691502
L1000,L1000::PD-184352::HA1E::::24H::0.37uM::REP.A011::E04::BRD-K05104363,PD-184352,brd-k05104363,pd-184352
L1000,L1000::LGX-818::A375::::24H::0.25uM::REP.B014::A21::BRD-A56085258,LGX-818,brd-a56085258,lgx-818
L1000,L1000::chlorprothixene::A375::::24H::0.74uM::REP.B014::F14::BRD-K59058766,chlorprothixene,brd-k59058766,chlorprothixene
L1000,L1000::LGX-818::A375::::24H::0.03uM::REP.B014::A23::BRD-A56085258,LGX-818,brd-a56085258,lgx-818
L1000,L1000::LGX-818::A375::::24H::2.22uM::REP.B014::A19::BRD-A56085258,LGX-818,brd-a56085258,lgx-818
L1000,L1000::alvocidib::A549::::6H::1.11uM::LKCP001::F02::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::regorafenib::A549::::6H::10uM::LKCP001::P19::BRD-K16730910,regorafenib,brd-k16730910,regorafenib
L1000,L1000::dasatinib::A549::::6H::10uM::LKCP001::L10::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::AZ-628::A549::::6H::10uM::LKCP001::C13::BRD-K05804044,AZ-628,brd-k05804044,az-628
L1000,L1000::dasatinib::A549::::6H::1.11uM::LKCP001::L11::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::doramapimod::A549::::6H::10uM::LKCP001::M22::BRD-K74065929,doramapimod,brd-k74065929,doramapimod
L1000,L1000::raloxifene::A549::::6H::10uM::LKCP001::A04::BRD-K63828191,raloxifene,brd-k63828191,raloxifene
L1000,L1000::regorafenib::A549::::6H::1.11uM::LKCP001::P20::BRD-K16730910,regorafenib,brd-k16730910,regorafenib
L1000,L1000::hydroxyurea::A549::::6H::10uM::LKCP001::A19::BRD-K51747290,hydroxyurea,brd-k51747290,hydroxyurea
L1000,L1000::bosutinib::A549::::6H::10uM::LKCP001::C01::BRD-K99964838,bosutinib,brd-k99964838,bosutinib
L1000,L1000::alvocidib::A549::::6H::10uM::LKCP001::F01::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::MK-2206::A549::::6H::10uM::LKCP001::J04::BRD-K68065987,MK-2206,brd-k68065987,mk-2206
L1000,L1000::palbociclib::A549::::6H::10uM::LKCP001::B19::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::palbociclib::A549::::6H::1.11uM::LKCP001::B20::BRD-K51313569,palbociclib,brd-k51313569,palbociclib
L1000,L1000::clofarabine::A549::::6H::1.11uM::LKCP001::M08::BRD-K34022604,clofarabine,brd-k34022604,clofarabine
L1000,L1000::vandetanib::A549::::6H::10uM::LKCP001::G10::BRD-K77625799,vandetanib,brd-k77625799,vandetanib
