compound_embedding_row_index,compound_name,n_profiles,source_normalized_inverted_score
5133,Tirabrutinib (hydrochloride); Tirabrutinib hydrochloride,140,0.754923147074847
5162,Irinotecan (hydrochloride); Irinotecan Hydrochloride,374,0.9118544327938256
3779,Baicalin,145,0.775203317944656
755,Betamethasone Dipropionate; Betamethasone dipropionate,141,0.7509124267939256
198,(R)-2-((R)-2-Acetamido-3-(4-hydroxyphenyl)propanamido)-N-((R)-1-amino-1-oxo-3-phenylpropan-2-yl)-5-guanidinopentanamide; DTP3,140,0.7493618220064271
3774,"(2E)-2-[[4-(3,4-dichlorophenyl)-1,3-thiazol-2-yl]hydrazinylidene]-3-(2-nitrophenyl)propanoic acid; 4EGI-1",141,0.7519171907232296
1113,Bimatoprost,147,0.7648465247562416
5220,"2,6-Difluoro-4-(4-(4-morpholinophenyl)pyridin-3-yl)phenol; LJI308",159,0.8360259076896124
5281,Artesunate,180,0.887368893006398
5167,Lumateperone (tosylate); Lumateperone Tosylate,138,0.7436861852649672
5517,Diammonium Glycyrrhizinate,144,0.7436214072302518
5176,Palmatine (chloride); Palmatine Chloride,142,0.7406396603545313
3793,5-[(3R)-dithiolan-3-yl]pentanoic acid; Lipoic acid,139,0.7405730077155315
1555,Glasdegib,137,0.7524924941037484
1537,Piroxicam,150,0.7922345138925923
5514,Acetomenaphthone; Vitamin K4,141,0.7376840632731543
5177,Ivabradine (hydrochloride); Ivabradine Hydrochloride,138,0.7373684538187741
5168,Edoxaban (tosylate monohydrate); Edoxaban tosylate monohydrate,137,0.7331191057591466
5127,Citalopram (hydrobromide); Citalopram Hydrobromide,142,0.7316587064698289
5156,"2-Piperidinecarboxamide, 1-butyl-N-(2,6-dimethylphenyl)-, hydrochloride (1:1), (2S)-; Levobupivacaine (hydrochloride)",136,0.7287560138170655
2947,Alpelisib,167,0.8515786767932582
5215,ERK5-IN-2; Erk5-IN-2,143,0.7239833782258824
694,Drospirenone,147,0.7521812171399541
4684,methotrexate,183,0.8630908992862327
1262,TAK-901; Tak-901,154,0.8913528046145792
625,Cinacalcet,145,0.7370723287809908
5171,Esmolol (hydrochloride); Esmolol Hydrochloride,139,0.7209867717791052
5537,Fumaric Acid; Fumaric acid,139,0.7118143433384649
2057,E6 berbamine; berbamine,153,0.7632989228959164
3734,Asciminib,140,0.7108837812059695
5516,Bestatin (hydrochloride); Ubenimex hydrochloride,141,0.7103374923274053
5513,Chlorhexidine (diacetate); Chlorhexidine Acetate,144,0.7098439620542941
1019,sildenafil,145,0.9015753169665534
5519,Oleic Acid; Oleic acid,138,0.7036039187011207
