compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,raw_error_inverted_score,mean_source_normalized_error_z,source_normalized_inverted_score,predictability_score,source_normalized_predictability_score
6915,"4-Methoxy-2,3,6a,9a-tetrahydrocyclopenta(c)furo(3',2':4,5)furo(2,3-h)(1)benzopyran-1,11-dione; aflatoxin-b1",9,0.18723835,0.0008399891,0.4563630519916644,1.967953539272812,0.42743974654876815,0.1753217259651779,0.1367146101438304
6903,"4-[[4-(2,5-Dimethylphenyl)-1-piperazinyl]methyl]-2-methoxyphenol; BRD-K61413806",3,0.18727748,0.0008336138,0.45621673961339193,1.968860527627748,0.42725685559047666,0.1751703255109765,0.1365632096896291
6908,"4-acetyl-N-(4-chloro-2,5-dimethoxyphenyl)-3,5-dimethyl-1H-pyrrole-2-carboxamide; BRD-K24705176",2,0.18733042,0.0004923192,0.4560187897716913,1.9700878052597748,0.4270093794448462,0.1750189250567752,0.136109008327025
7274,"(8R,9S)-9-[[2,3-dihydro-1,4-benzodioxin-6-ylmethyl(methyl)amino]methyl]-6-[(2S)-1-hydroxypropan-2-yl]-8-methyl-10-oxa-1,6,13,14-tetrazabicyclo[10.2.1]pentadeca-12(15),13-dien-5-one; BRD-K08995965",1,0.1873483,0.0,0.45595193402613754,1.9705022548454072,0.42692580716801665,0.1748675246025738,0.1359576078728236
1189,"SR9238; ethyl 5-[[[4-(3-methylsulfonylphenyl)phenyl]methyl-(2,4,6-trimethylphenyl)sulfonylamino]methyl]furan-2-carboxylate",2,0.18741402,2.261711e-05,0.45570619803073587,0.8967865364712624,0.6434367420631737,0.1747161241483724,0.3886449659348978
3883,Etofenamate; etofenamate,5,0.1874797,0.00021021857,0.45546061160076046,2.166120175754448,0.3874801529659935,0.1745647236941711,0.1099167297501892
2665,m-3M3FBS,14,0.18761328,0.0009844175,0.4549611378596504,1.9766442943901088,0.4256872868583763,0.1744133232399697,0.1356548069644209
3788,"6,8-Bis((phenylmethyl)thio)octanoic acid; CPI-613",3,0.1877255,0.0013437448,0.4545415320561814,1.979245564895778,0.42516274996331205,0.1742619227857683,0.1355034065102195
7230,"BRD-K79260832; N-[(3R,9R,10R)-9-[[benzoyl(methyl)amino]methyl]-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]benzamide",1,0.18773831,0.0,0.45449363372841056,1.9795424943807864,0.42510287519450973,0.1741105223315669,0.1353520060560181
7759,"1-(3,4-Dihydroxyphenyl)-2-(2-methyl-1-imidazolyl)ethanone; BRD-K89190195",2,0.1877814,0.0011940033,0.454332514372935,1.98054095164595,0.42490153985757273,0.1739591218773656,0.1352006056018168
6768,2-[2-(Methylsulfamoyl)-5-(trifluoromethyl)phenyl]sulfinylbenzoic acid; BRD-A56800788,1,0.18784486,0.0,0.4540952288241189,1.982012270854453,0.42460485360076305,0.1738077214231642,0.1350492051476154
8229,"(5E)-5-[[5-bromo-2-[(2-bromophenyl)methoxy]phenyl]methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one; BRD-K09907482",10,0.18794699,0.00087838236,0.45371335089943254,1.984379570727556,0.42412749604705335,0.1736563209689628,0.134897804693414
