compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,std_total_error,median_total_error,mean_signature_error,variance_signature_error,std_signature_error,mean_compound_error,variance_compound_error,mean_numeric_error,mean_categorical_error,mean_signature_reconstruction_loss,mean_compound_reconstruction_bce,mean_signature_sign_accuracy,mean_compound_bitwise_accuracy,error_percentile,predictability_score,mean_source_normalized_error_z,variance_source_normalized_error_z,std_source_normalized_error_z,median_source_normalized_error_z,n_sources,source_normalized_error_percentile,source_normalized_predictability_score,profile_count_bin,raw_error_inverted_score,source_normalized_inverted_score
3020,Calmidazolium; calmidazolium,23,0.10041115,0.0006709818,0.02590332,0.09479118,0.063983075,0.0005447771,0.02334046,0.03157102,4.5588844e-05,0.00075462816,0.009412251,0.2115329097826087,0.03547719,0.970513654347826,0.9876887,0.2166540499621498,0.7833459500378501,-0.0436564538001256,0.3600603145251537,0.6000502599992384,-0.1749261585410021,2,0.2395155185465556,0.7604844814534444,20-99,0.7810217315404088,0.8330737079330389
12918,corynanthine,3,0.100414485,0.0012984762,0.036034375,0.08629607,0.052088067,0.00087148877,0.029520988,0.04621454,2.8735856e-05,0.0007511444,0.003923273,0.136750078,0.0131596079999999,0.9824319666666668,0.99618936,0.2168054504163512,0.7831945495836488,0.0100483375433411,0.8407434997636704,0.916920661651634,-0.3492048963782899,1,0.2652535957607873,0.7347464042392127,2-4,0.7810092615229915,0.8222443288123436
7496,"BRD-K85818861; N'-(2-aminophenyl)-N-[(2R,3S)-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl-[(4-phenoxyphenyl)methyl]amino]methyl]-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]heptanediamide",6,0.10044662,0.00069761014,0.026412312,0.09406176,0.0695334,0.0005478625,0.023406463,0.027016101,3.1320582e-05,0.00027780602,0.0076831393,0.1577280066666666,0.0069854204,0.9878554766666668,0.99736184,0.2169568508705526,0.7830431491294474,-0.0438357275626451,0.3748186918006447,0.6122243802729884,-0.1918338125049905,1,0.2392127176381529,0.7607872823618471,5-19,0.7808891043986422,0.83310985784615
5766,Methyl 3-(2-phenylacetamido)thiophene-2-carboxylate; methyl 3-[(2-phenylacetyl)amino]thiophene-2-carboxylate,3,0.10048282,0.0002167792,0.014723426,0.09439563,0.03180852,0.00015693602,0.012527411,0.0667203,3.0812153e-06,0.00024975298,0.0038080884,0.0371201993333333,0.005227486,1.0,0.99868095,0.2171082513247539,0.782891748675246,-0.3078309875394771,0.0416259881848188,0.204024479376419,-0.3921819622116464,1,0.1271763815291446,0.8728236184708554,2-4,0.7807537476878458,0.8863435579469776
1324,Vindesine; vindesine,9,0.10051459,0.00027348948,0.016537517,0.09906128,0.06209238,0.00014411751,0.012004895,0.03159125,7.2362996e-06,0.0012821552,0.0131490575,0.1688844444444444,0.017791668,0.9826612644444443,0.9944306,0.2172596517789553,0.7827403482210447,-0.0422603362308448,0.1469430393260581,0.3833315005658394,-0.0759473455874303,1,0.2399697199091597,0.7600302800908403,5-19,0.7806349553480114,0.8327921858178498
10505,pramocaine,5,0.100517794,5.6144872e-05,0.007492986,0.09813154,0.04467746,5.858703e-05,0.007654217,0.051468097,1.5808178e-05,0.0011021488,0.008303629,0.198484272,0.0020471516,0.957885854,0.9989741,0.2174110522331567,0.7825889477668433,0.0126773557090608,0.0363529440442507,0.1906644802899867,-0.0480428059864671,1,0.2660105980317941,0.7339894019682058,5-19,0.7806229751573653,0.8217141967008585
4177,Salmeterol; salmeterol,20,0.10057247,0.00049987674,0.022357924,0.0966668,0.061646413,0.00042930854,0.020719763,0.0322764,3.725328e-05,0.0004381566,0.013124044,0.174891568,0.005714686,0.983085226,0.9980947,0.217562452687358,0.7824375473126419,-0.0448350088075471,0.2731099655753453,0.5225992399299346,-0.1314502579310979,2,0.2383043149129447,0.7616956850870553,20-99,0.7804185341761635,0.8333113593356547
7682,4-[[(4-methylphenyl)sulfonylamino]methyl]-N-[2-[(phenylmethyl)-propan-2-ylamino]ethyl]benzamide; K-788-2192,6,0.10059765,0.00015421616,0.01241838,0.09357707,0.06445204,0.0001277794,0.011303956,0.03059923,2.2278133e-05,0.0005645064,0.010866959,0.1854975,0.0067273703999999,0.9827193683333334,0.99780154,0.2177138531415594,0.7822861468584406,-0.040335085009741,0.082858738093075,0.2878519377962827,-0.2030686298168649,1,0.2411809235427706,0.7588190764572293,5-19,0.7803243827403111,0.8324039657940054
6476,BRD-A09719808; [1-(2-Adamantylamino)-1-oxobutan-2-yl] 4-methylsulfonyl-3-nitrobenzoate,10,0.10060686,0.001374562,0.037075087,0.092287794,0.066110164,0.0011659381,0.034145836,0.030701175,1.7490585e-05,0.00032666695,0.0074603697,0.147207482,0.03184902,0.991274393,0.9893009,0.2178652535957607,0.7821347464042392,-0.0401216419278397,0.7385378564973036,0.8593822528405527,-0.2329533191998482,1,0.241332323996972,0.758667676003028,5-19,0.7802899453009068,0.8323609257598339
1020,N-(2-Chloro-4-(7-chloro-1-propyl-1H-benzo[d]imidazol-2-yl)phenyl)-6-methylpyridin-3-amine; N-[2-chloro-4-(7-chloro-1-propylbenzimidazol-2-yl)phenyl]-6-methylpyridin-3-amine,2,0.100626454,7.678073e-07,0.0008762488,0.100626454,0.021100037,2.2064305e-05,0.004697265,0.07693452,6.983861e-06,0.00053542317,0.0049696313,0.189254025,0.030781232,0.9852941,0.9900337,0.2180166540499621,0.7819833459500378,-0.3058406408776236,0.0001474347251894,0.0121422701826885,-0.3058406408776236,1,0.1280847842543527,0.8719152157456472,2-4,0.7802166806768365,0.885942211660294
