name,pubchem_cid,smiles,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
tozasertib,5494449,CN1CCN(CC1)c1cc(Nc2cc(C)n[nH]2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1,True,5.0,3.0,2.0,True,4+ rings
gf109203x,2396,CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc12 |t:9|,True,5.0,4.0,1.0,True,4+ rings
3-cpmt,,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)O[C@H](c1ccccc1)c1ccc(Cl)cc1 |&1:2,5,7,&2:10,r,THB:0:1:3.4:6.7.8|",False,,,,,Invalid/missing SMILES
hetacillin,443387,CC1(C)S[C@@H]2[C@H](N3C(=O)[C@H](NC3(C)C)c3ccccc3)C(=O)N2[C@H]1C(O)=O,True,4.0,1.0,3.0,True,4+ rings
paroxetine,43815,Fc1ccc(cc1)[C@@H]1CCNC[C@H]1COc1ccc2OCOc2c1,True,4.0,2.0,2.0,True,4+ rings
rx-821002,67743720,"CO[C@]1(COc2ccccc2O1)C1=NCCN1 |&1:2,t:14|",True,3.0,1.0,2.0,True,3 rings
perfluorohexyloctane,10477896,CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,0.0,0.0,0.0,False,0 rings
stavudine,18283,Cc1cn([C@@H]2O[C@H](CO)C=C2)c(=O)[nH]c1=O |c:9|,True,2.0,1.0,1.0,True,2 rings
bibu-1361,17756796,CCN(CC)CC1CCN(CC1)c1ncc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1,True,4.0,3.0,1.0,True,4+ rings
6-benzylaminopurine,62389,C(Nc1ncnc2nc[nH]c12)c1ccccc1,True,3.0,3.0,0.0,True,3 rings
a-33903,6923850,"CC(=O)N[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O |&1:4,r,t:5|",True,3.0,2.0,1.0,True,3 rings
aminolevulinic-acid-benzyl-ester,9964521,NCC(=O)CCC(=O)OCc1ccccc1,True,1.0,1.0,0.0,True,1 ring
kw-2449,11427553,O=C(N1CCNCC1)c1ccc(\C=C\c2[nH]nc3ccccc23)cc1,True,4.0,3.0,1.0,True,4+ rings
tiaramide,5469,OCCN1CCN(CC1)C(=O)Cn1c2cc(Cl)ccc2sc1=O,True,3.0,2.0,1.0,True,3 rings
phenylacetylglutamine,92258,NC(=O)CC[C@H](NC(=O)Cc1ccccc1)C(O)=O,True,1.0,1.0,0.0,True,1 ring
metaraminol,5906,C[C@H](N)[C@H](O)c1cccc(O)c1,True,1.0,1.0,0.0,True,1 ring
oxcarbazepine,34312,NC(=O)N1c2ccccc2CC(=O)c2ccccc12,True,3.0,2.0,1.0,True,3 rings
pevonedistat,16720766,NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12,True,5.0,3.0,2.0,True,4+ rings
acetylcholine,187,CC(=O)OCC[N+](C)(C)C,True,0.0,0.0,0.0,False,0 rings
pyridoxal,1050,Cc1ncc(CO)c(C=O)c1O,True,1.0,1.0,0.0,True,1 ring
salirasib,5469318,CC(C)=CCC\C(C)=C\CC\C(C)=C\CSc1ccccc1C(O)=O,True,1.0,1.0,0.0,True,1 ring
cbipes,9864510,CCS(=O)(=O)N(Cc1cccnc1)c1cccc(c1)-c1ccc(cc1)C#N,True,3.0,3.0,0.0,True,3 rings
alprostadil,5280723,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,True,1.0,0.0,1.0,True,1 ring
bml-284,11210285,COc1cccc(c1)-c1cc(NCc2ccc3OCOc3c2)nc(N)n1,True,4.0,3.0,1.0,True,4+ rings
ambroxol,,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1 |r|,True,2.0,1.0,1.0,True,2 rings
thymol,6989,CC(C)c1ccc(C)cc1O,True,1.0,1.0,0.0,True,1 ring
tropicamide,688595,"CCN(Cc1ccncc1)C(=O)[C@@H](CO)c1ccccc1 |&1:12,r|",True,2.0,2.0,0.0,True,2 rings
chloramphenicol,5959,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+]([O-])=O,True,1.0,1.0,0.0,True,1 ring
doxorubicin,,,False,,,,,Invalid/missing SMILES
glucaric-acid,33037,O[C@@H]([C@H](O)[C@@H](O)C(O)=O)[C@H](O)C(O)=O,True,0.0,0.0,0.0,False,0 rings
emixustat,25221720,NCC[C@@H](O)c1cccc(OCC2CCCCC2)c1,True,2.0,1.0,1.0,True,2 rings
finasteride,57363,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C |c:18|,True,4.0,0.0,4.0,True,4+ rings
acetophenazine,17676,CC(=O)c1ccc2Sc3ccccc3N(CCCN3CCN(CCO)CC3)c2c1,True,4.0,2.0,2.0,True,4+ rings
