name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
finafloxacin,11567473.0,-2.0936773,5.7612066,11567473,finafloxacin,True,5.0,2.0,3.0,True,4+ rings
naringin-dihydrochalcone,9894584.0,0.20851193,5.7922144,9894584,naringin-dihydrochalcone,True,4.0,2.0,2.0,True,4+ rings
ib-meca,123683.0,-0.644541,1.471286,123683,ib-meca,True,4.0,3.0,1.0,True,4+ rings
pp242,135565635.0,3.3551433,1.7842214,135565635,pp242,True,4.0,4.0,0.0,True,4+ rings
vs-4718,25073775.0,0.20269814,1.5515693,25073775,vs-4718,True,4.0,3.0,1.0,True,4+ rings
vp-20629,3744.0,-4.0208964,5.676393,3744,vp-20629,True,2.0,2.0,0.0,True,2 rings
talarozole,76958553.0,3.2473989,1.2221437,76958553,talarozole,True,4.0,4.0,0.0,True,4+ rings
lcl-161,24737642.0,-1.3818688,4.9520516,24737642,lcl-161,True,4.0,2.0,2.0,True,4+ rings
ns-3861,,0.31864274,10.184957,,ns-3861,True,3.0,1.0,2.0,True,3 rings
mivebresib,71600087.0,2.9874597,1.4613322,71600087,mivebresib,True,4.0,4.0,0.0,True,4+ rings
tcs-hdac6-20b,23636017.0,1.31927,7.2253103,23636017,tcs-hdac6-20b,True,4.0,0.0,4.0,True,4+ rings
cinoxacin,2762.0,-3.2684252,6.0660863,2762,cinoxacin,True,3.0,2.0,1.0,True,3 rings
arachidonic-acid,444899.0,1.7509085,6.5494547,444899,arachidonic-acid,True,0.0,0.0,0.0,False,0 rings
siguazodan,6604007.0,-0.7576424,8.969514,6604007,siguazodan,True,2.0,1.0,1.0,True,2 rings
uprosertib,51042438.0,0.02105435,0.65746003,51042438,uprosertib,True,3.0,3.0,0.0,True,3 rings
e-4031,3185.0,-2.117117,4.8690906,3185,e-4031,True,3.0,2.0,1.0,True,3 rings
atpa,11345201.0,-1.0628651,8.981918,11345201,atpa,True,1.0,1.0,0.0,True,1 ring
remetinostat,24875489.0,0.09238129,8.407815,24875489,remetinostat,True,1.0,1.0,0.0,True,1 ring
ranirestat,153948.0,-2.8808298,5.521416,153948,ranirestat,True,4.0,2.0,2.0,True,4+ rings
sodium-picosulfate,5243.0,-0.56001127,1.3554233,5243,sodium-picosulfate,True,3.0,3.0,0.0,True,3 rings
avridine,37186.0,1.303806,6.2555165,37186,avridine,True,0.0,0.0,0.0,False,0 rings
clindamycin,446598.0,1.5116034,8.2871475,446598,clindamycin,True,2.0,0.0,2.0,True,2 rings
ha14-1,6976314.0,0.20601015,8.353678,6976314,ha14-1,True,2.0,1.0,1.0,True,2 rings
onc201,73777259.0,-2.7996402,4.439998,73777259,onc201,True,5.0,2.0,3.0,True,4+ rings
apto-253,11960271.0,2.8126905,2.6799536,11960271,apto-253,True,6.0,6.0,0.0,True,4+ rings
pf-5274857,56956240.0,-2.1643355,5.1217203,56956240,pf-5274857,True,3.0,2.0,1.0,True,3 rings
telotristat,25025298.0,2.2086582,1.8464535,25025298,telotristat,True,4.0,4.0,0.0,True,4+ rings
diethylstilbestrol,448537.0,-3.8931675,4.8363686,448537,diethylstilbestrol,True,2.0,2.0,0.0,True,2 rings
rhein,10168.0,-2.865909,6.0499873,10168,rhein,True,3.0,2.0,1.0,True,3 rings
dbeq,676352.0,3.390849,1.264019,676352,dbeq,True,4.0,4.0,0.0,True,4+ rings
chloroprocaine,8612.0,0.057791736,9.349383,8612,chloroprocaine,True,1.0,1.0,0.0,True,1 ring
cy208-243,58144.0,-0.47976694,-0.7938217,58144,cy208-243,True,5.0,3.0,2.0,True,4+ rings
09/01/92,7141881.0,-4.071203,5.9344425,7141881,09/01/92,True,2.0,2.0,0.0,True,2 rings
darifenacin,444031.0,0.202168,0.21144402,444031,darifenacin,True,5.0,3.0,2.0,True,4+ rings
carmoxirole,86308157.0,0.5473939,0.08251696,86308157,carmoxirole,True,4.0,3.0,1.0,True,4+ rings
fpl-12495,164087.0,-4.3204327,5.0035133,164087,fpl-12495,True,2.0,2.0,0.0,True,2 rings
puerarin,5281807.0,-0.756679,6.2086554,5281807,puerarin,True,4.0,3.0,1.0,True,4+ rings
transcrocetinate,5281232.0,1.9204594,7.147869,5281232,transcrocetinate,True,0.0,0.0,0.0,False,0 rings
iguratimod,124246.0,-0.66869736,0.97533125,124246,iguratimod,True,3.0,3.0,0.0,True,3 rings
halothane,4369439.0,3.502054,8.117286,4369439,halothane,True,0.0,0.0,0.0,False,0 rings
7-nitroindazole,1893.0,-4.1080365,5.9065948,1893,7-nitroindazole,True,2.0,2.0,0.0,True,2 rings
bupranolol,66601885.0,-0.043089256,9.650218,66601885,bupranolol,True,1.0,1.0,0.0,True,1 ring
bi-224436,66561902.0,2.9321442,1.351857,66561902,bi-224436,True,5.0,4.0,1.0,True,4+ rings
adarotene,9864378.0,-3.0391467,4.073712,9864378,adarotene,True,6.0,2.0,4.0,True,4+ rings
chloroquine,444810.0,-2.9821362,4.2376666,444810,chloroquine,True,2.0,2.0,0.0,True,2 rings
iloperidone,71360.0,0.33847338,0.8376456,71360,iloperidone,True,4.0,3.0,1.0,True,4+ rings
linaprazan,9951066.0,-0.5337302,0.7043469,9951066,linaprazan,True,3.0,3.0,0.0,True,3 rings
amn-082,1894361.0,3.3057125,1.041976,1894361,amn-082,True,4.0,4.0,0.0,True,4+ rings
taurolidine,29566.0,2.1429784,8.960201,29566,taurolidine,True,2.0,0.0,2.0,True,2 rings
ono-4817,9888141.0,-1.4015265,5.2167454,9888141,ono-4817,True,2.0,2.0,0.0,True,2 rings
xl888,,-1.1879776,5.0206704,,xl888,True,5.0,2.0,3.0,True,4+ rings
fluspirilene,3396.0,0.8536862,0.60581195,3396,fluspirilene,True,5.0,3.0,2.0,True,4+ rings
tc-mps1-12,70682875.0,-2.2930815,5.7791944,70682875,tc-mps1-12,True,2.0,2.0,0.0,True,2 rings
sns-314,24995524.0,2.5910075,1.7097318,24995524,sns-314,True,4.0,4.0,0.0,True,4+ rings
e7820,196970.0,-0.863126,0.07445646,196970,e7820,True,3.0,3.0,0.0,True,3 rings
cresopirine,78094.0,-0.6332104,10.215051,78094,cresopirine,True,1.0,1.0,0.0,True,1 ring
fludarabine,657237.0,-1.7619096,6.583762,657237,fludarabine,True,3.0,2.0,1.0,True,3 rings
ly393558,10347428.0,0.32400376,1.4063642,10347428,ly393558,True,5.0,3.0,2.0,True,4+ rings
cxd101,16225380.0,0.012739211,0.59743375,16225380,cxd101,True,4.0,3.0,1.0,True,4+ rings
picrotoxinin,7098683.0,2.1768687,8.661594,7098683,picrotoxinin,True,5.0,0.0,5.0,True,4+ rings
nitrosodimethylurea,129010104.0,3.1374843,9.253929,129010104,nitrosodimethylurea,True,0.0,0.0,0.0,False,0 rings
sulfabenzamide,5319.0,-3.1323965,6.0352297,5319,sulfabenzamide,True,2.0,2.0,0.0,True,2 rings
"2,5-furandimethanol",74663.0,-1.3412007,10.1729355,74663,"2,5-furandimethanol",True,1.0,1.0,0.0,True,1 ring
evodiamine,442088.0,-0.5205052,-0.7314279,442088,evodiamine,True,5.0,3.0,2.0,True,4+ rings
thiocolchicoside,9915886.0,-0.2123556,6.161921,9915886,thiocolchicoside,True,4.0,2.0,2.0,True,4+ rings
doxycycline,,-0.29692924,6.8400025,,doxycycline,True,4.0,1.0,3.0,True,4+ rings
cadazolid,44242317.0,0.28089136,2.0533707,44242317,cadazolid,True,6.0,3.0,3.0,True,4+ rings
dihydromyricetin,161557.0,-1.856384,6.131976,161557,dihydromyricetin,True,3.0,2.0,1.0,True,3 rings
exatecan-mesylate,151115.0,-0.74152416,0.81597185,151115,exatecan-mesylate,True,6.0,3.0,3.0,True,4+ rings
sulbactam,130313.0,2.5824442,8.976218,130313,sulbactam,True,2.0,0.0,2.0,True,2 rings
mafenide,3998.0,-1.1949091,9.634069,3998,mafenide,True,1.0,1.0,0.0,True,1 ring
midostaurin,9829523.0,2.5074103,2.6870394,9829523,midostaurin,True,9.0,6.0,3.0,True,4+ rings
bam7,,-0.06068212,1.0114924,,bam7,True,4.0,3.0,1.0,True,4+ rings
ameltolide,13086.0,-3.9013116,5.41938,13086,ameltolide,True,2.0,2.0,0.0,True,2 rings
a-784168,11420211.0,-2.045595,4.6773477,11420211,a-784168,True,3.0,2.0,1.0,True,3 rings
oc000459,11462174.0,3.5919306,1.2301483,11462174,oc000459,True,4.0,4.0,0.0,True,4+ rings
pf-477736,135565545.0,-0.6748222,1.0059252,135565545,pf-477736,True,5.0,3.0,2.0,True,4+ rings
carboxylosartan,108185.0,2.8319447,1.4560779,108185,carboxylosartan,True,4.0,4.0,0.0,True,4+ rings
tg-100713,17751063.0,-1.1388013,0.32831308,17751063,tg-100713,True,3.0,3.0,0.0,True,3 rings
hpgds-in-1,46700750.0,2.7966392,1.9625916,46700750,hpgds-in-1,True,4.0,4.0,0.0,True,4+ rings
gliclazide,931837.0,-0.22148848,9.078189,931837,gliclazide,True,3.0,1.0,2.0,True,3 rings
cim-0216,25331887.0,-0.102661096,-0.13924976,25331887,cim-0216,True,4.0,3.0,1.0,True,4+ rings
desloratadine,124087.0,-3.915037,4.4209385,124087,desloratadine,True,4.0,2.0,2.0,True,4+ rings
epacadostat,135564890.0,-1.2956043,6.1182075,135564890,epacadostat,True,2.0,2.0,0.0,True,2 rings
mecamylamine,46912050.0,3.480109,8.147468,46912050,mecamylamine,True,2.0,0.0,2.0,True,2 rings
y-11,427018.0,14.929487,4.287413,427018,y-11,True,4.0,0.0,4.0,True,4+ rings
darusentan,177236.0,-0.22050041,1.2861735,177236,darusentan,True,3.0,3.0,0.0,True,3 rings
vby-825,70945511.0,0.18768561,6.9490337,70945511,vby-825,True,3.0,1.0,2.0,True,3 rings
btz043-racemate,42609849.0,-1.9779539,5.231587,42609849,btz043-racemate,True,4.0,2.0,2.0,True,4+ rings
tenalisib,86291103.0,2.7598271,2.6382859,86291103,tenalisib,True,5.0,5.0,0.0,True,4+ rings
cefiderocol,46195832.0,14.722539,3.9985166,46195832,cefiderocol,True,5.0,2.0,3.0,True,4+ rings
moracizine,34633.0,-2.049646,4.688736,34633,moracizine,True,4.0,2.0,2.0,True,4+ rings
selexipag,9913767.0,0.30829635,1.6414964,9913767,selexipag,True,3.0,3.0,0.0,True,3 rings
cyclopentolate,6604325.0,0.057429112,9.286629,6604325,cyclopentolate,True,2.0,1.0,1.0,True,2 rings
actarit,2018.0,-1.0640261,9.835262,2018,actarit,True,1.0,1.0,0.0,True,1 ring
talnetant,5311424.0,3.3717406,1.1846876,5311424,talnetant,True,4.0,4.0,0.0,True,4+ rings
gentiopicrin,88708.0,1.4073011,8.535764,88708,gentiopicrin,True,3.0,0.0,3.0,True,3 rings
diminazene-aceturate,2354.0,-2.4828315,5.7759476,2354,diminazene-aceturate,True,2.0,2.0,0.0,True,2 rings
sc-560,4306515.0,0.16159007,-0.4692683,4306515,sc-560,True,3.0,3.0,0.0,True,3 rings
d-serine,71077.0,2.7621207,9.295355,71077,d-serine,True,0.0,0.0,0.0,False,0 rings
felypressin,,0.8453037,5.042014,,felypressin,True,4.0,2.0,2.0,True,4+ rings
