name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
"ici-185,282",5311390.0,11.0409565,1.3106093,5311390,"ici-185,282",True,2.0,1.0,1.0,True,2 rings
mk-0354,11159621.0,9.093162,1.6889656,11159621,mk-0354,True,3.0,2.0,1.0,True,3 rings
plx4720,24180719.0,9.22199,2.1221004,24180719,plx4720,True,3.0,3.0,0.0,True,3 rings
batefenterol,10372836.0,9.819936,3.3633027,10372836,batefenterol,True,6.0,5.0,1.0,True,4+ rings
acefylline,69550.0,8.220734,1.1733599,69550,acefylline,True,2.0,2.0,0.0,True,2 rings
fg-7142,4375.0,9.599879,2.9256823,4375,fg-7142,True,3.0,3.0,0.0,True,3 rings
dronedarone,208898.0,10.599423,3.0650358,208898,dronedarone,True,3.0,3.0,0.0,True,3 rings
pki-166,6918403.0,10.301988,2.6584284,6918403,pki-166,True,4.0,4.0,0.0,True,4+ rings
crisdesalazine,16042343.0,10.222981,2.9927783,16042343,crisdesalazine,True,2.0,2.0,0.0,True,2 rings
azd3988,,9.91402,3.3295045,,azd3988,True,4.0,3.0,1.0,True,4+ rings
halobetasol-propionate,6918178.0,8.033722,-1.1858878,6918178,halobetasol-propionate,True,4.0,0.0,4.0,True,4+ rings
azd5363,25227436.0,9.810606,2.2282355,25227436,azd5363,True,4.0,3.0,1.0,True,4+ rings
pk-44,46208486.0,10.570325,1.9668212,46208486,pk-44,True,4.0,3.0,1.0,True,4+ rings
clofilium,2798.0,10.586085,1.3303019,2798,clofilium,True,1.0,1.0,0.0,True,1 ring
unc0224,44251522.0,8.790696,4.315365,44251522,unc0224,True,4.0,2.0,2.0,True,4+ rings
pyrintegrin,46223724.0,8.628101,2.561489,46223724,pyrintegrin,True,5.0,3.0,2.0,True,4+ rings
ro-1138452,9839644.0,8.406683,1.6709683,9839644,ro-1138452,True,3.0,2.0,1.0,True,3 rings
sulfamethoxypyridazine,5330.0,8.209993,2.7368877,5330,sulfamethoxypyridazine,True,2.0,2.0,0.0,True,2 rings
bay-k-8644-(+/-),6604881.0,12.012041,4.0265336,6604881,bay-k-8644-(+/-),True,2.0,1.0,1.0,True,2 rings
10058-f4,1271002.0,8.863337,1.8328353,1271002,10058-f4,True,2.0,1.0,1.0,True,2 rings
sucrose-octaacetate,31340.0,10.115886,1.5128703,31340,sucrose-octaacetate,True,2.0,0.0,2.0,True,2 rings
avibactam,9835049.0,9.586803,1.6326778,9835049,avibactam,True,2.0,0.0,2.0,True,2 rings
azd2461,44199317.0,9.913132,2.781851,44199317,azd2461,True,4.0,3.0,1.0,True,4+ rings
chlormidazole,71821.0,9.299685,2.7141213,71821,chlormidazole,True,3.0,3.0,0.0,True,3 rings
cvt-10216,23661666.0,9.464632,0.80648476,23661666,cvt-10216,True,4.0,4.0,0.0,True,4+ rings
pg-9,,10.743132,2.8118594,,pg-9,True,3.0,1.0,2.0,True,3 rings
epigallocatechin-gallate-(-),65064.0,9.54471,0.9290235,65064,epigallocatechin-gallate-(-),True,4.0,3.0,1.0,True,4+ rings
cinchophen,8593.0,9.954384,2.859184,8593,cinchophen,True,3.0,3.0,0.0,True,3 rings
ioxilan,73416261.0,10.124968,1.3022664,73416261,ioxilan,True,1.0,1.0,0.0,True,1 ring
mln2480,25161177.0,10.1083145,1.7837006,25161177,mln2480,True,3.0,3.0,0.0,True,3 rings
bms-626531,59749702.0,9.931322,3.3743863,59749702,bms-626531,True,4.0,3.0,1.0,True,4+ rings
napamezole,55718.0,8.467648,1.8139826,55718,napamezole,True,3.0,1.0,2.0,True,3 rings
propyl-benzoate,16846.0,10.503094,2.9348447,16846,propyl-benzoate,True,1.0,1.0,0.0,True,1 ring
deferasirox,214348.0,9.97042,2.6937833,214348,deferasirox,True,4.0,4.0,0.0,True,4+ rings
perospirone,115368.0,9.598024,3.8657281,115368,perospirone,True,5.0,2.0,3.0,True,4+ rings
fomepizole,3406.0,8.9643,1.9513052,3406,fomepizole,True,1.0,1.0,0.0,True,1 ring
chlorzoxazone,2733.0,9.248141,2.092701,2733,chlorzoxazone,True,2.0,2.0,0.0,True,2 rings
mirogabalin-besylate,59509752.0,10.293437,1.7809336,59509752,mirogabalin-besylate,True,2.0,0.0,2.0,True,2 rings
cefmenoxime,9570757.0,13.374402,1.5684267,9570757,cefmenoxime,True,4.0,2.0,2.0,True,4+ rings
l-733060,132846.0,9.670658,2.8939898,132846,l-733060,True,3.0,2.0,1.0,True,3 rings
tenatoprazole,11552393.0,8.049996,2.5230403,11552393,tenatoprazole,True,3.0,3.0,0.0,True,3 rings
mrx-2843,,9.356411,2.3262906,,mrx-2843,True,6.0,3.0,3.0,True,4+ rings
calcium-levofolinate,135398559.0,11.379871,1.8688769,135398559,calcium-levofolinate,True,3.0,2.0,1.0,True,3 rings
s-14506,131906.0,9.966775,3.5062697,131906,s-14506,True,4.0,3.0,1.0,True,4+ rings
bml-190,2415.0,9.146198,3.534863,2415,bml-190,True,4.0,3.0,1.0,True,4+ rings
arctigenin,64981.0,8.757115,3.2712834,64981,arctigenin,True,3.0,2.0,1.0,True,3 rings
cefathiamidine,44537522.0,13.341175,1.596443,44537522,cefathiamidine,True,2.0,0.0,2.0,True,2 rings
jph203,24853505.0,11.093623,2.1862133,24853505,jph203,True,4.0,4.0,0.0,True,4+ rings
nvp-231,4096211.0,10.021431,3.1927445,4096211,nvp-231,True,7.0,3.0,4.0,True,4+ rings
bms-309403,16122583.0,10.165431,2.6480403,16122583,bms-309403,True,5.0,5.0,0.0,True,4+ rings
butylidenephthalide,642376.0,9.473086,2.406508,642376,butylidenephthalide,True,2.0,1.0,1.0,True,2 rings
gr-127935,107780.0,9.697295,3.5896652,107780,gr-127935,True,5.0,4.0,1.0,True,4+ rings
nvp-tae226,9934347.0,8.4791975,3.779012,9934347,nvp-tae226,True,4.0,3.0,1.0,True,4+ rings
bay1217389,78320750.0,9.327917,3.4144921,78320750,bay1217389,True,5.0,4.0,1.0,True,4+ rings
acriflavinium,2016.0,9.059835,2.1479137,2016,acriflavinium,True,3.0,3.0,0.0,True,3 rings
ly411575,10435235.0,10.327908,2.8245354,10435235,ly411575,True,4.0,3.0,1.0,True,4+ rings
levodopa,6971033.0,10.946296,2.3277147,6971033,levodopa,True,1.0,1.0,0.0,True,1 ring
7-hydroxy-pipat,10317104.0,9.407323,2.314765,10317104,7-hydroxy-pipat,True,2.0,1.0,1.0,True,2 rings
dibenzepine,9419.0,9.014928,3.5389998,9419,dibenzepine,True,3.0,2.0,1.0,True,3 rings
levomepromazine,72287.0,8.790468,3.861027,72287,levomepromazine,True,3.0,2.0,1.0,True,3 rings
meclofenamic-acid,4037.0,10.102052,3.2571476,4037,meclofenamic-acid,True,2.0,2.0,0.0,True,2 rings
chenodeoxycholic-acid,10133.0,8.9228115,-0.35973382,10133,chenodeoxycholic-acid,True,4.0,0.0,4.0,True,4+ rings
selenomethionine,53262363.0,11.152414,1.8495715,53262363,selenomethionine,True,0.0,0.0,0.0,False,0 rings
int-747,447715.0,8.914688,-0.36683354,447715,int-747,True,4.0,0.0,4.0,True,4+ rings
azd4547,51039095.0,9.1345825,3.0443668,51039095,azd4547,True,4.0,3.0,1.0,True,4+ rings
agmatine,199.0,10.804613,1.9356097,199,agmatine,True,0.0,0.0,0.0,False,0 rings
meprednisone,5284587.0,8.126893,-1.0593637,5284587,meprednisone,True,4.0,0.0,4.0,True,4+ rings
st-91,20864.0,8.459044,1.707299,20864,st-91,True,2.0,1.0,1.0,True,2 rings
4-phenolsulfonic-acid,4765.0,8.87081,2.5115592,4765,4-phenolsulfonic-acid,True,1.0,1.0,0.0,True,1 ring
benidipine,656667.0,12.215144,4.1719427,656667,benidipine,True,4.0,2.0,2.0,True,4+ rings
cefepime,5464263.0,13.4215145,1.5238318,5464263,cefepime,True,4.0,1.0,3.0,True,4+ rings
gemcitabine-elaidate,9828310.0,10.619117,-0.47854647,9828310,gemcitabine-elaidate,True,2.0,1.0,1.0,True,2 rings
chloropyramine,25295.0,9.38238,3.216417,25295,chloropyramine,True,2.0,2.0,0.0,True,2 rings
"1,2,3,4,5,6-hexabromocyclohexane",74603.0,9.190442,1.6279001,74603,"1,2,3,4,5,6-hexabromocyclohexane",True,1.0,0.0,1.0,True,1 ring
donepezil,1150567.0,9.332724,3.0343218,1150567,donepezil,True,4.0,2.0,2.0,True,4+ rings
verinurad,54767229.0,9.4961405,3.0130398,54767229,verinurad,True,3.0,3.0,0.0,True,3 rings
bismuth-subcitrate-potassium,129856537.0,10.2956505,1.7721014,129856537,bismuth-subcitrate-potassium,True,1.0,0.0,1.0,True,1 ring
cysteamine,6058.0,9.526114,1.6686867,6058,cysteamine,True,0.0,0.0,0.0,False,0 rings
