gene,gene_col
FCER1A,858
MOXD1,859
TNFAIP8,860
MPP1,861
ENC1,862
RSL24D1,863
SPINK1,864
TKT,865
CCR2,866
CAP2,867
FBXL12,868
RNASE6,869
TLR4,870
FASTKD5,871
RNPS1,872
RPA3,873
CCDC69,874
ZSCAN31,875
CCL19,876
MRPS30,877
RPIA,878
FABP4,879
TMEM106B,880
ZW10,881
MTAP,882
CPVL,883
MSX1,884
MSL2,885
ME1,886
RAB8A,887
MAGEA4,888
ZFP36L2,889
ALDOA,890
ESRP2,891
LUM,892
CA12,893
UGDH,894
ZNF706,895
IER2,896
KIAA1324,897
BMPR1B,898
CD36,899
ANKRD46,900
COL4A6,901
LRRN3,902
UMOD,903
ZNF750,904
DCN,905
GNG12,906
NEK7,907
AGPS,908
LINC00341,909
REEP1,910
CDHR5,911
PTGDR,912
MAST4,913
ORAI2,914
RIMBP2,915
GALNT2,916
MARCKS,917
NDRG3,918
GLIPR1,919
P2RX5,920
ADIPOQ,921
MAN1A1,922
HOXC6,923
INSM1,924
TNFRSF25,925
PIEZO2,926
ARMC1,927
CD34,928
HRAS,929
IMPA1,930
PLS1,931
TMEM164,932
VANGL1,933
SERPINI1,934
RTN4,935
ERBB4,936
MECOM,937
CALB1,938
FGL2,939
CREB3L1,940
ANGPT1,941
KCNK3,942
HAT1,943
DIPK1A,944
MSR1,945
HOXB2,946
SYCP2,947
PTGER4,948
XPO7,949
RPS27L,950
HDGFL3,951
GIMAP6,952
BCAS4,953
MNDA,954
MLANA,955
SLC4A4,956
MSRB2,957
SLC7A7,958
BLNK,959
SH3TC1,960
MXI1,961
MYB,962
CRCT1,963
GDF15,964
SGK1,965
MEIS2,966
SMAD1,967
CX3CR1,968
CXCL10,969
GBP1,970
B3GALNT1,971
MAP7,972
GATA3,973
CYFIP2,974
SP140,975
MAGEA6,976
MAGEA3,977
MAGEA12,978
MAGEA1,979
SQLE,980
GNAS,981
COQ8A,982
LYZ,983
LYN,984
NEDD4,985
GNG11,986
COL5A2,987
LRP2,988
COL4A5,989
ATP1B3,990
RTN1,991
COL3A1,992
COL1A1,993
STX7,994
RRS1,995
COG7,996
NPR3,997
NQO1,998
NR2F6,999
GOLM1,1000
RPL39L,1001
RPL36,1002
LIMA1,1003
LGALS2,1004
F13A1,1005
FSTL3,1006
LAP3,1007
CLIC5,1008
ENOSF1,1009
OLR1,1010
TBXA2R,1011
TCF4,1012
KRT10,1013
TCL1A,1014
ARHGEF12,1015
KLF2,1016
WIPF1,1017
DICER1,1018
RGS20,1019
TFEC,1020
TLE4,1021
GRIA2,1022
JUP,1023
JADE2,1024
CAPN2,1025
TMEM268,1026
IRF8,1027
RASA4,1028
DOCK10,1029
RAP1B,1030
TNNT1,1031
CAVIN3,1032
RABEP2,1033
PI3,1034
RAB4A,1035
TPD52,1036
PIGB,1037
RAB2A,1038
RAB25,1039
IL13RA1,1040
QDPR,1041
DSG1,1042
PLA2G15,1043
ANK2,1044
ID3,1045
CDK5R1,1046
ID2,1047
ID1,1048
PLCB4,1049
TRPS1,1050
PLEKHF2,1051
VEGFC,1052
ALDOB,1053
PTER,1054
HOXB7,1055
HOXB6,1056
HOXA1,1057
TUFT1,1058
CDC42,1059
TYR,1060
CD52,1061
POSTN,1062
UBE2E3,1063
POU4F1,1064
HLA-DQA1,1065
EFEMP1,1066
HIST1H1C,1067
EGFL7,1068
HHEX,1069
HGD,1070
AGTR1,1071
CXCL11,1072
TMEM258,1073
CLIP2,1074
TBC1D1,1075
MFSD1,1076
TACC3,1077
ANKRD28,1078
MFAP5,1079
HMGA1,1080
GYPC,1081
KIF11,1082
PDK3,1083
DPYSL2,1084
CYB5R3,1085
SLC29A1,1086
RHOF,1087
PLXND1,1088
GOLGA8H,1089
IRAK1,1090
RBBP8,1091
CD96,1092
RIPK2,1093
VPS28,1094
EMP2,1095
COL15A1,1096
TSPAN4,1097
FAM102A,1098
UGT2B28,1099
AQP8,1100
PCBP1,1101
EIF3H,1102
FGFR1,1103
RNF128,1104
PTP4A2,1105
GLA,1106
FAM49B,1107
DIP2C,1108
OSBPL10,1109
FGF9,1110
FBLN1,1111
DTX4,1112
ST3GAL6,1113
FOXM1,1114
MZT2A,1115
CACYBP,1116
ASAP2,1117
SOBP,1118
BCHE,1119
ZCCHC14,1120
HNMT,1121
PDGFRL,1122
AZGP1,1123
AZIN1,1124
RALBP1,1125
NUSAP1,1126
RBM47,1127
WWC3,1128
ASPH,1129
H1FX,1130
TRAPPC6A,1131
ATP2A3,1132
SMCHD1,1133
TGM2,1134
REV3L,1135
PRC1,1136
ALDH18A1,1137
CCL5,1138
TP53,1139
GOLGA8A,1140
SPR,1141
EPYC,1142
ACTN1,1143
MAB21L2,1144
SPINT2,1145
RACGAP1,1146
CYP1B1,1147
GPI,1148
TMEM123,1149
SCRG1,1150
GPR143,1151
LTBP3,1152
EPCAM,1153
SAP30,1154
LSR,1155
OPN3,1156
EPB41L3,1157
ENPP1,1158
NSG1,1159
TMSB15A,1160
S100P,1161
CLEC11A,1162
CYTL1,1163
SCUBE2,1164
C14ORF132,1165
LPAR2,1166
GLB1L2,1167
MAST2,1168
SORL1,1169
GSTZ1,1170
PTGER3,1171
APOBEC3B,1172
LIMK2,1173
MBNL1,1174
SEMA3C,1175
COL11A1,1176
TPX2,1177
TRAF3IP2,1178
LCK,1179
GCH1,1180
STAB1,1181
GCA,1182
ELMO1,1183
MCM5,1184
RBP4,1185
RBPJ,1186
ELF5,1187
RTN3,1188
LAGE3,1189
CHMP2B,1190
KRT23,1191
KRT19,1192
TGFA,1193
ANPEP,1194
NINJ1,1195
CD8B,1196
SH3BP4,1197
PDCD4,1198
SH3YL1,1199
PDE10A,1200
PDE2A,1201
DENND2D,1202
AGR2,1203
DEPTOR,1204
ZNF423,1205
MGAT4A,1206
KIF2A,1207
HMGB2,1208
TST,1209
CHI3L2,1210
FXYD3,1211
HMMR,1212
COTL1,1213
HNRNPH2,1214
BMP7,1215
PPARG,1216
PENK,1217
KCNN4,1218
CFD,1219
HSD17B2,1220
VCAM1,1221
CP,1222
KCNK1,1223
SYBU,1224
TWIST1,1225
DIO1,1226
NCAPD2,1227
HSPG2,1228
MPPED2,1229
FMOD,1230
FLNA,1231
KANK1,1232
DST,1233
MSL1,1234
CDKN3,1235
AKR1C1,1236
AKR1C2,1237
C4ORF19,1238
AKR1C3,1239
CEP170,1240
PIP,1241
TBC1D4,1242
PIR,1243
ALOX5,1244
CRIP2,1245
CADM1,1246
UBR5,1247
ZNF91,1248
MYO5C,1249
INA,1250
IGSF3,1251
SLC25A1,1252
PLAAT3,1253
ROBO1,1254
PLCG2,1255
CHMP4A,1256
HSD17B10,1257
CKMT2,1258
NDUFA8,1259
LSM5,1260
SLC2A6,1261
NDUFB4,1262
ELF3,1263
NDUFS2,1264
ADGRL2,1265
SAMHD1,1266
SPG21,1267
CEP70,1268
IL7R,1269
INHBA,1270
MMP8,1271
TBC1D16,1272
CTPS1,1273
NHP2,1274
ANKS1A,1275
ALDH8A1,1276
RNASE2,1277
FXYD5,1278
LBP,1279
MYRF,1280
ITGAL,1281
PAM,1282
VNN1,1283
NIT2,1284
HDHD5,1285
QPRT,1286
RAB11FIP2,1287
ALOX5AP,1288
IGF1,1289
TRIM2,1290
EAPP,1291
PRTN3,1292
RCN1,1293
GCLC,1294
IL13RA2,1295
FEZ1,1296
RESF1,1297
TPBG,1298
REXO2,1299
IL6R,1300
EYA2,1301
RNF130,1302
HPGD,1303
ABHD11,1304
GGH,1305
TNFRSF1B,1306
C3ORF14,1307
RPS6KA2,1308
LIPF,1309
LIPG,1310
ZFAND5,1311
LARS,1312
WWC1,1313
S100A11,1314
S100A6,1315
TMEM50B,1316
HLA-F,1317
MICAL1,1318
BSPRY,1319
SEC61G,1320
SELL,1321
HILPDA,1322
SFTPC,1323
DBI,1324
BIN1,1325
ELANE,1326
PGBD5,1327
HDDC2,1328
PFKFB3,1329
SIK1,1330
