feature_set,minimum_profiles,n_compounds,fold,r2,mae,spearman
128D_embedding_only,20,801,10,0.15853534964343197,0.06102286290233801,0.44634653697410054
128D_embedding_only,20,801,11,0.10753976336772442,0.061731478206628186,0.30900333563377047
128D_embedding_only,20,801,12,0.07924276126778473,0.0616378010125753,0.32103304816594397
128D_embedding_only,20,801,13,0.19457174906461905,0.0623781549918543,0.5017197937419431
128D_embedding_only,20,801,14,0.11793021561713057,0.0670286201630719,0.3905267714512148
128D_embedding_only,20,801,15,0.13868286614633207,0.06307410009498701,0.380135942810266
130D_embedding_plus_step1_QC,20,801,1,0.1536755800481806,0.0630370153587304,0.3931119113124372
130D_embedding_plus_step1_QC,20,801,2,0.09930196794748458,0.06253916280900598,0.3580967699643305
130D_embedding_plus_step1_QC,20,801,3,0.11908572148711283,0.06774932884989153,0.3268181814853372
130D_embedding_plus_step1_QC,20,801,4,0.13280168254061442,0.0631172450338102,0.3310781166341248
130D_embedding_plus_step1_QC,20,801,5,0.13240242026046312,0.061588918697298455,0.3915563107933903
130D_embedding_plus_step1_QC,20,801,6,0.08258489566440963,0.06432828808849674,0.3207027265232069
130D_embedding_plus_step1_QC,20,801,7,0.13196335247423474,0.06219153216247604,0.3579661314895113
130D_embedding_plus_step1_QC,20,801,8,0.16015080135131565,0.06365829724574777,0.38404136880346884
130D_embedding_plus_step1_QC,20,801,9,0.10381843469003516,0.06663465851662528,0.42327465668200787
130D_embedding_plus_step1_QC,20,801,10,0.16328298459679413,0.06071273258908183,0.4449490214461502
130D_embedding_plus_step1_QC,20,801,11,0.11005157893567674,0.06175572922208787,0.277774902231424
130D_embedding_plus_step1_QC,20,801,12,0.07126647841092038,0.061999664786364914,0.3080598851517637
130D_embedding_plus_step1_QC,20,801,13,0.18607586859022363,0.06325989244244994,0.48772120004687686
130D_embedding_plus_step1_QC,20,801,14,0.11168121593434499,0.06761144360104418,0.36378644950968503
130D_embedding_plus_step1_QC,20,801,15,0.14164630380549592,0.06298504517619342,0.38431091058244465
128D_embedding_only,25,700,1,0.10253686326623168,0.055634925721168925,0.37419693424591643
128D_embedding_only,25,700,2,0.12422089676274639,0.06449556724879711,0.3436705954385428
128D_embedding_only,25,700,3,0.08893421178044836,0.0641089243715452,0.30755505018477625
128D_embedding_only,25,700,4,0.19836544118846822,0.05800721400571714,0.39052721348756864
128D_embedding_only,25,700,5,0.13526029631601366,0.053610108225295904,0.4065950886707048
128D_embedding_only,25,700,6,0.10750268128085738,0.06281253755868718,0.2718899652314623
128D_embedding_only,25,700,7,0.1807228121593577,0.059036666303376374,0.4768494019374167
128D_embedding_only,25,700,8,0.15616828605636324,0.05644340829901574,0.37977780912074605
