name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,has_metal,metal_count,metal_symbols,metal_category,valid_smiles
bibx-1382,6918508.0,9.06871,3.8879986,6918508,bibx-1382,False,0.0,,No metal,True
ro-28-1675,9886086.0,8.452226,2.674435,9886086,ro-28-1675,False,0.0,,No metal,True
oseltamivir-phosphate,65028.0,10.573129,1.9675605,65028,oseltamivir-phosphate,False,0.0,,No metal,True
propylthiouracil,657298.0,9.09208,1.6938093,657298,propylthiouracil,False,0.0,,No metal,True
perillyl-alcohol,369312.0,9.480214,1.5298342,369312,perillyl-alcohol,False,0.0,,No metal,True
ibuproxam,11458696.0,10.919864,2.4865172,11458696,ibuproxam,False,0.0,,No metal,True
thiram,5455.0,9.424885,1.598626,5455,thiram,False,0.0,,No metal,True
palomid-529,86324425.0,8.865892,3.1703596,86324425,palomid-529,False,0.0,,No metal,True
fit,84008.0,10.058584,2.8101015,84008,fit,False,0.0,,No metal,True
cortisone-acetate,5745.0,8.297901,-0.778947,5745,cortisone-acetate,False,0.0,,No metal,True
phenylbutyrate,4775.0,10.504871,2.6034021,4775,phenylbutyrate,False,0.0,,No metal,True
tomivosertib,118598754.0,9.020816,1.6161698,118598754,tomivosertib,False,0.0,,No metal,True
epothilone-d,,9.162452,1.1918985,,epothilone-d,False,0.0,,No metal,True
allylisothiocyanate,5971.0,9.36499,1.4875488,5971,allylisothiocyanate,False,0.0,,No metal,True
arcyriaflavin-a,5327723.0,9.1428385,2.6994276,5327723,arcyriaflavin-a,False,0.0,,No metal,True
atenolol-(+/-),180559.0,10.881456,3.7650445,180559,atenolol-(+/-),False,0.0,,No metal,True
acelarin,134694283.0,10.608527,-0.5364763,134694283,acelarin,False,0.0,,No metal,True
bms-207940,156690.0,9.163612,2.45683,156690,bms-207940,False,0.0,,No metal,True
pazopanib,10113978.0,8.580255,2.3017917,10113978,pazopanib,False,0.0,,No metal,True
chromium-picolinate,56840998.0,9.585282,3.056574,56840998,chromium-picolinate,True,1.0,Cr,Contains metal,True
2-bfi,3080926.0,8.472371,1.8171544,3080926,2-bfi,False,0.0,,No metal,True
segesterone-acetate,108059.0,8.425198,-0.32436073,108059,segesterone-acetate,False,0.0,,No metal,True
ly266097,92845961.0,8.7264805,3.107649,92845961,ly266097,False,0.0,,No metal,True
pf-06282999,71571306.0,8.828819,2.6266453,71571306,pf-06282999,False,0.0,,No metal,True
etomidate,667484.0,10.607838,2.7751796,667484,etomidate,False,0.0,,No metal,True
tc-ntr1-17,44157038.0,10.850297,2.501375,44157038,tc-ntr1-17,False,0.0,,No metal,True
bendazol,12132.0,8.680275,2.6057844,12132,bendazol,False,0.0,,No metal,True
abt-639,46851313.0,9.774274,2.8410983,46851313,abt-639,False,0.0,,No metal,True
fluprazine,71153.0,9.895164,3.2340477,71153,fluprazine,False,0.0,,No metal,True
ns-8593,11587013.0,8.541788,2.5978682,11587013,ns-8593,False,0.0,,No metal,True
naloxone,5284596.0,6.2678847,5.2441573,5284596,naloxone,False,0.0,,No metal,True
kbg,92461199.0,9.334528,1.1758521,92461199,kbg,False,0.0,,No metal,True
ly2334737,11646777.0,10.5399685,-0.54506975,11646777,ly2334737,False,0.0,,No metal,True
thiamine-pyrophosphate,1132.0,9.657055,1.5901589,1132,thiamine-pyrophosphate,False,0.0,,No metal,True
daidzin,107971.0,9.609168,0.38542178,107971,daidzin,False,0.0,,No metal,True
geranyl-farnesylacetate,5282182.0,10.143434,1.6412734,5282182,geranyl-farnesylacetate,False,0.0,,No metal,True
etazolate,3277.0,10.476315,2.3829496,3277,etazolate,False,0.0,,No metal,True
t-62,855908.0,9.894009,2.414881,855908,t-62,False,0.0,,No metal,True
4-aminohippuric-acid,2148.0,10.275946,2.8461246,2148,4-aminohippuric-acid,False,0.0,,No metal,True
homoveratrylamine,8421.0,8.756176,3.2826316,8421,homoveratrylamine,False,0.0,,No metal,True
benzoclidine,6928653.0,9.984726,2.5940669,6928653,benzoclidine,False,0.0,,No metal,True
proglumetacin,76965948.0,9.250179,3.6615138,76965948,proglumetacin,False,0.0,,No metal,True
dimercaptosuccinic-acid,2724354.0,10.38269,1.7734681,2724354,dimercaptosuccinic-acid,False,0.0,,No metal,True
isofloxythepin,969497.0,8.877587,3.724231,969497,isofloxythepin,False,0.0,,No metal,True
velaresol,72162.0,10.7119255,1.7580612,72162,velaresol,False,0.0,,No metal,True
ningetinib-tosylate,60165029.0,8.375548,3.3334968,60165029,ningetinib-tosylate,False,0.0,,No metal,True
nvp-bgj398,53235510.0,9.636365,3.541056,53235510,nvp-bgj398,False,0.0,,No metal,True
2-iminobiotin,135678104.0,10.727874,1.6538036,135678104,2-iminobiotin,False,0.0,,No metal,True
folic-acid,6037.0,11.381383,1.8913513,6037,folic-acid,False,0.0,,No metal,True
mepacrine,446536.0,9.02212,3.3001156,446536,mepacrine,False,0.0,,No metal,True
