name,pubchem_cid,smiles,valid_smiles,has_metal,metal_count,metal_symbols,metal_category
apramycin,3081545,CN[C@H]1[C@@H](O)[C@H]2O[C@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)[C@H](N)C[C@@H]2O[C@@H]1O[C@H]1O[C@H](CO)[C@@H](N)[C@H](O)[C@H]1O,True,False,0,,No metal
alizarin,6293,Oc1ccc2C(=O)c3ccccc3C(=O)c2c1O,True,False,0,,No metal
azd3965,10369242,CC(C)n1c2sc(Cc3c(C)[nH]nc3C(F)(F)F)c(C(=O)N3C[C@](C)(O)CO3)c2c(=O)n(C)c1=O,True,False,0,,No metal
cid-5458317,,"OC1=c2ccccc2=C(NC2CCCCC2)\C1=C/c1ccccc1 |c:1,t:8|",True,False,0,,No metal
roflumilast,449193,FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl,True,False,0,,No metal
ssr128129e,11347895,COc1c(C)c(C(=O)c2ccc(N)c(c2)C(O)=O)n2ccccc12,True,False,0,,No metal
ombrabulin,6918405,COc1ccc(\C=C/c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)CO,True,False,0,,No metal
deferiprone,2972,Cc1c(O)c(=O)ccn1C,True,False,0,,No metal
cevimeline,18642481,"C[C@H]1O[C@]2(CS1)CN1CCC2CC1 |&1:1,3|",True,False,0,,No metal
tc-f-2,25198728,CCn1c2ccccc2n([C@H]2CCCN(C2)c2nccc(n2)-c2cc3ccccc3o2)c1=O,True,False,0,,No metal
gsk269962,16095342,CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc12)-c1nonc1N,True,False,0,,No metal
cgp-54626,197584,"C[C@H](NC[C@H](O)CP(O)(=O)CC1CCCCC1)c1ccc(Cl)c(Cl)c1 |a:1,4,&1:7|",True,False,0,,No metal
ticlopidine,5472,Clc1ccccc1CN1CCc2sccc2C1,True,False,0,,No metal
dofequidar,9960287,OC(COc1cccc2ncccc12)CN1CCN(CC1)C(=O)C(c1ccccc1)c1ccccc1,True,False,0,,No metal
tgx-221,51601993,"C[C@@H](Nc1ccccc1)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1 |&1:1,r|",True,False,0,,No metal
rs-100329,3567002,Cc1c[nH]c(=O)n(CCCN2CCN(CC2)c2ccccc2OCC(F)(F)F)c1=O,True,False,0,,No metal
sa-47,9840648,CNC(=O)COC(=O)NCCC1CCN(CC1)c1cccc(C)n1,True,False,0,,No metal
