name,pubchem_cid,TSNE1,TSNE2
timolol,33624,-18.327618,-75.825005
eupatilin,5273755,-5.232369,90.01138
yoda-1,2746822,20.939646,-32.191643
ceramide,5497136,-33.68295,-33.237297
"n-methyl-(-)ephedrine-[1r,2s]",64782,-23.2365,44.525833
palmatine-chloride,19009,47.091473,11.416696
nifedipine,4485,-14.615124,24.566774
nifekalant,4486,-19.114588,-2.8918085
mephentermine,3677,-48.898323,11.243638
cefotiam,43708,-6.0746846,-34.00506
tetrahydrozoline,716128,-45.71911,9.349711
misonidazole,73050801,-2.534418,-56.904045
clavulanate,5280980,-14.121692,-35.768944
levopropoxyphene,133687039,-33.271473,41.228535
dr-2313,135522417,-36.132298,-42.90774
drospirenone,68873,-78.00913,-5.837838
ave-0991,9851724,32.147377,-34.557175
cts21166,445649,-32.082176,29.05995
lidamidine,47510,-27.429161,-4.060237
salidroside,159278,-12.746441,62.716087
ornidazole,688540,-2.5832646,-56.586304
rad140,44200882,5.026345,-2.743195
flubendazole,35802,52.46425,-43.305508
cantharidin,5944,-70.095,-29.804398
metirosine,6918925,-12.469943,43.421333
glycopyrrolate,9933193,-38.770466,40.20136
nafamostat,4413,15.018674,46.960354
aim-100,11501591,66.19843,7.207308
n-acetylmannosamine,11869379,-30.93931,-71.30697
bms-182874,122272,13.09671,14.459882
stetaderm,92730,-77.03319,-12.146626
cefuroxime,5479529,-0.5106972,52.19603
aminothiazole,2155,-0.69609797,-52.922894
doxylamine,43833352,35.030148,-7.3606663
icariin,5318997,-2.934397,93.35184
pi-828,25181195,19.679384,38.522858
nxy-059,6913176,-52.46042,2.8822753
f-11440,208928,8.161698,-59.365925
azd1283,23649325,44.341908,-19.24772
ly2109761,11655119,45.745808,16.28554
ym-201636,9956222,68.06467,7.8819757
tinoridine,5480,-21.093437,25.809141
aloxistatin,65663,-19.049013,-49.297855
anagrelide,135409400,-20.38838,-11.973328
dibenzothiophene,3023,-54.47647,4.7645864
bu-224,2457,22.951221,-24.371716
brivanib,11234052,73.32248,0.7948624
talmapimod,9871074,11.338722,-2.2730913
pf-06412562,74223726,75.907036,-0.40247178
kynurenic-acid,3845,-2.786797,12.103369
denopamine,5311064,3.939905,60.553894
pifithrin-cyclic,443278,24.80579,-36.540657
fusidic-acid,3000226,-81.47474,-18.577555
scriptaid,5186,-39.388424,23.575539
gpi-688,24901657,1.1314012,-13.813943
mrs-3777,11771279,70.67778,-7.324231
kd-023,115175,-6.466677,58.03947
dolutegravir,54726191,-28.083591,12.913814
purmorphamine,5284329,70.53416,-6.0237136
pha-568487,9932000,23.01437,60.79731
ripretinib,71584930,39.74956,-31.54571
nitrofurantoin,6604200,18.084772,25.91868
skf-77434,6603997,-19.67823,50.451157
2-chloropyrazine,73277,-3.2224858,-61.47331
l-701324,54682505,27.088438,38.783962
nqdi-1,5522952,-13.208139,8.272446
pf-4981517,71315139,27.411755,-55.65231
lithocholic-acid,9903,-74.294914,-22.41048
betahistine,2366,15.589242,-30.116007
ehop-016,51031035,34.970787,-57.685028
gka-50,11340230,62.311657,9.302466
oac2,2814138,19.516436,-8.512947
iwp-l6,71601111,31.171297,-32.70964
treosulfan,9882105,-54.747246,-52.18733
temsirolimus,134812825,-62.29645,-24.68199
phenylpiracetam,781884,-40.998024,18.775164
gilteritinib,49803313,65.53742,-4.759187
moexipril,91270,23.50533,67.68576
voglibose,444020,-30.198536,-69.51481
esculin,5281417,-13.639145,64.91947
st-2825,24808138,24.321453,40.698887
st-1535,9860294,8.795101,-63.060413
gsk1838705a,25182616,68.68961,5.7237697
bafilomycin-a1,90656913,-56.77771,-22.438257
rivaroxaban,9875401,-21.435482,-7.6668196
mizoribine,11949547,-17.211414,-77.55631
oxotremorine-sesquifumarate,4630,-28.19434,-52.683086
scabertopin,93959111,-53.124393,-23.715515
sodium-gluconate,10690,-60.639812,-44.664967
ly2140023,9834591,-27.514992,-38.568382
sulconazole,6604421,40.930424,-48.350803
vanitiolide,72146,18.137905,70.33527
ve-821,51000408,32.971603,-32.158215
cp-471474,9907286,2.446307,55.067276
artesunate,6917864,-72.93991,-29.951216
bms-779788,59251511,75.152855,-18.086771
ampiroxicam,25273583,47.239113,-16.176996
bq-788,5311032,25.379347,-7.49666
romidepsin,56840936,-11.364074,-37.20872
rv1729,52913198,63.213493,-21.975067
ethimizol,6168,0.94357693,-66.31174
jnj-7706621,5330790,-7.548705,-6.128172
lurasidone,213046,-4.9748464,-11.237185
pi4kiii-beta-inhibitor-1,71549093,50.229263,-6.950717
phenyl-salicylate,8361,-15.169712,79.07061
alafosfalin,71957,-29.305185,-49.2859
cobimetinib,16222096,-7.6288233,9.993617
bhq,2374,-25.811417,61.457726
arbidol,28446253,32.1344,11.494547
o-1918,40469923,-13.422582,68.31068
mira-1,227681,-37.907135,-36.92294
oxymatrine,24864132,-33.151997,-54.941494
nu-6027,398148,10.851439,-65.4487
doxapram,28248394,-42.248425,20.890903
rasagiline,3052776,-47.79005,11.7776
titanocene-dichloride,11075829,-47.171658,-31.756712
cipemastat,9824350,-24.970734,-50.903477
mrs-1845,92220886,-14.100965,23.60796
hyaluronic-acid,6852395,-32.30139,-71.8435
alectinib,49806720,15.82901,-6.6645455
sertindole,60149,26.794619,-17.139254
ceftaroline-fosamil,10033059,-2.4289346,-26.324965
benzoic-acid,243,-49.625504,43.84987
cabozantinib,25102847,50.1017,15.498139
stigmasterol,5280794,-67.93797,-15.187669
thz2,78357763,49.74895,-32.699554
ym-58483,2455,5.696751,-21.589165
pd-161570,5328135,22.281742,-42.466267
olda,5282106,-13.715733,47.74953
gw-842166,10253143,39.133766,-33.94637
alpha-methylserotonin,14083218,36.311684,6.533773
simurosertib,136443810,4.780945,-9.462198
tak-632,46209401,51.885773,-3.037545
droxicam,65679,47.263836,-16.171642
eticlopride,57267,24.644009,49.466534
delapril,5362116,-31.97824,30.485653
ly255283,122023,-13.077396,91.36975
varespladib,155815,36.5293,13.615608
mg-132,462382,-28.981348,31.526817
tromaril,31635,-3.6746,18.377008
tubastatin-a,49850262,17.242216,-7.8128343
tak-875,24857286,-8.303785,81.45363
daidzein,5281708,-10.633006,88.48635
selegiline,26757,-51.154037,10.6259165
terlipressin,133566182,-18.423975,34.78224
leucylleucine-methyl-ester,7016877,-21.220938,-45.567825
camkii-in-1,50898538,21.393532,-40.188183
procaine,4914,-7.977001,23.017855
etacrynic-acid,3278,-4.191901,73.69781
efloxate,8395,-7.704633,88.0209
way-213613,11531745,7.499277,31.621712
equol,91469,-11.689751,66.977455
hydrocortisone-hemisuccinate,16623,-82.69443,-10.86311
febuxostat,134018,27.468143,12.95964
ethisterone,5284557,-74.90906,-9.807711
isoflurophate,5936,-51.529587,-49.359886
tartaric-acid,444305,-58.84873,-44.568977
asp3026,25134326,63.302048,-5.098723
bvd-523,11719003,47.46854,-29.619913
biperiden,12147323,-28.674402,45.6283
dicloralurea,7059662,-36.20554,-49.634346
grazoprevir,44603531,47.443924,6.018839
pnu-120596,311434,29.585396,36.171352
exalamide,3316,16.261074,49.728928
skf-83566,6604885,-20.210941,50.18157
dimethindene-(s)-(+),6604866,15.2640915,-26.563152
papaverine,4680,47.133503,11.245601
itacitinib,53380437,44.479153,-38.52892
vuf10460,25129523,25.641167,-44.647625
flecainide,46864232,18.563807,52.09443
cycloheximide,6197,-36.733017,-67.55293
psb-1115,5311479,44.43085,-45.18145
ibmx,3758,-0.104814105,-67.24252
sb-328437,10474776,-14.212122,20.243052
8-bromo-camp,32014,8.935828,-73.03458
rs-16566,6604794,48.303387,-44.10885
7-methoxytacrine,119053,41.101025,6.7263117
gsk2330672,53492727,5.1957316,56.031364
mesna,598,-49.549397,-54.968193
pralidoxime-chloride,54072659,14.425783,-29.843933
basic-fuchsin,12448,-30.589832,-5.0570936
bay-87-2243,67377767,72.354965,7.0474634
vardenafil,135400189,52.075447,23.513697
mk-8745,11676373,26.871155,-31.085808
hexestrol,192197,-25.92183,63.321957
erythritol,222285,-54.452263,-51.323467
deoxyepinephrine,4382,-17.3804,47.67307
arc-239,609483,15.941835,38.442043
fexofenadine,6603853,-36.889076,41.423355
ar-a014418,448014,54.32573,-9.182367
cf102,3035850,37.6612,-63.519222
calcium-gluceptate,25588,-60.873035,-44.48869
parthenolide,6473881,-53.619576,-23.130068
epz005687,60160561,8.000756,-7.6751194
buthionine-sulfoximine,1548918,-19.415617,-35.334618
tiotidine,50287,-0.2809659,-52.1537
tofisopam,129009868,17.205853,66.56291
az7550,71496459,70.0526,-2.8194158
benzyldimethyloctylammonium,13741,-51.31793,10.541601
oltipraz,47318,-3.2116013,-61.479717
lrrk2-in-1,46843906,64.55378,4.227521
t-1095,6918410,-4.2737784,94.13842
gr-144053,173614,-22.181267,-0.24008566
ro-15-4513,5081,57.405865,-40.49039
ta-01,91691129,35.556877,-49.857407
edaravone,70335,-23.091593,-5.230833
zk-200775,208953,-24.912945,3.3913908
pexidartinib,25151352,31.102388,-50.523983
ledipasvir,67505836,54.527237,-33.87189
brd9876,613000,-50.669937,14.553991
drotaverine,13492,17.260765,67.29615
skf-91488,5227,-44.452087,-57.561527
cl316243,5486546,1.6465842,65.631935
caffeine,2519,0.7984796,-67.566
pd-98059,4713,19.707369,39.447933
reparixin,9838712,-44.034058,20.079895
4-galactosyllactose,67743883,-61.953293,-50.93526
cfm-2,4377504,29.448572,58.437717
bw-180c,6917707,-17.576262,36.089794
polydatin,5281718,-12.688992,64.21816
menatetrenone,5282367,-51.465836,34.039326
isamoltane,6604790,43.903275,-1.6680728
pha-680632,11249084,36.758625,-22.952028
9-aminocamptothecin,72402,28.325834,3.9972987
histamine,774,1.1793513,-58.95854
4-hydroxy-phenazone,98889,-22.812817,-4.5561852
tolnaftate,5510,11.885081,37.54461
ex-527,707029,14.4069195,-1.7934202
cafestol,108052,-15.69239,83.55406
indacaterol,6918554,10.876227,30.250166
tak-960,53357478,64.18561,3.8485532
rufinamide,129228,7.642599,-22.593088
